Hotel,Summary
usa_new york city_3_west_club,The 3 West Club offers views of St. Patrick's Cathedral and Radio City Music Hall from some rooms. The hotel is located across the street from Rockefeller Center.
usa_new york city_414_hotel,"I apologize, but none of the provided hotel reviews mention anything about the hotel having amazing views."
usa_new york city_60_thompson,"60 Thompson features a rooftop bar with spectacular views of Wall Street and the Empire State Building; some rooms on the 11th floor also afford great views over SoHo. However, note that the rooftop terrace is sometimes closed for private events or depending on the season."
usa_new york city_6_columbus,"Some rooms, especially upgraded suites, offer great views of Time Warner and glimpses of Central Park, with higher floors providing better perspectives. However, many rooms have views of air shafts or adjacent buildings."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"Many reviewers mention rooms with views of the Empire State Building and Park Avenue. Some rooms on higher floors offer better views, but can also be noisy."
usa_new york city_ace_hotel_nyc,"Some rooms have views of the Empire State Building. An ""Empire States building room view"" is available."
usa_new york city_affinia_50,"Some rooms, especially corner junior suites, have great views from the 21st floor, with large balconies offering views over 3rd Avenue, the Hudson River, and Roosevelt Island. Rooms on higher floors have nice city views and those facing the street may experience noise."
usa_new york city_affinia_dumont,"The Affinia Dumont offers rooms on the 37th floor with views of the Chrysler Building, downtown Manhattan, and the East River. Some rooms have dual aspect views, including views of the Chrysler building and the Hudson River."
usa_new york city_affinia_gardens,The Affinia Gardens has suites with balconies on the 11th and 13th floors with views of the surrounding area. Rooms on the back side of the hotel overlook a park.
usa_new york city_affinia_manhattan,Rooms on higher floors at the Affinia Manhattan offer city views and some rooms have balconies with Empire State Building views. Some rooms overlook Madison Square Garden.
usa_new york city_affinia_shelburne,"The hotel offers great views of the Empire State and Chrysler Buildings from the rooftop bar or rooms on higher floors, with some rooms having balconies. Guests can request rooms with a view of the Empire State Building when booking."
usa_new york city_aka_united_nations,"Some rooms face away from the main road, but may face an office building, while others may hear traffic noise, even late at night. Some rooms have a balcony."
