Hotel,Summary
usa_new york city_3_west_club,There is no mention of creative spaces or an artsy vibe. The hotel is part of the Republican National Women's Club.
usa_new york city_414_hotel,"The 414 Hotel features striking photographic cityscapes in the bedrooms and a motif of historic photos of NYC throughout the hotel; the charming leafy patio has small round mosaic tables, and guests breakfast together at a long attractively stained table brightened by flowers. Rooms are decorated with a modern flare and art deco style."
usa_new york city_60_thompson,"60 Thompson is a modern boutique hotel located in SoHo, known for its trendy, stylish, and minimalist design, with a hip vibe. It has a popular rooftop bar with city views and often hosts fashion shoots in the lobby."
usa_new york city_6_columbus,"6 Columbus is a modern, trendy boutique hotel with a hip vibe and designer decor, featuring artist prints and glossy design magazines. Some rooms have teak walls and blue-tiled bathrooms, and some hallways and elevators have unique design elements like dark blue colors or fur-covered walls."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue Hotel is a trendy, modern, and stylish boutique hotel with a zen-like feel and well-appointed rooms featuring flat-screen TVs and iPod docking stations. The hotel has a small lobby and a bar that offers a nightly happy hour."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a funky, hipster vibe with unique, urban, and masculine decor, including reclaimed furniture, guitars, record players, and SMEG fridges in some rooms. The lobby is designed with comfy sofas, a large library table, and a photo booth."
usa_new york city_affinia_50,"While most reviews focus on the hotel's cleanliness, size, and convenient location, some reviewers highlight the hotel's 2nd-floor club room with comfortable seating and stylish decor, where guests can relax and enjoy complimentary coffee, tea, wine, and cheese. The lobby has a water-wall and orchids."
usa_new york city_affinia_dumont,"I'm sorry, but none of the hotel reviews mention that this hotel has creative spaces and an artsy vibe. The location is good, and the rooms are spacious and have kitchenettes."
usa_new york city_affinia_gardens,"I can not answer the query because none of the reviews mention that the hotel has creative spaces, an artsy vibe or anything related."
usa_new york city_affinia_manhattan,"The Affinia Manhattan features Art Deco themes and a lobby that is newly renovated, though some find the rooms themselves are somewhat outdated. Some guests mentioned Spice, a Thai restaurant with amazing cocktails and wait staff that never made them feel rushed and Niles, a reasonably priced bar with great cocktails and great banter from the bar staff."
usa_new york city_affinia_shelburne,"The Affinia Shelburne has modern decor and groovy atmosphere in the Rare bar/restaurant. The property offers views of the Empire State and Chrysler Buildings from the rooftop bar, and artful swirly blue glass lamps in rooms."
usa_new york city_aka_united_nations,"AKA United Nations offers modern, semi-furnished apartments with full kitchens and separate living areas, some with balconies, and provides complimentary internet access and gym access. The hotel features modern decor and provides a selection of tea, coffee, and snacks in the lobby."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic hotel with art deco character, New Yorker cartoon wallpaper, and a Round Table restaurant featuring literary history. The hotel displays funky prints, various books, and has a retro feel, with live entertainment offered some evenings."
usa_new york city_americana_inn,"I am sorry, but there is no information about creative spaces or an artsy vibe at this hotel in the reviews. The reviews mention that the hotel is basic, clean, and budget-friendly, but does not mention creative spaces or artistic elements."
usa_new york city_amsterdam_court_hotel,"The Amsterdam Court Hotel has a snappy little lobby, a great little cocktail bar, and a Japanese restaurant connected to it. Some rooms are decorated with a modern style."
usa_new york city_astor_on_the_park,"The Astor on the Park is a basic, no-frills hotel with small rooms, with some rooms offering views of Central Park. The hotel is located a few blocks from the subway, making it easy to access other parts of Manhattan."
usa_new york city_bedford_hotel,"I'm sorry, but none of the reviews mention creative spaces or an artsy vibe. However, the hotel rooms do have a small kitchenette, and there is an Italian restaurant attached to the hotel."
usa_new york city_beekman_tower_hotel,"This hotel has an Art Deco style, and is housed in a building that was once an apartment complex. Some describe the hotel as having a ""genteel feel"" like a ""big but unfancy New York apartment."""
usa_new york city_belleclaire_hotel,"The Hotel Belleclaire is a stylish and comfortable hotel with modern, sleek, and classy rooms, some of which include iPod docks and flat-screen TVs.  The hotel has a funky gift shop and is located on the Upper West Side, near art museums."
usa_new york city_bentley_hotel,"The Bentley Hotel has modern, boutique-like rooms with dark, minimalist decor, new flat-screen TVs, and views of the East River and Queensboro Bridge; the rooftop bar has bohemian-minimalist decor and nice views. The lobby has a trendy ambience, candlelit atmosphere, and modern design."
usa_new york city_best_western_bowery_hanbee_hotel,"I am sorry, but the hotel information does not contain details that would allow me to address the query."
usa_new york city_best_western_convention_center_hotel,"I am sorry, but none of the reviews mention creative spaces, artsy vibes, or anything related to those topics."
usa_new york city_best_western_hospitality_house,"This hotel is a converted apartment building offering spacious suites with full kitchens, some featuring original hardwood floors and clean, though not luxurious, furnishings. Reviews mention the hotel being described as an older, more basic building with dark rooms."
usa_new york city_best_western_seaport_inn_downtown,The hotel features prints of historic etchings of the neighborhood that once bustled with seafaring activity and is decorated tastefully.
