,eqr,q2e,q2d
Family friendly cities for vacations,0.9765432098765433,0.8701388888888888,1.0
Spectacular coastal cities,1.0,1.0,0.8214285714285714
Best cities for museum enthusiasts,0.9626543209876544,0.8956845238095237,0.9626543209876544
Cities for a high school graduation trip,0.8954648526077096,0.9240362811791382,0.9861111111111112
Best cities for an anniversary celebration,0.8041666666666667,1.0,0.9761904761904762
Leading tech hub cities,0.9526289682539681,0.8951388888888888,0.9282627865961199
Cities for sports enthusiasts,0.9293650793650793,0.8644345238095237,0.9095238095238096
I want to explore unique local events,0.9159722222222222,0.8806122448979592,0.7758503401360545
Great cities to celebrate a child's birthday,0.8522817460317459,0.9087301587301587,0.7634920634920634
Recommended cities for company teambuilding,0.9861111111111112,0.525952380952381,1.0
I want to relax on beautiful beaches,0.7856701940035273,0.8412257495590829,0.8782627865961198
Top cities for wildlife enthusiasts,0.8819444444444445,0.6944444444444444,0.9107142857142857
Top destinations renowned for their architectural landmarks,0.855952380952381,0.7393424036281179,0.8806122448979592
Most popular destinations for theme park enthusiasts.,0.8634920634920635,0.7291666666666666,0.8736394557823128
Top cities for fashion aficionados,0.8687074829931973,0.5417989417989417,1.0
Educational cities for student trips,0.975,0.4854166666666666,0.9415178571428571
Must Visit cities for your bucket list,0.8520408163265306,0.5845238095238094,0.9282627865961199
Best cities to visit for cultural experiences,0.8701388888888888,0.6329931972789116,0.8069444444444445
Youth Friendly cities for travelers,0.9765432098765433,0.5777777777777777,0.7163265306122449
Top cities for music lovers,0.8106150793650793,0.5216269841269842,0.9240362811791382
Cities with the most interesting and unique content for vloggers,0.6399659863945578,0.8833333333333333,0.7132936507936508
I want to capture stunning sunshine,0.7662698412698413,0.8083333333333333,0.625925925925926
Cities known for entertainment,0.5537037037037037,0.6833333333333333,0.9428571428571428
Top cities for shopping enthusiasts,0.7232993197278912,0.5178571428571428,0.9159722222222222
Vibrant cities known for their tropical atmosphere,0.6441043083900226,0.9214285714285715,0.5798611111111112
Top cities for leisurely strolls,0.7142857142857144,0.7044217687074831,0.7031746031746031
Culinary cities for food lovers,0.6861904761904762,0.6448979591836734,0.7884920634920634
Top cities for adventure seekers,0.5311111111111112,0.6833333333333333,0.88015873015873
Cleanest cities to visit,0.8523809523809524,0.22619047619047616,0.9861111111111112
Most romantic cities for a honeymoon,0.6961904761904762,0.5777777777777777,0.7738095238095238
Top cities for luxury travel,0.512063492063492,0.5327380952380952,1.0
Leading nightlife destinations around the world,0.8857142857142858,0.5533333333333333,0.6044973544973545
Best cities for winter vacations,0.48214285714285715,0.6718253968253968,0.8857142857142857
Safest cities for travel,0.8773809523809524,0.6666666666666666,0.4920634920634921
Picturesque cities for photography enthusiasts,0.7375850340136055,0.5270833333333333,0.7579365079365079
Cities for art lovers,0.6453968253968254,0.52,0.8552579365079365
Hidden gem cities for a peaceful holiday,1.0,0.611111111111111,0.3873015873015873
I love histroy and culture in Rome. I want similar cities.,0.6321428571428571,0.569047619047619,0.7282312925170068
Great cities for solo travelers,0.6746031746031745,0.4083333333333333,0.8099999999999999
Best cities for movie buffs,0.6210884353741496,0.6427579365079364,0.6210884353741496
Cities with a natural atmosphere,0.5,0.5382936507936508,0.6797619047619048
Best cities for water activities,0.5661564625850339,0.5425925925925926,0.5709183673469387
Most beautiful island cities to explore,0.7595238095238095,0.6787037037037037,0.19444444444444442
Cities for a rejuvenating retreat,0.7611111111111111,0.4548611111111111,0.35
Beautiful cities near water bodies,0.34722222222222215,0.49999999999999994,0.5
Charming small town cities,0.14285714285714285,1.0,0.1111111111111111
Perfect cities for introverts,1.0,0.0,0.24285714285714285
Budget friendly cities for travelers,0.43333333333333335,0.1111111111111111,0.6342857142857143
Ideal cities for a digital detox,0.3916666666666666,0.30952380952380953,0.0
Best cities to avoid crowds,0.0,0.0,0.25
AVERAGE,0.7358556657848326,0.6320386873267825,0.7313791162761402
