Hotel,Summary
usa_new york city_3_west_club,"I am sorry, but none of the reviews mention gourmet experiences at this hotel."
usa_new york city_414_hotel,"This hotel is near Restaurant Row on 46th Street, close to 9th, with hundreds of ethnic restaurants on the doorstep and many meal options right outside the door. Continental breakfast is served including coffee, juice, cereal, and rolls, and there is a small kitchenette available to guests."
usa_new york city_60_thompson,"The hotel has a Thai fusion restaurant called Kittichai and offers room service with Kittichai selections; breakfast is available, but some found it uninspired, and the lobby has a chocolate boutique. Some reviewers recommend nearby restaurants such as Balthazar, Barolo, Public, and Cubana Cafe."
usa_new york city_6_columbus,"The hotel has a Japanese/sushi restaurant called Blue Ribbon that is popular and serves as the hotel's room service, though some found the food to be overpriced and not outstanding. There is a Whole Foods across the street, with lots of food to go and Whole Foods in the Time Warner Center where they sell food by weight, so you only pay what you want to eat."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"The hotel has a bar that serves food and the Silverleaf Tavern that offers tasty appetizers and cocktails; additionally, some reviewers recommend Moonstruck 244 Madison Avenue for burgers. Breakfast is available as a buffet or via room service, but some found it expensive."
usa_new york city_ace_hotel_nyc,"The hotel has a lobby bar and is opening the Breslin restaurant, directed by April Bloomfeld, and offers room service from nearby restaurants. Complimentary breakfast includes coffee and croissants."
usa_new york city_affinia_50,"The hotel offers room service from The Mint, an Indian restaurant across the street, and the area around 2nd Avenue has several grocery stores and lots of restaurants. The hotel is near Smith & Wollensky's Steakhouse, and restaurants like Zarelas (Mexican), Angelos (Pizza), and a deli store."
usa_new york city_affinia_dumont,"The hotel has a full kitchen, and is surrounded by rated restaurants, delis and grocery stores. Barking Dog restaurant is next to the hotel."
usa_new york city_affinia_gardens,"While the Affinia Gardens doesn't have a restaurant, it has arrangements with nearby restaurants (Chinese, Italian, American Diner, Hamburger) for delivery for a $2 service charge, and a Food Emporium grocery store is located close by. Several reviewers enjoyed meals at JoJo's, Asia Grill, and Alice's Tea Cup, all located near the hotel."
usa_new york city_affinia_manhattan,"The hotel has a restaurant called Niles which offers good food at reasonable prices and excellent room service. The hotel also has a kitchen area in each room and is close to many restaurants, delis, and bars."
