,eqr,q2e,q2d
Suggest a restaurant with exceptional chef's tasting menus.,0.3194444444444444,0.4444444444444444,0.3611111111111111
Suggest a restaurant with amazing skyline views.,0.2882352941176471,0.35490196078431374,0.19607843137254902
What are some of the best restaurants for wine enthusiasts?,0.27083333333333337,0.29166666666666663,0.27083333333333337
Where can I find restaurants with unique food and wine pairings?,0.2710464201416208,0.28324154209284025,0.22659323367427223
Where can I find restaurants for a sports event?,0.26041666666666663,0.26041666666666663,0.24189814814814814
Where can I find restaurants with great views of the city?,0.2338235294117647,0.26323529411764707,0.18382352941176472
Where can I dine with beautiful waterfront views?,0.2403846153846154,0.27564102564102566,0.08012820512820512
Recommend a restaurant that's perfect for business meetings.,0.24285714285714285,0.1380952380952381,0.2119047619047619
Recommend a restaurant with innovative vegetarian options.,0.19824561403508772,0.19157894736842104,0.17842105263157892
Where can I find restaurants that source local ingredients?,0.2095238095238095,0.19642857142857142,0.12380952380952381
What are the top farm-to-table restaurants?,0.25,0.1,0.1
Which restaurants offer great seasonal dining experiences?,0.13225806451612904,0.23790322580645162,0.07338709677419356
Where can I find restaurants that cater to dietary restrictions?,0.1279363230440691,0.13774024461269657,0.13774024461269657
Where can I find the best aesthetic brunch spots in town?,0.12573099415204678,0.11744639376218323,0.10818713450292397
What are the top restaurants for a scenic dining atmosphere?,0.1191683569979716,0.1265212981744422,0.06871196754563894
What are the best restaurants for a romantic dinner?,0.10202571981336064,0.1069762148628656,0.09132809832707409
Where can I find restaurants with both local and international cuisine?,0.06384092098377812,0.09327577184720041,0.09327577184720041
Which restaurants blend modern cuisine with traditional recipes?,0.09068627450980392,0.12418300653594772,0.034722222222222224
What are the best restaurants for a relaxing long dinner?,0.08727990285367335,0.12112932604735883,0.040983606557377046
Looking for a restaurant that feels exclusive but not pretentious.,0.08130829651448207,0.09321305841924399,0.07179675994108983
What are the best restaurants for celebrating anniversaries?,0.08755472170106317,0.11288305190744215,0.03205128205128205
Suggest a restaurant with a magical dining ambiance.,0.08623624934520692,0.0922603457307491,0.05127029858564694
I want a fine dining experience.,0.09182083739045765,0.11080817916260954,0.023076923076923078
I want a restaurant with a theatrical dining experience.,0.09336228287841192,0.10297766749379653,0.019230769230769232
What are the best restaurants for a business lunch?,0.20512820512820512,0.0,0.0
Where can I find the most authentic ethnic cuisine?,0.058653846153846154,0.07139423076923077,0.07451923076923077
What are the best restaurants for a family reunion dinner?,0.07054054054054054,0.04351351351351351,0.08054054054054055
What are the best restaurants for special occasions?,0.0818534961154273,0.07713651498335183,0.02830188679245283
Suggest a restaurant with the best cocktail program.,0.047369078865141856,0.06714785651793526,0.06717910261217347
Where can I find restaurants with great outdoor seating?,0.06097836397307918,0.06097836397307918,0.05716157007994941
Where can I find restaurants that combine innovative and comfort food?,0.05229373502225265,0.06560253337897981,0.05866997603560424
Which restaurants are good for meeting people?,0.04651413770774876,0.07365637815670192,0.052611698683358514
Where can I eat near the best cultural sites?,0.05698924731182796,0.08225806451612903,0.03279569892473118
What restaurants have the most Instagram-worthy presentations?,0.05959775214433599,0.06255545696539486,0.042147293700088725
What are the best restaurants for group celebrations?,0.04479638009049774,0.07873303167420814,0.030090497737556562
Where's a good place to dine alone?,0.05275537634408602,0.07600806451612903,0.024126344086021503
Recommend a restaurant that feels like eating at a family home.,0.03619186046511628,0.054941860465116274,0.05944767441860466
Recommend a family-friendly restaurant.,0.06168091168091168,0.06937321937321937,0.01695156695156695
Where can I dine to experience the city's culinary nightlife?,0.04773330610577905,0.06401878701245661,0.033234633449050435
Suggest a restaurant with unique cultural fusion dishes.,0.029552610863290474,0.06924035686171609,0.041163736552086064
Recommend restaurants with a strong cultural or historical significance.,0.047783251231527095,0.040065681444991785,0.046798029556650245
What are the best restaurants for late-night dining?,0.05915178571428571,0.05848214285714286,0.015625
Recommend a restaurant with great private dining options.,0.015151515151515152,0.06734006734006734,0.04882154882154882
What are the best restaurants for a quick but quality lunch?,0.04579741379310345,0.043426724137931035,0.03168103448275862
What restaurants offer the best value for money?,0.04160340115396295,0.017992711812936532,0.04274218038262982
Recommend a restaurant with a straightforward menu.,0.037037037037037035,0.0,0.05555555555555555
What are the best restaurants for food photography?,0.0,0.05505952380952381,0.03125
Where can I find a trendy restaurant?,0.025949705724986623,0.031077224897449615,0.02149099340110576
Where can I find a restaurant that balances gourmet cuisine and affordability?,0.041166501906510375,0.012003954243750881,0.022313232594266347
What are the best hidden gem restaurants in the city?,0.026564537157757497,0.030801825293350717,0.01694915254237288
AVERAGE,0.10480863112974993,0.11134892732599186,0.0784196985886665
