Query,Hotel,Relevance Score
,uk_england_london_hoxton_hotel,0
,uk_england_london_city_inn_westminster,0
,uk_england_london_k_k_hotel_george,0
,uk_england_london_premier_inn_london_county_hall,3
,uk_england_london_the_parkcity,2
,uk_england_london_the_chesterfield_mayfair_hotel,3
,uk_england_london_rubens_at_the_palace,0
,uk_england_london_renaissance_chancery_court_london,3
,uk_england_london_crowne_plaza_london_kensington,0
,uk_england_london_hotel_41,0
,uk_england_london_the_zetter,2
,uk_england_london_base2stay_kensington,3
,uk_england_london_park_plaza_victoria_london,2
,uk_england_london_marriott_london_county_hall,3
,uk_england_london_ridgemount_hotel,3
,uk_england_london_london_bridge_hotel,3
,uk_england_london_luna_simone_hotel,3
,uk_england_london_the_grand_at_trafalgar_square,3
,uk_england_london_hilton_london_tower_bridge,0
,uk_england_london_the_soho_hotel,3
,uk_england_london_the_montague_on_the_gardens,0
,uk_england_london_hilton_london_kensington,0
,uk_england_london_holiday_inn_london_kensington_forum,2
,uk_england_london_hilton_london_metropole,0
,uk_england_london_the_trafalgar_hotel,3
,uk_england_london_the_milestone_hotel,0
,uk_england_london_st_martins_lane_hotel,2
,uk_england_london_millennium_gloucester,3
,uk_england_london_the_landmark_london,3
,uk_england_london_athenaeum_hotel_apartments,0
,uk_england_london_best_western_phoenix_hotel,0
,uk_england_london_royal_horseguards,3
,uk_england_london_apex_city_of_london,3
,uk_england_london_premier_inn_london_kings_cross_st_pancras,3
,uk_england_london_millennium_bailey_s_hotel,0
,uk_england_london_travelodge_london_southwark,2
,uk_england_london_grange_city_hotel,3
,uk_england_london_club_quarters_gracechurch,0
,uk_england_london_sofitel_st_james_london,3
,uk_england_london_the_sanctuary_house_hotel,3
,uk_england_london_hilton_london_docklands,0
,uk_england_london_harrington_hall_hotel,0
,uk_england_london_k_west_hotel_spa,0
,uk_england_london_london_elizabeth_hotel,2
,uk_england_london_byron_hotel,2
,uk_england_london_holiday_inn_london_kings_cross_bloomsbury,0
,uk_england_london_holiday_inn_london_camden_lock,0
,uk_england_london_crowne_plaza_london_the_city,0
,uk_england_london_london_marriott_west_india_quay,0
,uk_england_london_melia_white_house,2
,uk_england_london_strand_palace_hotel,2
,uk_england_london_the_cavendish_london,3
,uk_england_london_intercontinental_london_park_lane_hotel,0
,uk_england_london_park_plaza_riverbank_london,2
,uk_england_london_parkes_hotel,3
,uk_england_london_ramada_encore_london_west,0
,uk_england_london_kensington_close_hotel,0
,uk_england_london_copthorne_tara_hotel_london_kensington,2
,uk_england_london_the_may_fair,0
,uk_england_london_club_quarters_st_paul_s,2
,uk_england_london_charing_cross,3
,uk_england_london_royal_national_hotel,2
,uk_england_london_wyndham_grand_london_chelsea_harbour,3
,uk_england_london_holiday_inn_london_mayfair,2
,uk_england_london_windermere_hotel,3
,uk_england_london_mandeville_hotel,2
,uk_england_london_holiday_inn_london_bloomsbury,3
,uk_england_london_park_inn_london_russell_square,2
,uk_england_london_the_sumner_hotel,3
,uk_england_london_swissotel_the_howard,2
,uk_england_london_radisson_edwardian_grafton_hotel,0
,uk_england_london_st_giles_hotel_london,2
,uk_england_london_the_marylebone_hotel,2
,uk_england_london_travelodge_london_covent_garden,3
,uk_england_london_flemings_mayfair_hotel,0
,uk_england_london_royal_park_hotel,3
,uk_england_london_radisson_edwardian_vanderbilt,0
,uk_england_london_marriott_london_maida_vale,0
,uk_england_london_premier_inn_london_kensington,3
,uk_england_london_one_aldwych,3
,uk_england_london_russell_hotel,0
,uk_england_london_the_rembrandt,2
,uk_england_london_the_park_lane_sheraton_hotel,2
,uk_england_london_marriott_london_park_lane,0
,uk_england_london_park_international_hotel,0
,uk_england_london_crowne_plaza_london_st_james,3
,uk_england_london_travelodge_city_road,0
,uk_england_london_corus_hotel_hyde_park,0
,uk_england_london_kingsway_hall_hotel,2
,uk_england_london_citadines_london_trafalgar_square,3
,uk_england_london_cranley_hotel,0
,uk_england_london_thistle_city_barbican,0
,uk_england_london_the_waldorf_hilton,2
,uk_england_london_hilton_london_islington,2
,uk_england_london_sanderson_hotel_london,2
,uk_england_london_cherry_court_hotel,3
,uk_england_london_london_marriott_hotel_kensington,0
,uk_england_london_the_beaufort,2
,uk_england_london_park_plaza_county_hall_london,3
,uk_england_london_arosfa,0
,uk_england_london_marriott_london_grosvenor_square_hotel,3
,uk_england_london_the_tower,3
,uk_england_london_grosvenor_house_a_jw_marriott_hotel,2
,uk_england_london_crowne_plaza_london_docklands,0
,uk_england_london_london_marriott_hotel_regents_park,0
,uk_england_london_ashburn_hotel,3
,uk_england_london_alhambra_hotel,2
,uk_england_london_london_hilton_on_park_lane,2
,uk_england_london_radisson_edwardian_new_providence_wharf,0
,uk_england_london_london_marriott_hotel_marble_arch,0
,uk_england_london_sheraton_belgravia_hotel,0
,uk_england_london_novotel_london_city_south,2
,uk_england_london_plaza_on_the_river_club_and_residence,0
,uk_england_london_premier_inn_london_city_tower_hill,0
,uk_england_london_draycott_hotel,0
,uk_england_london_threadneedles_hotel,0
,uk_england_london_holiday_inn_london_regent_s_park,0
,uk_england_london_millennium_mayfair_hotel,2
,uk_england_london_andaz_london,3
,uk_england_london_the_cumberland,2
,uk_england_london_novotel_london_tower_bridge,3
,uk_england_london_novotel_london_st_pancras,0
,uk_england_london_travelodge_london_kings_cross_royal_scot,2
,uk_england_london_jolly_st_ermin_s_hotel,3
,uk_england_london_windsor_house_hotel,0
,uk_england_london_radisson_edwardian_bloomsbury_street,3
,uk_england_london_the_langham_london,2
,uk_england_london_hilton_london_hyde_park,2
,uk_england_london_montana_hotel,2
,uk_england_london_hilton_london_canary_wharf,0
,uk_england_london_lancaster_london,3
,uk_england_london_thistle_marble_arch,3
,uk_england_london_covent_garden_hotel,3
,uk_england_london_st_david_s_hotels,3
,uk_england_london_ibis_london_city,3
,uk_england_london_radisson_edwardian_mountbatten_hotel,3
,uk_england_london_harlingford_hotel,0
,uk_england_london_radisson_edwardian_hampshire_hotel,3
,uk_england_london_britannia_international_hotel,2
,uk_england_london_crown_moran_hotel,0
,uk_england_london_jurys_inn_islington,2
,uk_england_london_grange_holborn_hotel,3
,uk_england_london_crowne_plaza_london_shoreditch,2
,uk_england_london_hilton_london_euston,0
,uk_england_london_the_darlington_hyde_park,3
,uk_england_london_le_meridien_piccadilly,3
,uk_england_london_hilton_london_paddington,0
,uk_england_london_london_lodge_hotel,0
,uk_england_london_travelodge_london_docklands,0
,uk_england_london_jurys_inn_chelsea,0
,uk_england_london_sheraton_park_tower,3
,uk_england_london_myhotel_bloomsbury,2
,uk_england_london_rhodes_hotel,2
,uk_england_london_hilton_london_olympia,0
,uk_england_london_hyatt_regency_london_the_churchill,0
,uk_england_london_the_grosvenor,0
,uk_england_london_parkwood_hotel,2
,uk_england_london_thistle_kensington_gardens,2
,uk_england_london_tavistock_hotel,0
,uk_england_london_park_plaza_sherlock_holmes_london,0
,uk_england_london_millennium_knightsbridge_hotel,0
,uk_england_london_hilton_london_green_park,0
,uk_england_london_holiday_inn_express_earls_court,2
,uk_england_london_radisson_edwardian_kenilworth_hotel,2
,uk_england_london_london_guards_hotel,2
,uk_england_london_royal_garden_hotel,2
,uk_england_london_radisson_edwardian_berkshire_hotel,3
,uk_england_london_novotel_london_excel,0
,uk_england_london_ramada_hyde_park,2
,uk_england_london_thistle_euston,2
,uk_england_london_novotel_london_west,0
,uk_england_london_regency_hotel_queen_s_gate,0
,uk_england_london_president_hotel,2
,uk_england_london_holiday_inn_express_london_swiss_cottage,0
,uk_england_london_comfort_inn_kings_cross,2
,uk_england_london_the_academy,0
,uk_england_london_hotel_indigo_london_paddington,0
,uk_england_london_crestfield_hotel,0
,uk_england_london_amsterdam_hotel,3
,uk_england_london_southwark_rose_hotel,0
,uk_england_london_comfort_inn_buckingham_palace_road,2
,uk_england_london_barkston_garden_hotel_kensington,2
,uk_england_london_ibis_london_euston_st_pancras,3
,uk_england_london_ibis_london_earls_court,0
,uk_england_london_mandarin_oriental_hyde_park_london,0
,uk_england_london_caring_hotel,2
,uk_england_london_rathbone_hotel,2
,uk_england_london_commodore_hotel,2
,uk_england_london_park_inn_hyde_park,2
,uk_england_london_days_inn_london_westminster,0
,uk_england_london_thistle_westminster,2
,uk_england_london_hesperia_london_victoria_hotel,3
,uk_england_london_the_shaftesbury_kensington,2
,uk_england_london_easyhotel_london_earls_court,0
,uk_england_london_radisson_sas_portman_hotel,0
,uk_england_london_megaro_hotel,3
,uk_england_london_radisson_edwardian_leicester_square_hotel,3
,uk_england_london_quality_crown_hotel_paddington,3
,uk_england_london_westbury_mayfair,3
,uk_england_london_premier_inn_london_euston,3
,uk_england_london_chiswick_moran_hotel,0
,uk_england_london_holiday_inn_express_london_park_royal,0
,uk_england_london_twenty_nevern_square,0
,uk_england_london_claridge_s,0
,uk_england_london_comfort_inn_vauxhall,1
,uk_england_london_wardonia_hotel,0
,uk_england_london_the_ritz_london,3
,uk_england_london_quality_crown_hotel_kensington,0
,uk_england_london_umi_london,2
,uk_england_london_cadogan_hotel,0
,uk_england_london_the_dorchester,3
,uk_england_london_city_hotel,2
,uk_england_london_the_hyde_park_towers_hotel,0
,uk_england_london_royal_court_apartments,2
,uk_england_london_the_caesar,2
,uk_england_london_radisson_edwardian_sussex_hotel,2
,uk_england_london_travelodge_london_farringdon,0
,uk_england_london_georgian_house_hotel,2
,uk_england_london_washington_mayfair_hotel,3
,uk_england_london_cardiff_hotel,0
,uk_england_london_the_kingsley_by_thistle,2
,uk_england_london_imperial_hotel,2
,uk_england_london_best_western_mostyn_hotel,3
,uk_england_london_danubius_hotel_regents_park,0
,uk_england_london_ambassadors_hotel_in_bloomsbury,2
,uk_england_london_millennium_copthorne_hotels_at_chelsea_football_club,0
,uk_england_london_sidney_hotel,2
,uk_england_london_queens_park_hotel,0
,uk_england_london_custom_house_hotel,2
,uk_england_london_blakemore_hotel,2
,uk_england_london_holiday_inn_oxford_circus,2
,uk_england_london_london_house_hotel,2
,uk_england_london_quality_crown_hotel_hyde_park,2
,uk_england_london_best_western_burns_hotel,2
,uk_england_london_the_savoy,0
,uk_england_london_bayswater_inn,0
,uk_england_london_city_continental_london_kensington,2
,uk_england_london_pembridge_palace_hotel,0
,uk_england_london_thistle_bloomsbury_park,2
,uk_england_london_easyhotel_london_victoria,0
,uk_england_london_best_western_paddington_court_hotel_suites,0
,uk_england_london_grand_royale_london_hyde_park,0
,uk_england_london_comfort_inn_victoria,3
,uk_england_london_mayflower_hotel_apartments,1
,uk_england_london_henry_viii_hotel,0
,uk_england_london_huttons_hotel,0
,uk_england_london_grosvenor_kensington_hotel,0
,uk_england_london_travelodge_london_liverpool_street,2
,uk_england_london_travelodge_london_marylebone,2
,uk_england_london_kensington_rooms,0
,uk_england_london_travelodge_london_kings_cross,0
,uk_england_london_park_lane_mews_hotel,1
,uk_england_london_thistle_selfridge,2
,uk_england_london_the_norfolk_towers_hotel,0
,uk_england_london_shaftesbury_premier_hyde_park_paddington,0
,uk_england_london_royal_norfolk_hotel,2
,uk_england_london_euston_square_hotel,0
,uk_england_london_royal_eagle_hotel,2
,uk_england_london_airways_hotel,0
,uk_england_london_ambassadors_hotel,0
,uk_england_london_eden_plaza_hotel,0
,uk_england_london_hyde_hotel,1
,uk_england_london_apollo_hotel_bayswater,0
,uk_england_london_prince_william_hotel,0
,uk_england_london_queens_hotel_crystal_palace,0
,uk_england_london_park_hotel,0
Recommend a hotel for photography enthusiasts.,uk_england_london_swissotel_the_howard,2
Recommend a hotel for photography enthusiasts.,uk_england_london_royal_horseguards,1
Recommend a hotel for photography enthusiasts.,uk_england_london_hoxton_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_hilton_london_tower_bridge,1
Recommend a hotel for photography enthusiasts.,uk_england_london_renaissance_chancery_court_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_city_inn_westminster,1
Recommend a hotel for photography enthusiasts.,uk_england_london_apex_city_of_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_marriott_london_county_hall,2
Recommend a hotel for photography enthusiasts.,uk_england_london_st_martins_lane_hotel,2
Recommend a hotel for photography enthusiasts.,uk_england_london_park_plaza_riverbank_london,2
Recommend a hotel for photography enthusiasts.,uk_england_london_the_tower,2
Recommend a hotel for photography enthusiasts.,uk_england_london_the_soho_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_london_bridge_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_hotel_41,0
Recommend a hotel for photography enthusiasts.,uk_england_london_the_landmark_london,2
Recommend a hotel for photography enthusiasts.,uk_england_london_sofitel_st_james_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_the_parkcity,1
Recommend a hotel for photography enthusiasts.,uk_england_london_base2stay_kensington,0
Recommend a hotel for photography enthusiasts.,uk_england_london_the_trafalgar_hotel,2
Recommend a hotel for photography enthusiasts.,uk_england_london_k_k_hotel_george,1
Recommend a hotel for photography enthusiasts.,uk_england_london_the_may_fair,1
Recommend a hotel for photography enthusiasts.,uk_england_london_the_park_lane_sheraton_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_strand_palace_hotel,0
Recommend a hotel for photography enthusiasts.,uk_england_london_radisson_edwardian_new_providence_wharf,1
Recommend a hotel for photography enthusiasts.,uk_england_london_the_cumberland,0
Recommend a hotel for photography enthusiasts.,uk_england_london_the_montague_on_the_gardens,1
Recommend a hotel for photography enthusiasts.,uk_england_london_london_hilton_on_park_lane,2
Recommend a hotel for photography enthusiasts.,uk_england_london_the_waldorf_hilton,1
Recommend a hotel for photography enthusiasts.,uk_england_london_the_grand_at_trafalgar_square,1
Recommend a hotel for photography enthusiasts.,uk_england_london_premier_inn_london_county_hall,1
Recommend a hotel for photography enthusiasts.,uk_england_london_royal_park_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_radisson_edwardian_bloomsbury_street,1
Recommend a hotel for photography enthusiasts.,uk_england_london_rubens_at_the_palace,1
Recommend a hotel for photography enthusiasts.,uk_england_london_park_plaza_county_hall_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_the_cavendish_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_park_plaza_victoria_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_radisson_edwardian_grafton_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_thistle_marble_arch,0
Recommend a hotel for photography enthusiasts.,uk_england_london_marriott_london_park_lane,0
Recommend a hotel for photography enthusiasts.,uk_england_london_charing_cross,1
Recommend a hotel for photography enthusiasts.,uk_england_london_radisson_edwardian_mountbatten_hotel,0
Recommend a hotel for photography enthusiasts.,uk_england_london_hilton_london_kensington,0
Recommend a hotel for photography enthusiasts.,uk_england_london_the_sumner_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_copthorne_tara_hotel_london_kensington,0
Recommend a hotel for photography enthusiasts.,uk_england_london_millennium_gloucester,1
Recommend a hotel for photography enthusiasts.,uk_england_london_hilton_london_metropole,1
Recommend a hotel for photography enthusiasts.,uk_england_london_k_west_hotel_spa,1
Recommend a hotel for photography enthusiasts.,uk_england_london_covent_garden_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_grosvenor_house_a_jw_marriott_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_kensington_close_hotel,0
Recommend a hotel for photography enthusiasts.,uk_england_london_millennium_bailey_s_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_crowne_plaza_london_kensington,0
Recommend a hotel for photography enthusiasts.,uk_england_london_marriott_london_grosvenor_square_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_crowne_plaza_london_st_james,1
Recommend a hotel for photography enthusiasts.,uk_england_london_the_milestone_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_russell_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_athenaeum_hotel_apartments,1
Recommend a hotel for photography enthusiasts.,uk_england_london_st_giles_hotel_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_melia_white_house,0
Recommend a hotel for photography enthusiasts.,uk_england_london_the_chesterfield_mayfair_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_park_plaza_sherlock_holmes_london,1
Recommend a hotel for photography enthusiasts.,uk_england_london_grange_city_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_holiday_inn_london_kensington_forum,1
Recommend a hotel for photography enthusiasts.,uk_england_london_wyndham_grand_london_chelsea_harbour,1
Recommend a hotel for photography enthusiasts.,uk_england_london_jolly_st_ermin_s_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_lancaster_london,0
Recommend a hotel for photography enthusiasts.,uk_england_london_intercontinental_london_park_lane_hotel,1
Recommend a hotel for photography enthusiasts.,uk_england_london_thistle_city_barbican,0
Recommend a hotel for photography enthusiasts.,uk_england_london_london_marriott_west_india_quay,1
Recommend a hotel for photography enthusiasts.,uk_england_london_sanderson_hotel_london,1
Suggest a hotel for cultural explorers.,uk_england_london_rubens_at_the_palace,3
Suggest a hotel for cultural explorers.,uk_england_london_hotel_41,3
Suggest a hotel for cultural explorers.,uk_england_london_renaissance_chancery_court_london,3
Suggest a hotel for cultural explorers.,uk_england_london_hoxton_hotel,3
Suggest a hotel for cultural explorers.,uk_england_london_the_montague_on_the_gardens,3
Suggest a hotel for cultural explorers.,uk_england_london_city_inn_westminster,2
Suggest a hotel for cultural explorers.,uk_england_london_park_plaza_riverbank_london,2
Suggest a hotel for cultural explorers.,uk_england_london_k_k_hotel_george,3
Suggest a hotel for cultural explorers.,uk_england_london_the_chesterfield_mayfair_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_the_milestone_hotel,3
Suggest a hotel for cultural explorers.,uk_england_london_london_bridge_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_radisson_edwardian_bloomsbury_street,3
Suggest a hotel for cultural explorers.,uk_england_london_melia_white_house,2
Suggest a hotel for cultural explorers.,uk_england_london_the_landmark_london,2
Suggest a hotel for cultural explorers.,uk_england_london_apex_city_of_london,3
Suggest a hotel for cultural explorers.,uk_england_london_st_martins_lane_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_the_may_fair,2
Suggest a hotel for cultural explorers.,uk_england_london_millennium_bailey_s_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_the_soho_hotel,3
Suggest a hotel for cultural explorers.,uk_england_london_hilton_london_tower_bridge,3
Suggest a hotel for cultural explorers.,uk_england_london_russell_hotel,3
Suggest a hotel for cultural explorers.,uk_england_london_the_parkcity,2
Suggest a hotel for cultural explorers.,uk_england_london_radisson_edwardian_grafton_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_athenaeum_hotel_apartments,2
Suggest a hotel for cultural explorers.,uk_england_london_kensington_close_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_byron_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_sofitel_st_james_london,3
Suggest a hotel for cultural explorers.,uk_england_london_the_langham_london,2
Suggest a hotel for cultural explorers.,uk_england_london_millennium_gloucester,2
Suggest a hotel for cultural explorers.,uk_england_london_covent_garden_hotel,3
Suggest a hotel for cultural explorers.,uk_england_london_thistle_marble_arch,2
Suggest a hotel for cultural explorers.,uk_england_london_mandeville_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_holiday_inn_london_kensington_forum,3
Suggest a hotel for cultural explorers.,uk_england_london_royal_horseguards,3
Suggest a hotel for cultural explorers.,uk_england_london_strand_palace_hotel,3
Suggest a hotel for cultural explorers.,uk_england_london_radisson_edwardian_vanderbilt,3
Suggest a hotel for cultural explorers.,uk_england_london_the_cumberland,2
Suggest a hotel for cultural explorers.,uk_england_london_park_plaza_victoria_london,2
Suggest a hotel for cultural explorers.,uk_england_london_crowne_plaza_london_kensington,3
Suggest a hotel for cultural explorers.,uk_england_london_royal_park_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_st_giles_hotel_london,1
Suggest a hotel for cultural explorers.,uk_england_london_luna_simone_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_the_cavendish_london,3
Suggest a hotel for cultural explorers.,uk_england_london_k_west_hotel_spa,2
Suggest a hotel for cultural explorers.,uk_england_london_swissotel_the_howard,3
Suggest a hotel for cultural explorers.,uk_england_london_the_zetter,3
Suggest a hotel for cultural explorers.,uk_england_london_the_sumner_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_premier_inn_london_county_hall,3
Suggest a hotel for cultural explorers.,uk_england_london_mandarin_oriental_hyde_park_london,2
Suggest a hotel for cultural explorers.,uk_england_london_base2stay_kensington,3
Suggest a hotel for cultural explorers.,uk_england_london_the_trafalgar_hotel,3
Suggest a hotel for cultural explorers.,uk_england_london_the_waldorf_hilton,3
Suggest a hotel for cultural explorers.,uk_england_london_copthorne_tara_hotel_london_kensington,2
Suggest a hotel for cultural explorers.,uk_england_london_hilton_london_kensington,2
Suggest a hotel for cultural explorers.,uk_england_london_park_plaza_sherlock_holmes_london,2
Suggest a hotel for cultural explorers.,uk_england_london_president_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_ramada_encore_london_west,2
Suggest a hotel for cultural explorers.,uk_england_london_royal_national_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_intercontinental_london_park_lane_hotel,2
Suggest a hotel for cultural explorers.,uk_england_london_crowne_plaza_london_st_james,2
