,eqr,q2e,q2d
Suggest a restaurant with exceptional chef's tasting menus.,0.5625,0.6527777777777777,0.5625
What are some of the best restaurants for wine enthusiasts?,0.45138888888888884,0.4756944444444445,0.46875
Where can I find restaurants with unique food and wine pairings?,0.45731707317073167,0.47560975609756095,0.4573170731707317
Where can I find restaurants for a sports event?,0.4299768518518518,0.4560185185185185,0.42708333333333337
Suggest a restaurant with amazing skyline views.,0.3970588235294118,0.4490196078431372,0.3362745098039216
What are the top farm-to-table restaurants?,0.525,0.4,0.225
Recommend a restaurant that's perfect for business meetings.,0.4119047619047619,0.30952380952380953,0.3654761904761905
Recommend a restaurant with innovative vegetarian options.,0.3669298245614035,0.3669298245614035,0.32403508771929823
Where can I find restaurants with great views of the city?,0.36764705882352944,0.3426470588235294,0.34044117647058825
Where can I dine with beautiful waterfront views?,0.3573717948717949,0.47756410256410253,0.19711538461538464
Which restaurants offer great seasonal dining experiences?,0.34153225806451615,0.43911290322580643,0.22983870967741934
Where can I find restaurants that source local ingredients?,0.3547619047619048,0.30654761904761907,0.20297619047619048
Where can I find the best aesthetic brunch spots in town?,0.2965399610136452,0.27972709551656916,0.27923976608187134
Where can I find restaurants that cater to dietary restrictions?,0.246117258784702,0.3050863909920404,0.28538147932440305
What are the best restaurants for a romantic dinner?,0.23159212472971435,0.2575395470581541,0.22703994537384775
What are the best restaurants for celebrating anniversaries?,0.25852095059412133,0.27853345841150723,0.14462163852407756
What are the top restaurants for a scenic dining atmosphere?,0.23161764705882354,0.27028397565922924,0.16696247464503045
Where can I find restaurants with both local and international cuisine?,0.16032182103610676,0.26713762428048143,0.21526687598116168
Looking for a restaurant that feels exclusive but not pretentious.,0.1981161021109475,0.2427589592538046,0.18127147766323023
What are the best restaurants for a relaxing long dinner?,0.22783849423193686,0.28589860352155433,0.10048573163327261
Which restaurants blend modern cuisine with traditional recipes?,0.21078431372549017,0.2630718954248366,0.13112745098039216
I want a fine dining experience.,0.2349561830574489,0.2745374878286271,0.08617332035053554
Suggest a restaurant with a magical dining ambiance.,0.19781299109481404,0.23549633315872184,0.16130827658459926
What are the best restaurants for food photography?,0.13392857142857142,0.24776785714285715,0.17336309523809523
Where can I find the most authentic ethnic cuisine?,0.18076923076923077,0.17512019230769232,0.18389423076923078
What are the best restaurants for special occasions?,0.19755826859045506,0.22179060303366627,0.08393451720310766
What are the best restaurants for a business lunch?,0.29914529914529914,0.16025641025641024,0.038461538461538464
Suggest a restaurant with the best cocktail program.,0.13818585176852893,0.17577490313710786,0.1738063992001
I want a restaurant with a theatrical dining experience.,0.18579404466501243,0.22518610421836227,0.07149503722084367
Where can I find restaurants that combine innovative and comfort food?,0.14853646011639848,0.15613231769941802,0.15014121876069841
What restaurants have the most Instagram-worthy presentations?,0.16792369121561668,0.16644483880508726,0.11623779946761312
Where can I find restaurants with great outdoor seating?,0.151587695921225,0.15688377975518317,0.13083246759112876
Which restaurants are good for meeting people?,0.12124973019641702,0.16889704295273042,0.14785236347938702
Suggest a restaurant with unique cultural fusion dishes.,0.12063762791918131,0.1742652847021779,0.13246195224350565
What are the best restaurants for group celebrations?,0.11425339366515838,0.18320135746606336,0.12754524886877827
Recommend a restaurant with great private dining options.,0.10437710437710437,0.17003367003367004,0.13973063973063973
Recommend a restaurant that feels like eating at a family home.,0.12420058139534884,0.13895348837209304,0.1385174418604651
Recommend a family-friendly restaurant.,0.1710826210826211,0.13333333333333333,0.09636752136752137
What are the best restaurants for a family reunion dinner?,0.12405405405405406,0.12081081081081081,0.14756756756756756
Where can I eat near the best cultural sites?,0.13091397849462366,0.17258064516129032,0.08225806451612902
Where can I dine to experience the city's culinary nightlife?,0.10963344905043905,0.15346130283847254,0.09824892791505002
Where's a good place to dine alone?,0.12076612903225806,0.13951612903225807,0.07600806451612904
Recommend restaurants with a strong cultural or historical significance.,0.11699507389162561,0.11600985221674878,0.10123152709359606
What are the best restaurants for a quick but quality lunch?,0.1254310344827586,0.11584051724137931,0.08432112068965517
What are the best restaurants for late-night dining?,0.13816964285714287,0.11897321428571428,0.06796875
Where can I find a trendy restaurant?,0.0883493846976993,0.08950864990190832,0.08819332976636347
Where can I find a restaurant that balances gourmet cuisine and affordability?,0.11149555147578025,0.04459115944075695,0.09945629148425364
What are the best hidden gem restaurants in the city?,0.08564211212516297,0.0905720338983051,0.07064863102998696
Recommend a restaurant with a straightforward menu.,0.10185185185185185,0.010802469135802469,0.12037037037037036
What restaurants offer the best value for money?,0.08603477072578196,0.04386197995748557,0.08267537200121469
AVERAGE,0.21785945717609292,0.23262551790708771,0.17750904619695304
