Hotel,Summary
usa_new york city_3_west_club,"There is no mention of waterfront views in the provided hotel reviews. The hotel overlooks W 51st Street, with views of St. Patrick's Cathedral and Rockefeller Center."
usa_new york city_414_hotel,"I am sorry, but none of the hotel reviews mention waterfront views. The hotel is located in the Theater District near Restaurant Row."
usa_new york city_60_thompson,"I am sorry, but none of the provided hotel reviews mention waterfront views."
usa_new york city_6_columbus,"I am sorry, but based on the text you provided, there is no information about waterfront views from this hotel. The reviews mention its location near Central Park and the Time Warner Center, but not any proximity to a waterfront."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"I am sorry, but none of the reviews mention waterfront views."
usa_new york city_ace_hotel_nyc,There is no mention of waterfront views at this hotel.
usa_new york city_affinia_50,"Several reviews mention rooms on higher floors offering great city views, with some suites having balconies that overlook 3rd Avenue and offer views of the Hudson River and Roosevelt Island. One reviewer highlights a corner suite (room 2103) on the 21st floor with views uptown, downtown, and over the Hudson River."
usa_new york city_affinia_dumont,"Rooms on the 32nd floor have a nice view of the city, and rooms on the 31st floor have views of the city. Corner rooms on the 25th floor have views of the river."
usa_new york city_affinia_gardens,"I am sorry, but none of the reviews mention waterfront views. The Affinia Gardens, located on the Upper East Side, offers spacious rooms with kitchenettes and is near Central Park. Some rooms overlook a garden."
usa_new york city_affinia_manhattan,"This hotel has rooms with views overlooking Madison Square Garden, Times Square, and the Empire State Building. Some rooms on higher floors have balconies, and the hotel is located across the street from Penn Station."
usa_new york city_affinia_shelburne,"The hotel has rooms with views of the East River and some rooms feature balconies. It also has a rooftop bar, which is open when it is not raining, and offers views of the Empire State and Chrysler buildings."
usa_new york city_aka_united_nations,"I am sorry, the hotel reviews do not contain information about waterfront views. The hotel is near the UN Headquarters."
usa_new york city_algonquin_hotel,"I'm sorry, but none of the provided reviews mention waterfront views. However, the hotel is centrally located near Times Square and other attractions."
usa_new york city_americana_inn,"I'm sorry, but none of the hotel reviews mention waterfront views. Most reviews focus on the hotel's budget-friendly nature, cleanliness, and central Manhattan location."
usa_new york city_amsterdam_court_hotel,"There is no mention of waterfront views; many guests cite the hotel's excellent location near Times Square and Broadway. The rooms are often described as small, and some rooms have views of brick walls or air shafts."
usa_new york city_astor_on_the_park,"I am sorry, I cannot answer the question because the reviews do not mention waterfront views. This hotel is located on Central Park West, near Central Park. Some rooms have views of Central Park and the Manhattan skyline."
usa_new york city_bedford_hotel,The hotel does not have waterfront views. Some rooms on the upper floors have views of the Empire State Building and Chrysler Building.
usa_new york city_beekman_tower_hotel,"The Beekman Tower Hotel offers rooms with views of the East River, some from upper floors or with balconies. The Top of the Tower restaurant/bar on the 26th floor has great views of the river and across into Brooklyn."
usa_new york city_belleclaire_hotel,Some rooms at the Belleclaire Hotel offer views of the Hudson River. One reviewer stayed in a King size room on the 9th floor with a deluxe queen and a view towards the river.
usa_new york city_bentley_hotel,"The Bentley Hotel offers rooms with East River views, with some rooms also overlooking the 59th Street Bridge and Roosevelt Island. The rooftop bar and restaurant provide great views of the Hudson River, Queensboro Bridge, and surrounding areas."
usa_new york city_best_western_bowery_hanbee_hotel,There is no mention of waterfront views in the reviews.
usa_new york city_best_western_convention_center_hotel,"Some rooms have views of the Hudson River. By the small window, you can see the river."
usa_new york city_best_western_hospitality_house,"I am sorry, but none of the reviews mention any waterfront views from this hotel. The hotel is centrally located, and the area is accessible to shops, restaurants, and attractions."
usa_new york city_best_western_seaport_inn_downtown,The Seaport Inn is located in lower Manhattan near the Brooklyn Bridge and the Seaport. Some rooms offer views of the Brooklyn Bridge and the water.
usa_new york city_blue_moon_hotel,Rooms on higher floors of the Blue Moon Hotel offer views of the Williamsburg Bridge and East River towards Brooklyn. Some rooms also have terraces with views.
usa_new york city_broadway_plaza_hotel,There is no information about waterfront views for this hotel. The hotel has views of the Empire State Building.
usa_new york city_buckingham_hotel,"I am sorry, but none of the reviews mention waterfront views. However, some rooms do have views up 6th Avenue and 57th Street."
usa_new york city_candlewood_suites_new_york_city_times_square,One reviewer mentioned a great view of the Hudson River from the 31st floor. Another reviewer mentioned a view of a building under construction.
usa_new york city_carlton_arms,"There is no mention of waterfront views in the provided hotel reviews. The hotel is known for its artistic decor, with each room designed by a different artist, and its central location in Manhattan."
usa_new york city_carvi_hotel_new_york,"I am sorry, but the reviews do not contain information about waterfront views. The hotel is described as small and new, with clean rooms, marble bathrooms, and comfortable beds. Some rooms face another building and may have noise from air conditioning units."
usa_new york city_casablanca_hotel,"I'm sorry, but there is no information about waterfront views in the hotel reviews provided. However, the hotel is located near Times Square, close to Broadway theaters, and subways with access to main areas of interest in Manhattan."
usa_new york city_chambers_hotel,"There is no mention of waterfront views in the provided hotel reviews. The hotel is located off 5th Avenue, near Central Park."
usa_new york city_chelsea_lodge,"I am sorry, but the reviews do not mention any waterfront views. The hotel is located on a quiet, tree-lined street in Chelsea, close to subway stations and restaurants."
usa_new york city_chelsea_pines_inn,"I am sorry, but there is no information about waterfront views at this hotel. Chelsea Pines Inn is located in the Chelsea/Meatpacking district of New York City, near the subway, restaurants, and shops."
usa_new york city_chelsea_savoy_hotel,"I am sorry, but none of the reviews mention waterfront views. The hotel is in a convenient location, close to subway lines, restaurants, and attractions such as Times Square."
usa_new york city_city_club_hotel,"I am sorry, none of the reviews mention waterfront views. However, some rooms have balconies with city views, and some rooms face a brick wall."
usa_new york city_clarion_collection_the_solita_soho_hotel,There is no mention of waterfront views in the provided hotel reviews. The Solita Soho Hotel is located in lower Manhattan at the edge of Soho and Little Italy.
usa_new york city_club_quarters_downtown,"The hotel is near the South Street Seaport which has shops and the Staten Island Ferry. A walk from Battery Park up the Hudson is a must, and the hotel is within walking distance of the Staten Island Ferry and the ferries to the Statue of Liberty/Ellis Island."
usa_new york city_club_quarters_midtown,"I'm sorry, but none of the hotel reviews mention waterfront views. However, the hotel is in a great location near Times Square, Broadway, Rockefeller Center, and 5th Avenue shopping."
usa_new york city_club_quarters_rockefeller_center,"I am sorry, but none of the reviews mention waterfront views. Most reviews talk about the hotel's great location near Rockefeller Center, Radio City Music Hall, and 5th Avenue. Some rooms have views of St. Patrick's Cathedral or the Rockefeller Center ice skating rink."
usa_new york city_comfort_inn_chelsea,"I'm sorry, but none of the hotel reviews mention waterfront views. However, some rooms have views of the Empire State Building."
usa_new york city_comfort_inn_manhattan,"I am sorry, but none of the reviews mention a waterfront view. Some rooms on higher floors offer views of the Empire State Building."
usa_new york city_comfort_inn_manhattan_bridge,"Rooms on higher floors overlook the Manhattan Bridge and the financial district, offering views. Some rooms also overlook an area park and Chrystie Street."
usa_new york city_comfort_inn_midtown,"I'm sorry, but this hotel has no waterfront views. Instead, you can find it in a convenient location, just steps away from Times Square."
usa_new york city_comfort_inn_midtown_manhattan,There is no mention of waterfront views in the hotel reviews. The hotel is near Times Square and the Theater District.
usa_new york city_comfort_inn_midtown_west_convention_center,"I am sorry, but based on the reviews, there is no mention of any waterfront views at this hotel. The hotel is located in midtown Manhattan."
usa_new york city_comfort_inn_times_square,There is no information about waterfront views. The hotel is near Times Square.
