Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is noted for its prime location near Rockefeller Center, St. Patrick's Cathedral, and Radio City Music Hall. Some reviews mention the building is part of the Republican National Women's Club, and that the hotel offers clean, comfortable rooms at a reasonable price, though without luxury amenities."
usa_new york city_414_hotel,"The 414 Hotel is a small, European-style hotel located in the Theater District near Restaurant Row, with a courtyard and free continental breakfast. Rooms feature flat-screen TVs, comfortable beds, and are generally clean, though some guests have noted issues with noise, outdated furnishings, and cleanliness of carpets and bathrooms."
usa_new york city_60_thompson,"60 Thompson is a stylish boutique hotel in the heart of SoHo, with a rooftop bar offering city views and a Thai restaurant, Kittichai, on-site. Rooms are noted as smaller, with some wear, but well-designed, and upper floors recommended to avoid noise from the bar."
usa_new york city_6_columbus,"6 Columbus is a modern, boutique hotel with a great location near Central Park and Columbus Circle, offering easy access to subway lines and attractions, with comfortable beds and upscale amenities. While some rooms are small, the hotel is praised for its friendly staff and proximity to shopping, dining, and transportation."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue Hotel is a small, chic Midtown hotel near Grand Central Terminal, offering comfortable rooms with amenities such as flat-screen TVs and iPod docking stations; some rooms have Empire State Building views and Jacuzzi tubs. The hotel also offers a wine reception each evening, though the lobby and elevators are small."
usa_new york city_ace_hotel_nyc,"The Ace Hotel in NYC has uniquely decorated rooms with features like guitars and record players, and offers amenities such as free Wi-Fi and a complimentary breakfast. It is located near Penn Station and major attractions, with a lobby that functions as a social space."
usa_new york city_affinia_50,"The Affinia 50 offers spacious rooms, some with kitchens and balconies, and comfortable beds in a central Midtown East location, with friendly and helpful staff. Complimentary wine and cheese are available on weekday evenings and rooms feature aveda toiletries."
usa_new york city_affinia_dumont,"The Affinia Dumont offers spacious rooms, some with Chrysler Building views and kitchenettes, in the Murray Hill neighborhood, near subways, the Empire State Building, and Macy's. Many reviewers praise the friendly, helpful staff and the fitness-themed amenities, making it a comfortable and well-located option for a memorable vacation."
usa_new york city_affinia_gardens,"Affinia Gardens is located on the Upper East Side and has spacious rooms that include kitchens and comfortable beds, with some rooms offering patios. The hotel is close to Central Park, museums, and shopping, and it is known for its friendly and helpful staff."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is centrally located across from Penn Station and Madison Square Garden, with spacious rooms, some featuring kitchenettes and multiple bathrooms, and higher floors offering city views; however, some rooms are noted as having dated decor and experiencing street noise. The hotel offers options such as a pillow menu and experience kits, and is known for friendly staff and service."
