,eqr,q2e,q2d
I love histroy and culture in Rome. I want similar cities.,0.5,0.46,0.46
Leading tech hub cities,0.5,0.4666666666666667,0.43333333333333335
Top cities for fashion aficionados,0.35,0.4,0.31666666666666665
Top cities for wildlife enthusiasts,0.30000000000000004,0.35,0.3666666666666667
Most popular destinations for theme park enthusiasts.,0.359375,0.28125,0.359375
Must Visit cities for your bucket list,0.3090909090909091,0.2818181818181818,0.32727272727272727
Cities for sports enthusiasts,0.3028169014084507,0.2605633802816901,0.29577464788732394
Educational cities for student trips,0.3125,0.20833333333333331,0.3229166666666667
Best cities for movie buffs,0.25,0.2803030303030303,0.29545454545454547
I want to relax on beautiful beaches,0.2570093457943925,0.24766355140186916,0.2570093457943925
Great cities to celebrate a child's birthday,0.2543859649122807,0.24561403508771928,0.2543859649122807
Cities for a high school graduation trip,0.22807017543859648,0.24561403508771928,0.2807017543859649
Cities known for entertainment,0.2884615384615385,0.20192307692307693,0.25961538461538464
Youth Friendly cities for travelers,0.30952380952380953,0.1746031746031746,0.26190476190476186
Safest cities for travel,0.2647058823529412,0.19607843137254902,0.2549019607843137
Most beautiful island cities to explore,0.25,0.31730769230769235,0.14423076923076922
Recommended cities for company teambuilding,0.2894736842105263,0.2631578947368421,0.09649122807017543
Top cities for shopping enthusiasts,0.2459016393442623,0.18032786885245902,0.2213114754098361
Top cities for music lovers,0.21686746987951805,0.21686746987951808,0.20481927710843373
Most romantic cities for a honeymoon,0.26666666666666666,0.15555555555555556,0.2111111111111111
Best cities for water activities,0.20945945945945948,0.1891891891891892,0.20945945945945948
Cleanest cities to visit,0.22131147540983606,0.11475409836065574,0.27049180327868855
Vibrant cities known for their tropical atmosphere,0.21710526315789475,0.2368421052631579,0.1513157894736842
Cities for art lovers,0.2112676056338028,0.17605633802816903,0.16901408450704225
Cities with the most interesting and unique content for vloggers,0.21212121212121213,0.16666666666666669,0.17424242424242425
Top cities for luxury travel,0.18181818181818182,0.17272727272727273,0.18181818181818182
Culinary cities for food lovers,0.18888888888888888,0.1388888888888889,0.15555555555555556
Top cities for adventure seekers,0.17763157894736842,0.125,0.17105263157894737
I want to capture stunning sunshine,0.18072289156626506,0.1325301204819277,0.14457831325301204
Family friendly cities for vacations,0.13679245283018868,0.14622641509433962,0.17452830188679244
Best cities for an anniversary celebration,0.15740740740740738,0.06481481481481481,0.23148148148148148
Leading nightlife destinations around the world,0.14851485148514854,0.13861386138613863,0.15841584158415842
Top cities for leisurely strolls,0.16517857142857142,0.13392857142857142,0.13392857142857142
Picturesque cities for photography enthusiasts,0.16666666666666666,0.11728395061728394,0.14814814814814814
Spectacular coastal cities,0.14814814814814814,0.1419753086419753,0.13271604938271603
Great cities for solo travelers,0.1532258064516129,0.12096774193548387,0.14516129032258066
I want to explore unique local events,0.15441176470588236,0.13970588235294118,0.11764705882352941
Budget friendly cities for travelers,0.15625,0.0390625,0.2109375
Best cities for winter vacations,0.1283783783783784,0.14864864864864866,0.11486486486486487
Beautiful cities near water bodies,0.1358695652173913,0.13043478260869565,0.10869565217391304
Best cities to visit for cultural experiences,0.14331210191082802,0.11146496815286623,0.10828025477707005
Cities for a rejuvenating retreat,0.1271186440677966,0.11864406779661016,0.10169491525423728
Best cities for museum enthusiasts,0.11057692307692307,0.10096153846153846,0.11538461538461539
Top destinations renowned for their architectural landmarks,0.09684684684684686,0.09234234234234234,0.09009009009009009
Cities with a natural atmosphere,0.06,0.07,0.09
Perfect cities for introverts,0.04,0.01,0.1
Hidden gem cities for a peaceful holiday,0.02631578947368421,0.04736842105263158,0.0736842105263158
Best cities to avoid crowds,0.03333333333333333,0.022222222222222223,0.07777777777777778
Ideal cities for a digital detox,0.0784313725490196,0.03431372549019608,0.0196078431372549
Charming small town cities,0.025,0.018750000000000003,0.025
AVERAGE,0.20493908336129255,0.17668063641728612,0.1945903199497293
