,eqr,q2e,q2d
What are the best restaurants for a romantic dinner?,0.6056105610561056,0.7020598611585296,0.5570729486741778
Where can I find the most authentic ethnic cuisine?,0.6105769230769231,0.5927884615384615,0.6009615384615384
Where can I find restaurants with unique food and wine pairings?,0.5507474429583006,0.5668764752163651,0.5263571990558615
Suggest a restaurant with the best cocktail program.,0.485814273215848,0.5688663917010374,0.588676415448069
Suggest a restaurant with unique cultural fusion dishes.,0.5047559695617948,0.5788506953555497,0.5402125426397271
Where can I find restaurants for a sports event?,0.4594907407407407,0.5590277777777778,0.5381944444444444
What are the best restaurants for celebrating anniversaries?,0.5670731707317074,0.5991244527829893,0.3880550343964978
Where can I find restaurants that cater to dietary restrictions?,0.453407105416424,0.5714424383614831,0.5221316249271986
Recommend a restaurant with innovative vegetarian options.,0.5624561403508772,0.5163157894736843,0.46350877192982454
Looking for a restaurant that feels exclusive but not pretentious.,0.4466126656848306,0.5830878743249878,0.508100147275405
What are some of the best restaurants for wine enthusiasts?,0.4930555555555555,0.5,0.5416666666666667
Suggest a restaurant with exceptional chef's tasting menus.,0.375,0.6527777777777777,0.4861111111111111
Where can I find restaurants with great outdoor seating?,0.5202809521658611,0.5321152716924884,0.4529111522652333
What are the best restaurants for special occasions?,0.5716796152423234,0.6120051794302627,0.317055123936367
Where can I find the best aesthetic brunch spots in town?,0.503411306042885,0.4420077972709552,0.48635477582846
Suggest a restaurant with a magical dining ambiance.,0.5162388685175485,0.5554609743321111,0.35758250392875857
Where can I find restaurants that combine innovative and comfort food?,0.46465251626155424,0.4399178363574119,0.4714138993495378
I want a fine dining experience.,0.4925024342745862,0.5716650438169426,0.26095423563778
Where can I find a trendy restaurant?,0.4525593008739076,0.4451132512930266,0.4110932762618156
Where can I find restaurants with both local and international cuisine?,0.3529565672422815,0.488487702773417,0.4013605442176871
What are the best restaurants for a quick but quality lunch?,0.4542025862068966,0.3604525862068966,0.3764008620689655
What are the top restaurants for a scenic dining atmosphere?,0.3894523326572008,0.4667849898580122,0.3118661257606491
What are the best restaurants for group celebrations?,0.33585972850678736,0.40588235294117647,0.3908371040723982
Which restaurants blend modern cuisine with traditional recipes?,0.40032679738562094,0.4505718954248366,0.2691993464052288
What are the best restaurants for a relaxing long dinner?,0.4033090467516697,0.4998482088646023,0.1845780206435944
Which restaurants are good for meeting people?,0.3210662637599827,0.3898122167062379,0.37653788042305203
Where can I dine to experience the city's culinary nightlife?,0.31361037369818257,0.3981519297529099,0.3180518684909128
Suggest a restaurant with amazing skyline views.,0.3509803921568627,0.38431372549019605,0.25882352941176473
Where can I find restaurants with great views of the city?,0.31323529411764706,0.3720588235294118,0.2838235294117647
Which restaurants offer great seasonal dining experiences?,0.23790322580645162,0.4669354838709677,0.22903225806451613
Where can I find restaurants that source local ingredients?,0.38809523809523805,0.3047619047619048,0.23333333333333334
Recommend a restaurant that feels like eating at a family home.,0.3319767441860465,0.3011627906976744,0.2886627906976744
Recommend restaurants with a strong cultural or historical significance.,0.3044334975369458,0.29983579638752056,0.28160919540229884
I want a restaurant with a theatrical dining experience.,0.3024193548387097,0.38771712158808935,0.15601736972704716
What are the best hidden gem restaurants in the city?,0.27697196870925683,0.2729791395045632,0.26507496740547587
What restaurants have the most Instagram-worthy presentations?,0.3197278911564626,0.2891156462585034,0.19757468204673173
Recommend a family-friendly restaurant.,0.3035612535612536,0.21267806267806266,0.22350427350427352
Where's a good place to dine alone?,0.2594086021505376,0.2602822580645161,0.20665322580645162
Recommend a restaurant that's perfect for business meetings.,0.2761904761904762,0.20476190476190476,0.24523809523809526
What restaurants offer the best value for money?,0.2632098390525357,0.17328423929547526,0.2384983297904646
Where can I dine with beautiful waterfront views?,0.2403846153846154,0.3141025641025641,0.11858974358974358
What are the best restaurants for late-night dining?,0.23928571428571427,0.22433035714285715,0.17946428571428572
Where can I find a restaurant that balances gourmet cuisine and affordability?,0.22129642705832508,0.12180482982629572,0.24014969637056913
What are the best restaurants for a family reunion dinner?,0.17756756756756759,0.14405405405405405,0.2145945945945946
Where can I eat near the best cultural sites?,0.17096774193548386,0.22096774193548388,0.1064516129032258
What are the best restaurants near major tourist attractions?,0.15530936454849498,0.12144648829431437,0.18164715719063546
What are the top farm-to-table restaurants?,0.25,0.1,0.1
Recommend a restaurant with a straightforward menu.,0.17901234567901234,0.043209876543209874,0.2006172839506173
What are the best restaurants for food photography?,0.07886904761904762,0.18154761904761904,0.12648809523809523
Recommend a restaurant with great private dining options.,0.10101010101010101,0.14983164983164982,0.11952861952861953
AVERAGE,0.3584991969092045,0.3799500472318385,0.3155969785744773
