Query,Restaurant,Relevance Score
Where can I find a restaurant with an interesting backstory?,City Tavern Restaurant,3
Where can I find a restaurant with an interesting backstory?,Butcher and Singer,3
Where can I find a restaurant with an interesting backstory?,Serpico,3
Where can I find a restaurant with an interesting backstory?,Del Frisco's Double Eagle Steakhouse,3
Where can I find a restaurant with an interesting backstory?,Lacroix Restaurant at The Rittenhouse,2
Where can I find a restaurant with an interesting backstory?,Tashan,2
Where can I find a restaurant with an interesting backstory?,Ralphs Italian Restaurant,3
Where can I find a restaurant with an interesting backstory?,The Continental Mid-town,3
Where can I find a restaurant with an interesting backstory?,The Victor Cafe,3
Where can I find a restaurant with an interesting backstory?,Marigold Kitchen,3
Where can I find a restaurant with an interesting backstory?,Heritage,3
Where can I find a restaurant with an interesting backstory?,Supper,2
Where can I find a restaurant with an interesting backstory?,Bistrot La Minette,2
Where can I find a restaurant with an interesting backstory?,Sbraga,3
Where can I find a restaurant with an interesting backstory?,Rittenhouse Grill,2
Where can I find a restaurant with an interesting backstory?,Spice Finch,3
Where can I find a restaurant with an interesting backstory?,Barclay Prime,2
Where can I find a restaurant with an interesting backstory?,Davios,2
Where can I find a restaurant with an interesting backstory?,Rose Tattoo Cafe,3
Where can I find a restaurant with an interesting backstory?,Vietnam Cafe,2
Where can I find a restaurant with an interesting backstory?,a.kitchen,2
Where can I find a restaurant with an interesting backstory?,Kanella,3
Where can I find a restaurant with an interesting backstory?,Positano Coast by Aldo Lamberti,2
Where can I find a restaurant with an interesting backstory?,Bibou,3
Where can I find a restaurant with an interesting backstory?,La Peg,3
Where can I find a restaurant with an interesting backstory?,Alma de Cuba,3
Where can I find a restaurant with an interesting backstory?,Hardena_Waroeng Surabaya Restaurant,3
Where can I find a restaurant with an interesting backstory?,Laurel,3
Where can I find a restaurant with an interesting backstory?,Marrakesh,3
Where can I find a restaurant with an interesting backstory?,Pub & Kitchen,3
Where can I find a restaurant with an interesting backstory?,Vetri Cucina,3
Where can I find a restaurant with an interesting backstory?,Buddakan,2
Where can I find a restaurant with an interesting backstory?,Friday Saturday Sunday,2
Where can I find a restaurant with an interesting backstory?,The Farmers' Cabinet,3
Where can I find a restaurant with an interesting backstory?,Morimoto,3
Where can I find a restaurant with an interesting backstory?,Villa Di Roma,3
Where can I find a restaurant with an interesting backstory?,The Dandelion,3
Where can I find a restaurant with an interesting backstory?,Dante & Luigi's,3
Where can I find a restaurant with an interesting backstory?,Tequilas Restaurant,3
Where can I find a restaurant with an interesting backstory?,Karma Restaurant & Bar,2
Where can I find a restaurant with an interesting backstory?,Pod,3
Where can I find a restaurant with an interesting backstory?,Harp & Crown,3
Where can I find a restaurant with an interesting backstory?,La Locanda Del Ghiottone,2
Where can I find a restaurant with an interesting backstory?,Seorabol Korean Restaurant,2
Where can I find a restaurant with an interesting backstory?,White Dog Cafe,3
Where can I find a restaurant with an interesting backstory?,The Capital Grille,1
Where can I find a restaurant with an interesting backstory?,Le Viet Restaurant,0
Where can I find a restaurant with an interesting backstory?,The Continental Restaurant and Martini Bar,2
Where can I find a restaurant with an interesting backstory?,Mad Rex,3
Where can I find a restaurant with an interesting backstory?,XIX Nineteen,2
Where can I find a restaurant with an interesting backstory?,Matyson,2
Where can I find a restaurant with an interesting backstory?,Twenty Manning,2
Where can I find a restaurant with an interesting backstory?,R2L,2
Where can I find a restaurant with an interesting backstory?,Han Dynasty,2
Where can I find a restaurant with an interesting backstory?,Landmark Americana Tap & Grill - University City,1
Where can I find a restaurant with an interesting backstory?,Sassafras Bar,3
Where can I find a restaurant with an interesting backstory?,Fogo de Chao,2
Where can I find a restaurant with an interesting backstory?,Lolita,3
Where can I find a restaurant with an interesting backstory?,Fork,2
Where can I find a restaurant with an interesting backstory?,La Fourno Ristorante Trattoria,1
Where can I find a restaurant with an interesting backstory?,Fond,2
Where can I find a restaurant with an interesting backstory?,The Industry,2
Where can I find a restaurant with an interesting backstory?,National Mechanics,3
Where can I find a restaurant with an interesting backstory?,Vedge,3
Where can I find a restaurant with an interesting backstory?,Louie Louie,2
Where can I find a restaurant with an interesting backstory?,Urban Farmer Philadelphia,2
Where can I find a restaurant with an interesting backstory?,Porcini,2
Where can I find a restaurant with an interesting backstory?,Bud & Marilyn's,3
Where can I find a restaurant with an interesting backstory?,Bistro Romano,3
Where can I find a restaurant with an interesting backstory?,Distrito,3
Where can I find a restaurant with an interesting backstory?,Audrey Claire,2
Where can I find a restaurant with an interesting backstory?,Uzbekistan Restaurant,3
Where can I find a restaurant with an interesting backstory?,Rex at the Royal,3
Where can I find a restaurant with an interesting backstory?,Vernick Food & Drink,3
Where can I find a restaurant with an interesting backstory?,Square 1682,2
Where can I find a restaurant with an interesting backstory?,Las Bugambilias,2
Where can I find a restaurant with an interesting backstory?,Jones,2
Where can I find a restaurant with an interesting backstory?,Ocean Prime,0
Where can I find a restaurant with an interesting backstory?,City Tap House,0
Where can I find a restaurant with an interesting backstory?,Russet,3
Where can I find a restaurant with an interesting backstory?,Dim Sum House,2
Where can I find a restaurant with an interesting backstory?,London Grill,2
Where can I find a restaurant with an interesting backstory?,Suraya,3
Where can I find a restaurant with an interesting backstory?,Abe Fisher,2
Where can I find a restaurant with an interesting backstory?,Harvest Seasonal Grill & Wine Bar - Philadelphia,1
Where can I find a restaurant with an interesting backstory?,Chifa,3
Where can I find a restaurant with an interesting backstory?,Red Owl Tavern,2
Where can I find a restaurant with an interesting backstory?,The Little Lion,3
Where can I find a restaurant with an interesting backstory?,Wm Mulherin's Sons,3
Where can I find a restaurant with an interesting backstory?,Kensington Quarters,2
Where can I find a restaurant with an interesting backstory?,Double Knot,3
Where can I find a restaurant with an interesting backstory?,Barbuzzo,2
Where can I find a restaurant with an interesting backstory?,New Delhi Indian Restaurant,1
Where can I find a restaurant with an interesting backstory?,Porta,2
Where can I find a restaurant with an interesting backstory?,The Rooster,3
Where can I find a restaurant with an interesting backstory?,Race Street Cafe,1
Where can I find a restaurant with an interesting backstory?,Stateside,2
Where can I find a restaurant with an interesting backstory?,Ristorante Pesto,3
Where can I find a restaurant with an interesting backstory?,Little Pete's Restaurant,3
Where can I find a restaurant with an interesting backstory?,Talula's Garden,3
Where can I find a restaurant with an interesting backstory?,Garces Trading Company,2
Where can I find a restaurant with an interesting backstory?,Khmer Kitchen,3
Where can I find a restaurant with an interesting backstory?,Amada,2
Where can I find a restaurant with an interesting backstory?,IndeBlue Modern Indian Food & Spirits,2
Where can I find a restaurant with an interesting backstory?,Gran Caffe L'Aquila,3
Where can I find a restaurant with an interesting backstory?,Devil's Alley Bar & Grille,2
Where can I find a restaurant with an interesting backstory?,Modo Mio,3
Where can I find a restaurant with an interesting backstory?,Bellini,0
Where can I find a restaurant with an interesting backstory?,Veda - Modern Indian Bistro,3
Where can I find a restaurant with an interesting backstory?,La Viola,2
Where can I find a restaurant with an interesting backstory?,Indian Restaurant,2
Where can I find a restaurant with an interesting backstory?,South,3
Where can I find a restaurant with an interesting backstory?,The Adobe Cafe,3
Where can I find a restaurant with an interesting backstory?,Farmicia,2
Where can I find a restaurant with an interesting backstory?,Little Fish,3
