Query,Hotel,Relevance Score
What are the best hotels for an unforgettable vacation?,queries_new,3
What are the best hotels for an unforgettable vacation?,usa_new york city_mandarin_oriental_new_york,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_mela,3
What are the best hotels for an unforgettable vacation?,usa_new york city_ritz_carlton_battery_park,2
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_gansevoort,3
What are the best hotels for an unforgettable vacation?,usa_new york city_new_york_palace_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_ritz_carlton_new_york_central_park,3
What are the best hotels for an unforgettable vacation?,usa_new york city_room_mate_grace,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_st_james,3
What are the best hotels for an unforgettable vacation?,usa_new york city_library_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_beacon,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_elysee,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_westin_new_york_at_times_square,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_on_rivington,2
What are the best hotels for an unforgettable vacation?,usa_new york city_intercontinental_the_barclay_new_york,3
What are the best hotels for an unforgettable vacation?,usa_new york city_sofitel_new_york,3
What are the best hotels for an unforgettable vacation?,usa_new york city_casablanca_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_le_parker_meridien,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_bryant_park,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_shoreham,2
What are the best hotels for an unforgettable vacation?,usa_new york city_bentley_hotel,2
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_chandler,3
What are the best hotels for an unforgettable vacation?,usa_new york city_san_carlos_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_millennium_un_plaza_hotel,2
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_giraffe,3
What are the best hotels for an unforgettable vacation?,usa_new york city_affinia_shelburne,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_blakely_new_york,3
What are the best hotels for an unforgettable vacation?,usa_new york city_courtyard_new_york_manhattan_midtown_east,3
What are the best hotels for an unforgettable vacation?,usa_new york city_embassy_suites_hotel_new_york_city,3
What are the best hotels for an unforgettable vacation?,usa_new york city_residence_inn_by_marriott_times_square_new_york,3
What are the best hotels for an unforgettable vacation?,usa_new york city_cosmopolitan_hotel_tribeca,2
What are the best hotels for an unforgettable vacation?,usa_new york city_new_york_marriott_marquis,3
What are the best hotels for an unforgettable vacation?,usa_new york city_w_new_york_times_square,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_benjamin,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_kimberly_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_london_nyc,3
What are the best hotels for an unforgettable vacation?,usa_new york city_roger_williams_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_belvedere,3
What are the best hotels for an unforgettable vacation?,usa_new york city_affinia_50,3
What are the best hotels for an unforgettable vacation?,usa_new york city_peninsula_new_york,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_muse_hotel_new_york_a_kimpton_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_comfort_inn_midtown,3
What are the best hotels for an unforgettable vacation?,usa_new york city_dream,3
What are the best hotels for an unforgettable vacation?,usa_new york city_jumeirah_essex_house,3
What are the best hotels for an unforgettable vacation?,usa_new york city_belleclaire_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_maritime_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_renaissance_new_york_hotel_times_square,3
What are the best hotels for an unforgettable vacation?,usa_new york city_omni_berkshire_place,3
What are the best hotels for an unforgettable vacation?,usa_new york city_on_the_ave_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_novotel_new_york_times_square,3
What are the best hotels for an unforgettable vacation?,usa_new york city_skyline_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_red_roof_inn_manhattan,2
What are the best hotels for an unforgettable vacation?,usa_new york city_the_michelangelo_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_holiday_inn_midtown_57th_st,2
What are the best hotels for an unforgettable vacation?,usa_new york city_new_york_marriott_downtown,3
What are the best hotels for an unforgettable vacation?,usa_new york city_night_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_41_at_times_square,3
What are the best hotels for an unforgettable vacation?,usa_new york city_new_york_marriott_east_side,2
What are the best hotels for an unforgettable vacation?,usa_new york city_beekman_tower_hotel,2
What are the best hotels for an unforgettable vacation?,usa_new york city_affinia_dumont,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_lucerne_hotel,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_carlton,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hotel_metro,3
What are the best hotels for an unforgettable vacation?,usa_new york city_hilton_times_square,3
What are the best hotels for an unforgettable vacation?,usa_new york city_the_pod_hotel,2
What are the best hotels for an unforgettable vacation?,usa_new york city_the_iroquois,3
