,eqr,q2e,q2d
Where can I stay that works for multiple generations?,0.47421596997625004,0.5513179972278287,0.4963629436892575
Suggest a hotel with the best spa services.,0.446875,0.5291666666666666,0.51875
Recommend a hotel with a lively atmosphere.,0.49837662337662336,0.6126623376623377,0.38149350649350644
Where can I stay that works well with young kids and no fuss?,0.5038794538794539,0.5381174381174381,0.4447108447108447
Where can I stay that feels youthful and energetic?,0.5070945945945946,0.5007882882882883,0.4612612612612613
Where can I stay to fully experience the nightlife of a city?,0.482202380952381,0.46831349206349204,0.4782936507936508
What are the top boutique hotels?,0.4214779372674109,0.5160021265284422,0.44827219564061666
Recommend a hotel with great family-friendly amenities.,0.4484028516286581,0.49266414588995233,0.3078547796289732
Looking for a hotel with creative spaces and an artsy vibe.,0.43700396825396826,0.5004960317460317,0.2693452380952381
Where can I stay for the best sunrise or sunset views?,0.40277777777777773,0.4583333333333333,0.3333333333333333
Recommend a hotel with the best poolside service.,0.42499999999999993,0.29166666666666663,0.4666666666666667
Which hotels offer the best opportunities for socializing?,0.2642857142857143,0.4928571428571428,0.425
Recommend a hotel that works well for traveling with teenagers.,0.35981918896321063,0.3935775501672241,0.41335702341137126
Where can I stay near the best art museums?,0.4172322775263952,0.4404851684263449,0.30191050779286077
Suggest a hotel with excellent fine dining.,0.37382756132756134,0.3807720057720058,0.39664502164502163
Where can I stay with beautiful waterfront views?,0.38291855203619907,0.38662644544997493,0.3575289089994973
Recommend a hotel that keeps surprising me every day.,0.4170673076923077,0.40865384615384615,0.2139423076923077
Recommend a pet-friendly hotel.,0.23842536773571255,0.5032151756289688,0.29448999276585486
What are the best hotels for exploring hidden gems in a city?,0.2892857142857143,0.5214285714285715,0.19017857142857142
Where should I stay that matches a high-energy trip?,0.2821067821067821,0.3098845598845599,0.4040404040404041
Suggest a hotel where I can just go with the flow.,0.31976010101010105,0.36410984848484845,0.3050820707070707
"Recommend a hotel with a nostalgic, vintage vibe.",0.32961309523809523,0.34375,0.30505952380952384
Where can I find hotels with a unique architectural design?,0.29644886363636364,0.43167613636363633,0.22755681818181817
Recommend a place for a solo birthday trip.,0.30873737373737375,0.29464646464646466,0.333030303030303
What hotels are affordable but don't feel basic?,0.30848658399887907,0.36708701134930644,0.25910396525150625
Where can I find hotels with great rooftop bars?,0.23175465838509318,0.2911490683229814,0.39829192546583847
I want a hotel that makes me feel like I’m in a movie.,0.2611778846153846,0.39655448717948716,0.1971153846153846
Where can I find hotels that combine adventure and relaxation?,0.25,0.3333333333333333,0.25
Recommend a hotel that feels intimate and private.,0.3081906781800737,0.31561379588951166,0.19596525778922386
Suggest a hotel that works well for working remotely.,0.18253968253968256,0.251984126984127,0.37103174603174605
Where can I stay if I'm traveling with elderly parents?,0.27499999999999997,0.25416666666666665,0.27499999999999997
What are the best hotels for wellness and relaxation?,0.251984126984127,0.27976190476190477,0.251984126984127
What are the top hotels for a scenic retreat?,0.10555555555555556,0.3458333333333333,0.29583333333333334
Where can I stay to get the best of both city and nature?,0.3478260869565218,0.28532608695652173,0.08695652173913043
Where can I find a hotel that balances luxury and affordability?,0.24559742158426368,0.22997242158426368,0.22533725412014885
Where can I stay to avoid the tourist rush without going remote?,0.19140786749482402,0.22593167701863354,0.23633540372670808
Where should I stay during a creative block?,0.14583333333333331,0.15,0.3416666666666666
Where should I stay for easy airport access?,0.18958333333333333,0.25958333333333333,0.17333333333333334
Where can I stay that fits a minimalist travel style?,0.23214285714285712,0.1607142857142857,0.19642857142857142
Recommend a place where I won't feel like a tourist.,0.1788647342995169,0.17838164251207728,0.21751207729468597
Recommend a hotel for travellers who just want to people-watch.,0.1953125,0.1984375,0.1515625
Suggest a hotel with a magical ambiance.,0.15625,0.24479166666666666,0.13541666666666666
Recommend a hotel that matches a slower travel rhythm.,0.17857142857142858,0.2589285714285714,0.09821428571428571
Suggest a hotel that's perfect for art lovers.,0.18392857142857144,0.23392857142857143,0.08571428571428572
Recommend a hotel that works well for group celebrations.,0.15000000000000002,0.17142857142857143,0.1
Suggest a hotel that complements a journaling or reflection-focused trip.,0.14821428571428572,0.15714285714285714,0.08571428571428572
Where can I stay that fits well with a photography-heavy trip?,0.05,0.3,0.0
What are some hotels that are great for slow mornings?,0.25,0.0,0.0625
Suggest a hotel that doesn't feel too polished.,0.1374198717948718,0.06971153846153846,0.03485576923076923
What are some of the best hotels for gourmet lovers?,0.0625,0.10416666666666666,0.0625
AVERAGE,0.2908995183840251,0.33590281115234566,0.27125078469277303
