,eqr,q2e,q2d
Recommend a restaurant with innovative vegetarian options.,0.9520570111690898,0.9189606210034756,0.8838103014479615
Where can I find restaurants that cater to dietary restrictions?,0.8760988192225624,0.9279212462198074,0.9355538734878198
What are the best restaurants for a romantic dinner?,0.9072303065495222,0.9488883865671218,0.8389777094447886
Where can I find restaurants with unique food and wine pairings?,0.8978188557805822,0.9243592159297598,0.8156440135611419
What are some of the best restaurants for wine enthusiasts?,0.8799872684163006,0.8548109673491917,0.889736173768239
Where can I find restaurants for a sports event?,0.8365639329363479,0.9094733300041374,0.867016627616976
Where can I find the most authentic ethnic cuisine?,0.7999032729741686,0.883967884983959,0.9258653704722203
Where can I find restaurants with great outdoor seating?,0.8371002792220055,0.9108848107403452,0.8559060290315659
Suggest a restaurant with the best cocktail program.,0.7254350551823466,0.8965376590755164,0.8882202502418305
Looking for a restaurant that feels exclusive but not pretentious.,0.832280716826289,0.9035612916406907,0.5893863517578808
What are the best restaurants for celebrating anniversaries?,0.8393839620854997,0.9096136566238722,0.42182127281207976
What are the top restaurants for a scenic dining atmosphere?,0.7339313881092516,0.8449533122934718,0.5448534750180618
What are the best restaurants for special occasions?,0.8651193551871867,0.8302760431103042,0.4040050657354387
Suggest a restaurant with exceptional chef's tasting menus.,0.4398087429128154,0.8624175281128229,0.7373657931818877
Suggest a restaurant with a magical dining ambiance.,0.6403169715643791,0.8294037101675864,0.5259251763076622
Where can I find restaurants with great views of the city?,0.7852426836725587,0.7753849721706865,0.4257297078520403
Where can I find the best aesthetic brunch spots in town?,0.6599216983741606,0.6920335702148632,0.6266644522606364
What are the best restaurants for a quick but quality lunch?,0.7240312304620439,0.6902517838957871,0.5619832377085194
Where can I find restaurants that combine innovative and comfort food?,0.5668872387261391,0.7143608751139131,0.6765757176504468
I want a fine dining experience.,0.6632540686156119,0.7886036123671281,0.3892292664025109
Suggest a restaurant with unique cultural fusion dishes.,0.4234257112214159,0.9069154432504543,0.48795784049681995
Which restaurants are good for meeting people?,0.5493336042904327,0.6798928474385162,0.5580942288853017
Suggest a restaurant with amazing skyline views.,0.7340691004976718,0.7370554641614424,0.2911091002057389
What are the best restaurants for a relaxing long dinner?,0.6894941552478728,0.7728857715785116,0.27062332242156806
Where can I find restaurants with both local and international cuisine?,0.417613409540257,0.6400048155525442,0.6492745620385693
Where can I dine to experience the city's culinary nightlife?,0.5798735186146081,0.6906107872228335,0.4138329951864572
Recommend restaurants with a strong cultural or historical significance.,0.5264241021724729,0.6966913336401794,0.44798701317272954
What are the best restaurants for group celebrations?,0.5166676091383208,0.7555210953372289,0.3949052995958659
Which restaurants blend modern cuisine with traditional recipes?,0.5280201404102316,0.8337101512434145,0.29993176154654055
Where can I find restaurants that source local ingredients?,0.6201176348792896,0.6336846983825467,0.4030225759749432
Recommend a restaurant that feels like eating at a family home.,0.4065056187022359,0.49906691666806047,0.7127022836520589
Recommend a family-friendly restaurant.,0.6507624834830152,0.6166162698892952,0.33308724504985343
Where's a good place to dine alone?,0.5405827133536711,0.6738783020094918,0.3786361948284035
Where can I find a trendy restaurant?,0.4568541743707389,0.6785075859122373,0.39919848551160764
I want a restaurant with a theatrical dining experience.,0.6306956988419925,0.6854813764034754,0.14776296771271483
Where can I dine with beautiful waterfront views?,0.5186904432748423,0.5515040228436631,0.3143647567428055
What are the best restaurants for late-night dining?,0.5820081343801763,0.4954216220441825,0.2715312454559926
What restaurants offer the best value for money?,0.38381172035239375,0.3029090668956722,0.6262950510398511
Where can I eat near the best cultural sites?,0.5942343531372151,0.528118107925652,0.18256811092031971
Recommend a restaurant that's perfect for business meetings.,0.4844761538512669,0.2697687848163445,0.4899567228837415
What restaurants have the most Instagram-worthy presentations?,0.4376684353864102,0.49458028331793985,0.2825147983909103
Which restaurants offer great seasonal dining experiences?,0.38211597183771817,0.5969738720505432,0.2350118245401361
What are the best hidden gem restaurants in the city?,0.39177015408608096,0.378049826414474,0.383427289178126
What are the best restaurants for a family reunion dinner?,0.46801541384441314,0.21185223335297027,0.4642798653731316
Recommend a restaurant with great private dining options.,0.08822719518515348,0.5931993129222455,0.3206007841771362
Recommend a restaurant with a straightforward menu.,0.36870423888004217,0.024188311688311686,0.561499298952832
Where can I find a restaurant that balances gourmet cuisine and affordability?,0.38951089772883307,0.20759666413344177,0.35492496109646143
What are the top farm-to-table restaurants?,0.3471431848705293,0.2560151432231552,0.3010069444444445
What are the best restaurants near major tourist attractions?,0.13939996943637958,0.4331252654337211,0.24676214008083538
What are the best restaurants for food photography?,0.04998750437487449,0.1898680842606347,0.1642042652249451
AVERAGE,0.5751369789302546,0.6391958327369872,0.48539138984398866
