,eqr,q2e,q2d
Spectacular coastal cities,0.9551849444166229,0.9540298772333996,0.7805269599817091
Best cities for museum enthusiasts,0.8891111004775001,0.8599666166825097,0.92483140822956
I want to relax on beautiful beaches,0.8321424891711233,0.8644026670774603,0.8922697856480846
Leading tech hub cities,0.8874969159927436,0.8505606768353478,0.8482233310268403
Family friendly cities for vacations,0.850235834703013,0.7860589703634577,0.8856736418777019
Cities for sports enthusiasts,0.8682436669008089,0.8170165375330734,0.8233383517512426
Cities for a high school graduation trip,0.7807391917967699,0.8124698163578234,0.8714974972632361
I want to explore unique local events,0.8428025250670151,0.8078901214704488,0.7104006604427142
Top destinations renowned for their architectural landmarks,0.8009896413591667,0.7198893677040843,0.8230618639623475
Great cities to celebrate a child's birthday,0.7539996504130013,0.7646935970216315,0.7070803473436282
Best cities to visit for cultural experiences,0.8310998034004592,0.6383784674275426,0.7475225360275695
Must Visit cities for your bucket list,0.7883568945753523,0.5949887967529528,0.8307710987629735
Top cities for music lovers,0.7660324210918013,0.5854209383824795,0.8281724050038533
Educational cities for student trips,0.8436322364053278,0.45743586372313694,0.8524900552858208
Top cities for wildlife enthusiasts,0.7590166721264283,0.6046388118572914,0.7744348416785292
Recommended cities for company teambuilding,0.8674324099153297,0.5331708146306422,0.7167475014697237
Most popular destinations for theme park enthusiasts.,0.722212585568987,0.6151255690027313,0.7595102624383085
Top cities for fashion aficionados,0.7678984879180875,0.5082202511946449,0.8168040163769977
Youth Friendly cities for travelers,0.8862822612392999,0.5240331910527156,0.6727229307035645
Best cities for an anniversary celebration,0.6228079599537737,0.6513353171898899,0.8068215775771095
Top cities for shopping enthusiasts,0.6899976029384152,0.47636790665386664,0.8083050196099999
Top cities for leisurely strolls,0.7123172009624014,0.6161692246708885,0.6442910205795787
I want to capture stunning sunshine,0.6577122235540773,0.7281072513560654,0.577530337763181
Best cities for movie buffs,0.6594509571580418,0.6539513869930054,0.648797116970556
Culinary cities for food lovers,0.6673804921553981,0.5977553604217096,0.6896140532394701
Cities known for entertainment,0.5882436417290213,0.59546535616896,0.7655277884558809
Cities with the most interesting and unique content for vloggers,0.6101857376003339,0.7138592629203071,0.6245623164162685
Vibrant cities known for their tropical atmosphere,0.6203878096147084,0.7993433197930788,0.5037462998602025
Leading nightlife destinations around the world,0.7579654744254746,0.5289901269398176,0.600990235994981
Top cities for adventure seekers,0.5209666959087365,0.6099473337722185,0.7422487014731566
Cities for art lovers,0.595742395723782,0.4811148663662369,0.7823711826237671
Cleanest cities to visit,0.7397139038557169,0.2386911046266196,0.8492687925045165
Safest cities for travel,0.7673286608494421,0.5522843905629846,0.503099597599409
Most romantic cities for a honeymoon,0.6010428016146895,0.45876950584730464,0.7409710795740208
Picturesque cities for photography enthusiasts,0.6483846435906508,0.4862470546739122,0.66288061772234
I love histroy and culture in Rome. I want similar cities.,0.5871571104501302,0.566933759138404,0.6372456653115792
Top cities for luxury travel,0.4675630359408104,0.4931879964619614,0.7924959702133616
Best cities for winter vacations,0.4275534140232915,0.5598217960583582,0.760312937713964
Best cities for water activities,0.5861883066546434,0.5360971474450797,0.5850995545426154
Cities with a natural atmosphere,0.49536802632384547,0.5525956960606688,0.6483765233374481
Great cities for solo travelers,0.6032802436080192,0.35759237338409705,0.692019420650988
Most beautiful island cities to explore,0.6617937354318466,0.6603046875911335,0.22867771032288722
Hidden gem cities for a peaceful holiday,0.6700174825174825,0.503525641025641,0.31597654847630374
Beautiful cities near water bodies,0.38369129025425974,0.4863689214662792,0.44359406166177273
Cities for a rejuvenating retreat,0.6088679266172872,0.4086960742819804,0.28993261063322295
Budget friendly cities for travelers,0.37281033670472363,0.10076932111815831,0.5718023006931365
Charming small town cities,0.11818590536135776,0.7857142857142857,0.10648148148148148
Perfect cities for introverts,0.6978571428571428,0.03571428571428571,0.2565307088744589
Ideal cities for a digital detox,0.3608519917731763,0.25316636851520574,0.04155138339920949
Best cities to avoid crowds,0.03350468975468975,0.01786786786786787,0.2221711778347934
AVERAGE,0.6645445714489242,0.5761029188620729,0.6561874657677214
