Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is noted for its excellent location near Rockefeller Center and St. Patrick's Cathedral, offering clean, decent rooms with flat-panel TVs and digital cable. It may not be suitable for those seeking luxury amenities like room service."
usa_new york city_414_hotel,"Hotel 414 is a small hotel near Times Square and Restaurant Row, convenient to Penn Station and the subway. It offers amenities such as free WiFi, a computer for guests, and a basic continental breakfast."
usa_new york city_60_thompson,"60 Thompson offers free wireless internet, but some rooms lack a desk, except for suites. There is no business center; a small computer is available at the front desk."
usa_new york city_6_columbus,"6 Columbus is conveniently located near the subway and Time Warner Center. Some rooms have desks, but some business travelers have complained about the lack of space."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"This hotel is conveniently located near Grand Central Station and provides comfortable rooms with a desk, flat-screen TV, and iPod docking station. They offer free wifi, newspapers, and computers in the lobby, as well as business-related services such as printing boarding passes."
usa_new york city_ace_hotel_nyc,"The Ace Hotel provides free Wi-Fi, and is near Penn Station, a subway stop, and bus routes. Some rooms include a work desk and a radio with a laptop plugin."
usa_new york city_affinia_50,"The Affinia 50 offers business travelers office space in the rooms, ergonomic chairs, laptop connections, and spacious rooms. Free Internet access to airlines' websites and boarding pass printing is available, but wireless internet access is an extra charge."
usa_new york city_affinia_dumont,"The Affinia Dumont offers spacious rooms with a large desk and ergonomic chair and is located close to the subway, Grand Central Station, and Penn Station. It is also equipped with a gym, and reviewers report the staff are friendly and helpful."
usa_new york city_affinia_gardens,"The Affinia Gardens offers spacious rooms with kitchens, a quiet atmosphere, and a location convenient to major amenities. A desk is available in each room, and high-speed internet can be purchased."
usa_new york city_affinia_manhattan,"The hotel has a dedicated info area for business travelers during core hours, and some rooms offer an office nook. It has a business center with internet access in the lobby, but there's a fee to use it."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is conveniently located near corporate Midtown and Grand Central Station, although not directly on subway lines, and offers spacious rooms with a kitchenette suitable for longer stays. It also provides internet access for a fee."
usa_new york city_aka_united_nations,"AKA United Nations offers spacious, modern apartments with full kitchens, separate lounge areas, and complimentary broadband internet access, and is conveniently located near the UN Headquarters and Grand Central Terminus. The hotel provides services like a light breakfast on weekdays, a 24-hour gym, and is close to a corner store and supermarket."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is well-located, near Grand Central Station, has wireless internet, and a business center, though the business center has only one computer and one printer that's poorly maintained. Some found the staff friendly and helpful, and some rooms have a desk."
usa_new york city_americana_inn,"This budget-friendly inn is in Midtown Manhattan, within walking distance to Times Square, the Empire State Building, and transportation, and offers amenities such as internet access and a safe deposit box. Rooms are small and basic with shared bathrooms that are generally clean, and street-facing rooms may experience noise."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel is centrally located near Times Square and subway lines, but rooms are small and may have limited amenities; note that WiFi is available for an additional fee. Some rooms may have limited natural light or street noise."
usa_new york city_astor_on_the_park,"The Astor on the Park is a budget-friendly hotel near the subway and Central Park, with small, clean rooms and friendly staff. Some guests have noted issues with noise, heating, and limited amenities."
usa_new york city_bedford_hotel,"The Hotel Bedford is located near Grand Central Station, providing easy access to transportation, and offers rooms with amenities such as free WiFi, kitchenettes, ironing boards, and trouser presses. Some rooms have a separate living room, workspace and digital safes."
usa_new york city_beekman_tower_hotel,"The Beekman Tower offers spacious suites with full kitchens, and a business center, but in-room internet access costs extra. It is located in midtown near the UN."
usa_new york city_belleclaire_hotel,"The Belleclaire Hotel on the Upper West Side has modern rooms with desks, flat-screen TVs, iPod docks, and free Wi-Fi, and is near subway lines making it convenient to reach other business locations. The Manhattan Diner across the street is available for room service."
usa_new york city_bentley_hotel,"The Bentley Hotel offers great value and spacious rooms, but it's a bit out of the way, about a 5-block walk to the subway; also, there is no business center and internet access costs extra. Some reviewers noted that it's conveniently located near the Animal Medical Center, making it suitable for those visiting."
usa_new york city_best_western_bowery_hanbee_hotel,"This hotel has free WiFi, a business center with 2 computers and a printer, and rooms with a desk and safe large enough for a laptop. It's located near the Financial District and has easy access to subways."
usa_new york city_best_western_convention_center_hotel,"This hotel is conveniently located near the Javits Convention Center. It offers free WiFi, a business center, and is close to public transportation."
usa_new york city_best_western_hospitality_house,"The hotel offers free internet in the lounge and workstations, and rooms feature a desk, dining table, and full-sized kitchen which may be useful for business travelers. It's centrally located near the UN, Grand Central Station, and the subway."
