,eqr,q2e,q2d
Where can I stay that works well with young kids and no fuss?,0.9310604056437389,0.8738646384479717,0.8617063492063491
Where can I stay that feels youthful and energetic?,0.7867890211640212,0.852703373015873,0.8500212585034013
Where can I stay that works for multiple generations?,0.747732426303855,0.9205498866213152,0.7603571428571428
Where can I stay to fully experience the nightlife of a city?,0.8367683531746031,0.7162574404761904,0.8328461199294532
Suggest a hotel with the best spa services.,0.7991765873015872,0.8718253968253968,0.7069444444444445
Recommend a hotel with great family-friendly amenities.,0.691765873015873,0.9137152777777777,0.7660218253968254
Recommend a hotel with a lively atmosphere.,0.8402692743764173,0.965280927185689,0.5528571428571428
Where can I stay for the best sunrise or sunset views?,0.921875,0.9517361111111111,0.4670965608465608
What are the top boutique hotels?,0.698263888888889,0.8174355158730159,0.8238789682539682
Suggest a hotel with excellent fine dining.,0.6796598639455782,0.6557879818594105,0.7059920634920636
Recommend a pet-friendly hotel.,0.65625,0.7729613095238096,0.6075231481481481
Recommend a hotel that works well for traveling with teenagers.,0.5159202569916855,0.7153108465608465,0.7338293650793651
Suggest a hotel where I can just go with the flow.,0.5083333333333333,0.7199735449735449,0.6696924603174603
"Recommend a hotel with a nostalgic, vintage vibe.",0.7534722222222222,0.6718395691609977,0.44861111111111107
Where can I find a hotel that balances luxury and affordability?,0.5159722222222223,0.6743055555555555,0.6566666666666666
Recommend a hotel that keeps surprising me every day.,0.7324999999999999,0.6314484126984127,0.4718253968253968
Recommend a hotel with the best poolside service.,0.5676587301587301,0.5803571428571428,0.6666666666666666
Which hotels offer the best opportunities for socializing?,0.5397519841269841,0.7000814909297052,0.5516468253968254
Where can I find hotels with great rooftop bars?,0.5298611111111111,0.5346726190476191,0.69375
Where can I find hotels with a unique architectural design?,0.5246279761904762,0.624875992063492,0.5927083333333333
Where can I stay with beautiful waterfront views?,0.5798405612244898,0.6033301445578232,0.5389774659863945
Looking for a hotel with creative spaces and an artsy vibe.,0.5857837301587301,0.7446900982615268,0.38611111111111107
Where can I stay near the best art museums?,0.7012400793650794,0.5828486394557822,0.4280588624338624
What are the best hotels for exploring hidden gems in a city?,0.4957837301587301,0.7774801587301587,0.4366319444444444
Recommend a hotel that feels intimate and private.,0.524702380952381,0.6651785714285714,0.4930059523809524
What hotels are affordable but don't feel basic?,0.6319816468253968,0.6162202380952381,0.36215277777777777
Where should I stay that matches a high-energy trip?,0.6027777777777777,0.3532142857142857,0.6521846655328798
What are the best hotels for wellness and relaxation?,0.469510582010582,0.5357142857142857,0.48680555555555555
Where should I stay for easy airport access?,0.5488095238095237,0.5454861111111111,0.38888888888888895
Suggest a hotel that works well for working remotely.,0.1967261904761905,0.65625,0.6145833333333333
Where can I stay to avoid the tourist rush without going remote?,0.2833333333333333,0.6061904761904762,0.5425925925925925
Where can I stay if I'm traveling with elderly parents?,0.4041666666666667,0.43353174603174605,0.5555555555555556
I want a hotel that makes me feel like I’m in a movie.,0.5185714285714285,0.48513321995464853,0.3803472222222222
What are the top hotels for a scenic retreat?,0.3072420634920635,0.5161706349206349,0.5423611111111111
Where can I stay that fits a minimalist travel style?,0.5208333333333334,0.2685515873015873,0.5562499999999999
Where should I stay during a creative block?,0.4822089947089947,0.3551587301587301,0.46974206349206343
Suggest a hotel that complements a journaling or reflection-focused trip.,0.44910714285714287,0.3968253968253968,0.44999999999999996
Recommend a place for a solo birthday trip.,0.4330357142857143,0.464781746031746,0.39375
Where can I stay to get the best of both city and nature?,0.5,0.5700396825396825,0.175
Recommend a hotel for travellers who just want to people-watch.,0.36964285714285716,0.32812499999999994,0.4605324074074074
Recommend a place where I won't feel like a tourist.,0.3396494708994709,0.3795634920634921,0.43453042328042324
Recommend a hotel that matches a slower travel rhythm.,0.4444444444444444,0.402281746031746,0.2857142857142857
Suggest a hotel that's perfect for art lovers.,0.29791666666666666,0.4708333333333333,0.3357142857142857
Suggest a hotel with a magical ambiance.,0.2685515873015873,0.45988756613756615,0.2708333333333333
Where can I find hotels that combine adventure and relaxation?,0.31666666666666665,0.3472222222222222,0.31666666666666665
Recommend a hotel that works well for group celebrations.,0.3333333333333333,0.3279513888888889,0.27182539682539686
Where can I stay that fits well with a photography-heavy trip?,0.1919642857142857,0.40625,0.11458333333333333
Suggest a hotel that doesn't feel too polished.,0.23779761904761904,0.09027777777777778,0.25
What are some hotels that are great for slow mornings?,0.3416666666666667,0.17063492063492064,0.0625
What are some of the best hotels for gourmet lovers?,0.09375,0.3125,0.0875
AVERAGE,0.5249749401612496,0.5807461246535651,0.503280821680524
