,eqr,q2e,q2d
Recommend a restaurant with innovative vegetarian options.,1.0,1.0,0.9813271604938272
What are some of the best restaurants for wine enthusiasts?,0.9882716049382716,0.9497051366843032,0.9882716049382716
Where can I find restaurants that cater to dietary restrictions?,0.9475694444444445,0.9733906525573193,1.0
Where can I find restaurants with unique food and wine pairings?,0.9944444444444445,1.0,0.898611111111111
What are the best restaurants for a romantic dinner?,0.9733906525573193,1.0,0.8931492504409171
Where can I find restaurants for a sports event?,0.9125220458553791,0.9888888888888889,0.9350694444444444
Where can I find restaurants with great outdoor seating?,0.8569664902998236,0.9547178130511464,0.9493744488536155
Suggest a restaurant with the best cocktail program.,0.8023313492063491,0.9841269841269842,0.9590305335097002
Where can I find the most authentic ethnic cuisine?,0.8176835317460317,0.9150573192239859,0.9733906525573193
Looking for a restaurant that feels exclusive but not pretentious.,0.9425,0.9785714285714286,0.5775888133030991
What are the top restaurants for a scenic dining atmosphere?,0.8276537698412698,0.9227954144620811,0.6278061224489796
Where can I find restaurants with great views of the city?,0.9841269841269842,0.8697562358276644,0.4861904761904762
What are the best restaurants for celebrating anniversaries?,0.9078798185941042,0.9646825396825396,0.43
Suggest a restaurant with exceptional chef's tasting menus.,0.4488888888888889,0.9350694444444444,0.8515873015873016
What are the best restaurants for a quick but quality lunch?,0.8051133786848073,0.7438775510204082,0.6622023809523809
What are the best restaurants for special occasions?,0.929169422398589,0.8484851347946587,0.4067460317460317
Where can I find restaurants that combine innovative and comfort food?,0.5768055555555556,0.7591836734693878,0.7407539682539682
Where can I find the best aesthetic brunch spots in town?,0.6907159391534392,0.7328373015873015,0.6318121693121693
Suggest a restaurant with a magical dining ambiance.,0.6575821995464852,0.8569223985890653,0.5330555555555556
I want a fine dining experience.,0.6951672335600907,0.8484851347946587,0.5
Suggest a restaurant with amazing skyline views.,0.8555555555555555,0.851736111111111,0.3261904761904762
Recommend restaurants with a strong cultural or historical significance.,0.6125,0.8810185185185184,0.5154761904761904
Recommend a family-friendly restaurant.,0.8049999999999999,0.7625,0.41666666666666663
What are the best restaurants for a relaxing long dinner?,0.7961904761904762,0.8783978174603173,0.27666666666666667
Which restaurants are good for meeting people?,0.6187499999999999,0.7315759637188208,0.5933333333333333
Where can I find restaurants with both local and international cuisine?,0.47023809523809523,0.6831349206349207,0.774702380952381
Where can I find restaurants that source local ingredients?,0.7101984126984127,0.7254761904761904,0.45833333333333326
Where can I dine to experience the city's culinary nightlife?,0.6776077097505668,0.7597767857142858,0.44392857142857145
Recommend a restaurant that feels like eating at a family home.,0.45555555555555555,0.5462962962962963,0.8510204081632653
Where's a good place to dine alone?,0.5947222222222222,0.7531179138321995,0.4833333333333333
What are the best restaurants for group celebrations?,0.5826388888888888,0.8342702821869488,0.375
Suggest a restaurant with unique cultural fusion dishes.,0.36307870370370365,0.9665702160493828,0.43777777777777777
Which restaurants blend modern cuisine with traditional recipes?,0.5768055555555556,0.9168048469387754,0.27222222222222225
Where can I eat near the best cultural sites?,0.8155555555555556,0.6721230158730158,0.1958333333333333
Where can I dine with beautiful waterfront views?,0.5823412698412698,0.6984126984126984,0.375
What are the best restaurants for late-night dining?,0.7436507936507936,0.5594246031746032,0.3333333333333333
Where can I find a trendy restaurant?,0.42373015873015873,0.8157638888888888,0.3964285714285714
I want a restaurant with a theatrical dining experience.,0.7314484126984127,0.7523809523809524,0.13392857142857142
What restaurants offer the best value for money?,0.40075396825396825,0.37083333333333335,0.7367063492063491
What restaurants have the most Instagram-worthy presentations?,0.5283730158730159,0.6114583333333333,0.3138888888888889
Recommend a restaurant that's perfect for business meetings.,0.5618055555555554,0.31666666666666665,0.5458333333333333
Which restaurants offer great seasonal dining experiences?,0.46314484126984123,0.6516666666666666,0.2107142857142857
Recommend a restaurant with great private dining options.,0.05,0.8333333333333333,0.4125
What are the best hidden gem restaurants in the city?,0.43601190476190477,0.39714285714285713,0.425
What are the best restaurants for a family reunion dinner?,0.5406746031746031,0.21428571428571425,0.4916666666666666
Recommend a restaurant with a straightforward menu.,0.4353174603174603,0.0,0.7041666666666666
What are the top farm-to-table restaurants?,0.44166666666666665,0.3,0.3333333333333333
Where can I find a restaurant that balances gourmet cuisine and affordability?,0.4101190476190476,0.26666666666666666,0.3958333333333333
What are the best restaurants near major tourist attractions?,0.11481481481481481,0.5,0.2777777777777778
What are the best restaurants for a business lunch?,0.41250000000000003,0.0,0.0
AVERAGE,0.638837153807392,0.7080854461620827,0.5326774903337403
