Query,City,Relevance Score
Cities known for their cave attractions,Tenerife,3
Cities known for their cave attractions,Gaspe虂,0
Cities known for their cave attractions,Cancu虂n,1
Cities known for their cave attractions,Kavala,3
Cities known for their cave attractions,Mexico City,0
Cities known for their cave attractions,Cuzco,2
Cities known for their cave attractions,Phuket,2
Cities known for their cave attractions,Kauai,2
Cities known for their cave attractions,Chiang Mai,1
Cities known for their cave attractions,Surat Thani,2
Cities known for their cave attractions,Puerto Vallarta,0
Cities known for their cave attractions,Bangkok,0
Cities known for their cave attractions,Flores (Guatemala),3
Cities known for their cave attractions,Zakynthos,3
Cities known for their cave attractions,Jeju City,3
Cities known for their cave attractions,Me虂rida (Mexico),3
Cities known for their cave attractions,Ishigaki,3
Cities known for their cave attractions,Hanoi,1
Cities known for their cave attractions,Santorini,2
Cities known for their cave attractions,Mazatlan,0
Cities known for their cave attractions,Galapagos Islands,0
Cities known for their cave attractions,La Paz,0
Cities known for their cave attractions,Iquitos,0
Cities known for their cave attractions,Ho Chi Minh City,0
Cities known for their cave attractions,Cozumel,1
Cities known for their cave attractions,Ko Samui,0
Cities known for their cave attractions,Aurangabad,3
Cities known for their cave attractions,Da Nang,3
Cities known for their cave attractions,Roata虂n,3
Cities known for their cave attractions,Siem Reap,0
Cities known for their cave attractions,Santo Domingo,2
Cities known for their cave attractions,"Co虂rdoba (city, Argentina)",0
Cities known for their cave attractions,Oaxaca (city),2
Cities known for their cave attractions,Bangalore,3
Cities known for their cave attractions,Cape Town,2
Cities known for their cave attractions,Puerto Maldonado,0
Cities known for their cave attractions,Vientiane,0
Cities known for their cave attractions,Mombasa,0
Cities known for their cave attractions,San Juan,2
Cities known for their cave attractions,Kefalonia,3
Cities known for their cave attractions,Quito,0
Cities known for their cave attractions,Naples,3
Cities known for their cave attractions,Maldives,0
Cities known for their cave attractions,Guilin,3
Cities known for their cave attractions,Manaus,2
Cities known for their cave attractions,Amsterdam,0
Cities known for their cave attractions,San Cristobal (Galapagos),0
Cities known for their cave attractions,Jinan,2
Cities known for their cave attractions,Athens,2
Cities known for their cave attractions,Rio de Janeiro,0
Cities known for their cave attractions,Curac抬ao,3
Cities known for their cave attractions,Mauritius,1
Cities known for their cave attractions,Kozhikode,0
Cities known for their cave attractions,Trabzon,3
Cities known for their cave attractions,Faroe Islands,0
Cities known for their cave attractions,Taipei,0
Cities known for their cave attractions,Tokyo,0
Cities known for their cave attractions,Turku,0
Cities known for their cave attractions,Santa Fe (New Mexico),0
Cities known for their cave attractions,Yangon,0
Cities known for their cave attractions,Hangzhou,1
Cities known for their cave attractions,Aruba,2
Cities known for their cave attractions,Cartagena (Colombia),0
Cities known for their cave attractions,Guadalajara,0
Cities known for their cave attractions,Mangalore,0
Cities known for their cave attractions,Beijing,2
Cities known for their cave attractions,Huatulco,0
Cities known for their cave attractions,Medelli虂n,1
Cities known for their cave attractions,Mumbai,3
Cities known for their cave attractions,Kuala Lumpur,2
Cities known for their cave attractions,Kos虒ice,3
Cities known for their cave attractions,Natal,0
Cities known for their cave attractions,Arequipa,0
Cities known for their cave attractions,Hong Kong,0
Cities known for their cave attractions,Monterrey,3
Cities known for their cave attractions,Albuquerque,0
Cities known for their cave attractions,Belo Horizonte,1
Cities known for their cave attractions,Guayaquil,0
Cities known for their cave attractions,Osaka,0
Cities known for their cave attractions,Ljubljana,2
Cities known for their cave attractions,San Diego,0
Cities known for their cave attractions,San Salvador,0
Cities known for their cave attractions,Asuncio虂n,0
Cities known for their cave attractions,Hilo,3
Cities known for their cave attractions,Florianopolis,0
Cities known for their cave attractions,Kunming,3
Cities known for their cave attractions,Recife,0
Cities known for their cave attractions,Brasilia,0
Cities known for their cave attractions,Bogota虂,0
Cities known for their cave attractions,Kailua-Kona,0
Cities known for their cave attractions,Dubrovnik,0
Cities known for their cave attractions,Sa虄o Paulo,0
Cities known for their cave attractions,Ningbo,1
Cities known for their cave attractions,Lima,0
Cities known for their cave attractions,Fortaleza,0
Cities known for their cave attractions,Tampere,0
Cities known for their cave attractions,Surabaya,0
Cities known for their cave attractions,Gold Coast,2
Cities known for their cave attractions,Sydney,2
Cities known for their cave attractions,Aarhus,0
Cities known for their cave attractions,Marrakech,0
Cities known for their cave attractions,Jakarta,0
Cities known for their cave attractions,Guatemala City,0
Cities known for their cave attractions,Xi'an,0
Cities known for their cave attractions,Koror,1
Cities known for their cave attractions,Reykjavi虂k,0
Cities known for their cave attractions,Budapest,3
Cities known for their cave attractions,Krabi Town,3
Cities known for their cave attractions,Thiruvananthapuram,0
Cities known for their cave attractions,Salvador,0
Cities known for their cave attractions,Johannesburg,2
Cities known for their cave attractions,Puebla,1
Cities known for their cave attractions,Sarajevo,0
Cities known for their cave attractions,Taichung,0
Cities known for their cave attractions,Leh,0
Cities known for their cave attractions,Tottori,0
Cities known for their cave attractions,Brisbane,0
Cities known for their cave attractions,Singapore,0
Cities known for their cave attractions,Morelia,0
Cities known for their cave attractions,Nairobi,0
Cities known for their cave attractions,Cotonou,0
Cities known for their cave attractions,Cabo San Lucas,0
Cities known for their cave attractions,Okayama,2
Cities known for their cave attractions,Sapporo,0
Cities known for their cave attractions,Phnom Penh,0
Cities known for their cave attractions,Maputo,0
Cities known for their cave attractions,Havana,0
Cities known for their cave attractions,Rarotonga,1
Cities known for their cave attractions,Qingdao,1
Cities known for their cave attractions,Managua,0
Cities known for their cave attractions,Chengdu,0
Cities known for their cave attractions,Kristiansand,0
Cities known for their cave attractions,Tucson,3
Cities known for their cave attractions,Zhuhai,0
Cities known for their cave attractions,San Jose虂 (Costa Rica),0
Cities known for their cave attractions,Ibiza,3
Cities known for their cave attractions,Gran Canaria,3
Cities known for their cave attractions,Nanjing,0
Cities known for their cave attractions,Kyoto,0
Cities known for their cave attractions,Harbin,0
Cities known for their cave attractions,Kochi,0
Cities known for their cave attractions,Pristina,0
Cities known for their cave attractions,Bodrum,2
Cities known for their cave attractions,Hefei,0
Cities known for their cave attractions,Sanya,0
Cities known for their cave attractions,Prague,1
Cities known for their cave attractions,Venice,0
Cities known for their cave attractions,Okinawa,2
Cities known for their cave attractions,Honolulu,0
Cities known for their cave attractions,Macau,0
Cities known for their cave attractions,Caracas,0
Cities known for their cave attractions,Genoa,0
Cities known for their cave attractions,Ulaanbaatar,0
Cities known for their cave attractions,Lyon,0
Cities known for their cave attractions,Molde,3
Cities known for their cave attractions,Manila,0
Cities known for their cave attractions,Aguascalientes,0
Cities known for their cave attractions,Porto,0
Cities known for their cave attractions,Rome,1
Cities known for their cave attractions,Tallinn,0
Cities known for their cave attractions,Belgrade,0
Cities known for their cave attractions,Tbilisi,1
Cities known for their cave attractions,Valencia,1
Cities known for their cave attractions,Madrid,0
Cities known for their cave attractions,Rotorua,1
Cities known for their cave attractions,Tashkent,0
Cities known for their cave attractions,Iguac抬u Falls,0
Cities known for their cave attractions,Leticia,0
Cities known for their cave attractions,Kumamoto,3
Cities known for their cave attractions,Doha,3
Cities known for their cave attractions,Tegucigalpa,0
Cities known for their cave attractions,Xiamen,0
Cities known for their cave attractions,Lisbon,0
Cities known for their cave attractions,Auckland,2
Cities known for their cave attractions,Fuzhou,2
Cities known for their cave attractions,Zagreb,0
Cities known for their cave attractions,Pune,3
Cities known for their cave attractions,Quere虂taro,0
Cities known for their cave attractions,Tangier,3
Cities known for their cave attractions,Freetown,0
Cities known for their cave attractions,Vito虂ria,0
Cities known for their cave attractions,Accra,0
Cities known for their cave attractions,Paris,2
Cities known for their cave attractions,Ma虂laga,0
Cities known for their cave attractions,Hurghada,0
Cities known for their cave attractions,Reno,0
Cities known for their cave attractions,Seoul,0
Cities known for their cave attractions,Cali,0
Cities known for their cave attractions,Las Vegas,1
Cities known for their cave attractions,Kaunas,0
