,eqr,q2e,q2d
Where can I stay that works well with young kids and no fuss?,0.6737933300374837,0.7249696345636648,0.6041452374970158
Recommend a hotel with a lively atmosphere.,0.6686118340967233,0.8184633951052263,0.41222930090342313
Where can I stay that feels youthful and energetic?,0.6077315541911303,0.648870877423517,0.6243933329428291
Where can I stay that works for multiple generations?,0.5426299853717855,0.7333389068162751,0.5749625982518534
Where can I stay to fully experience the nightlife of a city?,0.6349833239845498,0.5750185582433129,0.6366824350525591
Suggest a hotel with the best spa services.,0.602719852941315,0.6697845461897836,0.5458525699464223
What are the top boutique hotels?,0.5129056832024586,0.6223480853280502,0.6267682515605109
Recommend a hotel with great family-friendly amenities.,0.5311564705035996,0.6389868525592144,0.45694236540539934
Which hotels offer the best opportunities for socializing?,0.4599021550675962,0.6449990743905217,0.519224154398573
Where can I stay with beautiful waterfront views?,0.4969825772992136,0.5054604613804321,0.47015193577485115
Suggest a hotel with excellent fine dining.,0.4711279080347102,0.4826408569687537,0.5134175075963824
Where can I stay for the best sunrise or sunset views?,0.5271960252564732,0.5850572126856233,0.3325902044690157
Recommend a hotel with the best poolside service.,0.4851152337365152,0.4296910764044385,0.5274038275237125
Recommend a hotel that works well for traveling with teenagers.,0.4032351789693931,0.4530729736966084,0.554613790665639
Looking for a hotel with creative spaces and an artsy vibe.,0.4701437339128499,0.6097099803214815,0.31209948632733536
Recommend a pet-friendly hotel.,0.38630560773459965,0.5586951063875931,0.4281364446680535
Where can I stay near the best art museums?,0.49557529044717674,0.5144748494926927,0.3594572820347495
What are the best hotels for exploring hidden gems in a city?,0.4005515134397122,0.6352567291087128,0.3179368666658582
Recommend a hotel that keeps surprising me every day.,0.5205313862726306,0.4660779506466358,0.33041107463582986
"Recommend a hotel with a nostalgic, vintage vibe.",0.459049473476137,0.4736833584115385,0.365616027349016
Suggest a hotel where I can just go with the flow.,0.356076774924727,0.47582314513258334,0.458376137521475
Where can I find hotels with a unique architectural design?,0.38985952857745454,0.45791115665880816,0.39515292051261525
Where can I find hotels with great rooftop bars?,0.3232037605857369,0.393682841536371,0.48207596274550424
What hotels are affordable but don't feel basic?,0.42907266718383175,0.43520149148613646,0.32538929701261765
Where should I stay that matches a high-energy trip?,0.36047998431377887,0.30041234563866853,0.5237514881173322
I want a hotel that makes me feel like I’m in a movie.,0.39703166048417393,0.4340058519654634,0.34040987953180085
Recommend a place for a solo birthday trip.,0.34103456917465613,0.3630779422756911,0.40432230186944046
Recommend a hotel that feels intimate and private.,0.36448909501800586,0.43977256606497794,0.2938543307859015
Where can I find a hotel that balances luxury and affordability?,0.33946128259788166,0.38125277486174625,0.3559228537663684
What are the best hotels for wellness and relaxation?,0.340888485437904,0.3648774698722001,0.3688490064111182
Where can I find hotels that combine adventure and relaxation?,0.3242534036012297,0.37978524743230624,0.3264309764309764
Where can I stay to avoid the tourist rush without going remote?,0.2304976571682528,0.45811199894808796,0.33812267445418026
Where should I stay for easy airport access?,0.33380617654603006,0.3458689019669958,0.334387008850442
Where should I stay during a creative block?,0.3203970269694719,0.2756158366408791,0.38647092645001613
Suggest a hotel that complements a journaling or reflection-focused trip.,0.27873469753260943,0.28770387082887083,0.38425385824186137
What are the top hotels for a scenic retreat?,0.23315810942237536,0.3522153409014022,0.3529373031054622
Recommend a hotel that matches a slower travel rhythm.,0.2660471411160452,0.41988367523080006,0.2284866443595924
Recommend a place where I won't feel like a tourist.,0.29044628084521146,0.30321655202969316,0.30553399624046784
Where can I stay if I'm traveling with elderly parents?,0.2661560748452092,0.26604751310478886,0.36285523983334084
Suggest a hotel that works well for working remotely.,0.17162645848450572,0.3267699113854484,0.378473535202818
Recommend a hotel that works well for group celebrations.,0.29963941394862453,0.28224095558851997,0.29274075550290385
Where can I stay to get the best of both city and nature?,0.3463522685455601,0.33254209002696644,0.18248586881005255
Where can I stay that fits a minimalist travel style?,0.3147832593962624,0.2188006714694445,0.3116723806594162
Suggest a hotel that's perfect for art lovers.,0.22095554352277041,0.33141470536631823,0.21549673525492485
Recommend a hotel for travellers who just want to people-watch.,0.2671192208964079,0.2204190662742041,0.27065895677044205
Suggest a hotel with a magical ambiance.,0.22983011990583863,0.34892995754221423,0.14918948970279305
Where can I stay that fits well with a photography-heavy trip?,0.18953992815694942,0.35524160524160525,0.13858618233618233
What are some hotels that are great for slow mornings?,0.31992152397709567,0.15851501431009898,0.10438859751359753
Suggest a hotel that doesn't feel too polished.,0.18924999353265035,0.12859236827986828,0.19112319263464905
What are some of the best hotels for gourmet lovers?,0.10940732454744863,0.22439123347879775,0.11103534648048863
AVERAGE,0.38387535098469505,0.4370584917532807,0.3765293708155562
