Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is located across the street from Rockefeller Center and near St. Patrick's Cathedral, offering decent, clean rooms. It is not a typical chain hotel and does not offer amenities like room service."
usa_new york city_414_hotel,"Hotel 414 is a small, recently renovated boutique hotel with friendly staff, a courtyard, and a simple breakfast; some rooms have plasma TVs, mini-fridges, and safes. Guests have noted both positive and negative surprises, ranging from upgrades and welcome notes to cleanliness issues and unexpected room changes."
usa_new york city_60_thompson,"60 Thompson offers turndown service with Voss water and Fat Witch brownies, Fresh brand toiletries are included, and the hotel has a roof top bar. There's a wide variety of items for sale in the mini bar, including an Intimacy Kit and Tocca Candle."
usa_new york city_6_columbus,"6 Columbus offers upgrades to different suites, a rooftop terrace (though sometimes closed), and turndown service with Voss water and chocolate each night. Guests also receive a complimentary newspaper each morning and may find the staff remembers them by name."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"The hotel offers nice touches such as L'Occitane toiletries, a complimentary glass of wine each evening, an umbrella, and a $15 minibar credit for Kimpton In-Touch members. Guests can expect the New York Times delivered every morning, surprises for special occasions, and helpful staff ready to accommodate their needs."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a funky, garage-chic style with a lobby that is a cross between an old library and a room where bankers meet. The hotel rooms have unique decor, such as a guitar, a record player, or SMEG fridge; the hotel also has a sense of humor with its motto, ""Thank you for sleeping with us."""
usa_new york city_affinia_50,The Affinia 50 sometimes provides complimentary upgrades to larger rooms and has free wine and cheese in the Club Room during the week. Guests also mentioned the staff being attentive and providing services such as arranging transport or remembering guest names.
usa_new york city_affinia_dumont,"The Affinia Dumont offers amenities such as a pillow menu, fitness kits, in-room games for children, and a welcome treat to returning guests. Guests have reported room upgrades, personalized service, and high-floor rooms with a great view."
usa_new york city_affinia_gardens,Affinia Gardens has tea in the lobby and they leave tranquility tips each day in the room. Guests have also stated there have been minor issues that staff have readily and courteously resolved.
usa_new york city_affinia_manhattan,"The Affinia Manhattan has kitchenettes, is in a central location near Penn Station and Madison Square Garden, and has helpful staff to book tickets and offer recommendations. Guests can select pillows from a menu, and staff occasionally provide surprise upgrades or items such as teddy bears or free breakfasts."
usa_new york city_affinia_shelburne,"The Affinia Shelburne offers suites with pillow menus, ""My Affinia"" kits, and walking experience kits, and some guests have been upgraded to suites upon arrival or during their stay. Some rooms have views of the Empire State Building or Chrysler Building, and guests can access a rooftop bar, while others have noted kitchenettes with a microwave and fridge."
usa_new york city_aka_united_nations,"AKA United Nations offers modern, well-equipped apartments with kitchens, and provides complimentary breakfast on weekdays and access to a 24-hour gym. The hotel also provides daily snacks in the lobby, and some rooms have balconies."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic hotel with a lobby bar that features live music, cartoon wallpaper in the hallways, and a hotel cat named Matilda. Guests reported finding surprises such as a welcome card, fresh fruit, and coloring books, New Yorker cartoon wallpaper, quotes on the doors, and Matilda lounging around."
usa_new york city_americana_inn,"The Americana Inn is a budget-friendly hotel in a central location with small, clean rooms, shared bathrooms, and friendly staff. Some guests have been surprised to find features like LCD TVs, newly painted rooms, a sink in the room, or a kitchenette on each floor."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel is known for its unbeatable location near Times Square and Broadway, but guest experiences vary widely; some find the rooms small, clean, and modern, while others describe them as tiny, dark, dirty, and in need of repair, and some guests report issues with broken amenities, rude staff, and mice. The hotel offers a mix of positive aspects like helpful staff (in some cases) and modern design alongside negatives like inconsistent room quality and noise issues, which could lead to a different surprise each day."
usa_new york city_astor_on_the_park,"The Astor on the Park appears to offer a mixed experience with some guests reporting cleanliness and friendliness, while others cite issues such as small rooms, noise, broken amenities, and inconsistent service. Some guests found unexpected perks like nice views, comfortable beds, and helpful staff, while others faced disappointments like non-functional TVs, plumbing problems, or dishonest staff."
usa_new york city_bedford_hotel,"The Bedford Hotel is an older hotel with some rooms having been upgraded, so guests may be surprised by the condition of their room; rooms are generally large with kitchenettes and safes. Guests also report varying experiences with the helpfulness of staff."
usa_new york city_beekman_tower_hotel,"The Beekman Tower is an apartment-style hotel with suites that include kitchens and separate living areas, and some rooms offer nice views. Some guests report getting surprise upgrades, and the hotel offers different types of pillows for comfort."
usa_new york city_belleclaire_hotel,"The Belleclaire is described as a quirky, European-style hotel with a unique charm, but also undergoing renovations, with potential for noise issues related to the old heating system, air conditioning, and street traffic. Guests often mention experiencing unexpected upgrades or changes in room quality, both positive and negative, and the hotel leaves small cards on the bed with the expected temperature for the next day."
usa_new york city_bentley_hotel,"The Bentley Hotel offers potential surprises, with some guests receiving automatic room upgrades to suites featuring great skyline views, while others have encountered issues such as loud A/C, noisy streets, broken amenities, and unexpected charges. The hotel's design may feel ""faux chic"" and is in need of improvements."
usa_new york city_best_western_bowery_hanbee_hotel,"The hotel is located in a vibrant area, in the heart of Little Italy and Chinatown. Guests can explore shops, restaurants and different cultures every day."
usa_new york city_best_western_convention_center_hotel,"Rooms are small, but clean and well-equipped, with some offering views of the Hudson. The hotel's location is a bit isolated in an industrial area, but close to the Javits Convention Center and within walking distance of Times Square."
usa_new york city_best_western_hospitality_house,"The Best Western Hospitality House is an apartment-style hotel where guests receive a daily restocked kitchen with breakfast items like muffins, juice, and cereal, and sometimes experience room upgrades. Some guests find pleasant surprises like helpful staff, convenient amenities, and a great location close to attractions and transportation."
usa_new york city_best_western_seaport_inn_downtown,"The Best Western Seaport Inn is located in the South Street Seaport area, near the Brooklyn Bridge, Financial District, and subway, with free breakfast and internet. Some rooms have views of the Brooklyn Bridge, and fresh cookies are offered in the afternoon."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel, a renovated tenement building in Manhattan's Lower East Side, features unique, spacious rooms decorated with vintage Americana, original artwork, and restored architectural details, creating a museum-like atmosphere. Staff are friendly and helpful, and guests can discover a glass of wine at check-in and a complimentary continental breakfast with fresh bagels and pastries."
usa_new york city_broadway_plaza_hotel,"Broadway Plaza Hotel is a small, clean hotel where rooms are renovated each day and the staff is helpful. Pastries, bagels, juice and tea/coffee are available 24/7."
