Query,Restaurant,Relevance Score
Suggest a place with varied seating options.,The Rusty Nail,3
Suggest a place with varied seating options.,Columns,3
Suggest a place with varied seating options.,The Bulldog,3
Suggest a place with varied seating options.,Hot Tin,2
Suggest a place with varied seating options.,Café Amelie,3
Suggest a place with varied seating options.,Green Goddess,3
Suggest a place with varied seating options.,W New Orleans - French Quarter,2
Suggest a place with varied seating options.,Satsuma Café,2
Suggest a place with varied seating options.,Windsor Court Hotel,2
Suggest a place with varied seating options.,The Tasting Room,2
Suggest a place with varied seating options.,The Court of Two Sisters,3
Suggest a place with varied seating options.,The Delachaise,3
Suggest a place with varied seating options.,Cure,3
Suggest a place with varied seating options.,Auction House Market,3
Suggest a place with varied seating options.,Backatown Coffee Parlour,3
Suggest a place with varied seating options.,Copper Vine,3
Suggest a place with varied seating options.,Sylvain,2
Suggest a place with varied seating options.,CellarDoor,3
Suggest a place with varied seating options.,Who Dat Coffee Cafe,3
Suggest a place with varied seating options.,Victory,3
Suggest a place with varied seating options.,Wood Pizza Bistro and Taphouse,3
Suggest a place with varied seating options.,New Orleans Marriott,2
Suggest a place with varied seating options.,"The Ritz-Carlton, New Orleans",3
Suggest a place with varied seating options.,Dat Dog,3
Suggest a place with varied seating options.,The Avenue Pub,3
Suggest a place with varied seating options.,The Country Club,3
Suggest a place with varied seating options.,Royal Sonesta New Orleans,2
Suggest a place with varied seating options.,Le Pavillon Hotel,1
Suggest a place with varied seating options.,Lilette,3
Suggest a place with varied seating options.,Flamingo A-Go-Go,3
Suggest a place with varied seating options.,The Bombay Club,3
Suggest a place with varied seating options.,The Velvet Cactus,3
Suggest a place with varied seating options.,Bakery Bar,3
Suggest a place with varied seating options.,Rue De La Course,3
Suggest a place with varied seating options.,Hotel New Orleans Downtown,1
Suggest a place with varied seating options.,Mojo Coffee House,3
Suggest a place with varied seating options.,Cane and Table,3
Suggest a place with varied seating options.,Landry's Seafood House,3
Suggest a place with varied seating options.,N 7,3
Suggest a place with varied seating options.,Patois Restaurant,2
Suggest a place with varied seating options.,Kin,2
Suggest a place with varied seating options.,The Joint,2
Suggest a place with varied seating options.,Cafe Degas,2
Suggest a place with varied seating options.,Sheraton New Orleans Hotel,2
Suggest a place with varied seating options.,Santa Fe,3
Suggest a place with varied seating options.,The Backyard,2
Suggest a place with varied seating options.,Cafe Beignet on Bourbon Street,3
Suggest a place with varied seating options.,Jack Rose,2
Suggest a place with varied seating options.,Dick & Jenny's,2
Suggest a place with varied seating options.,Cooter Brown's,3
Suggest a place with varied seating options.,The Howlin' Wolf,2
Suggest a place with varied seating options.,Salú Bistro and Bar,2
Suggest a place with varied seating options.,Mona's Cafe,2
Suggest a place with varied seating options.,Cafe Beignet on Royal Street,3
Suggest a place with varied seating options.,1000 Figs,2
Suggest a place with varied seating options.,Ralph's on the Park,2
Suggest a place with varied seating options.,Dante's Kitchen,3
Suggest a place with varied seating options.,Another Broken Egg Cafe,2
Suggest a place with varied seating options.,Shaya,2
Suggest a place with varied seating options.,The Maison,3
Suggest a place with varied seating options.,The Vintage,3
Suggest a place with varied seating options.,Ruby Slipper Cafe,2
Suggest a place with varied seating options.,The Camellia Grill,1
Suggest a place with varied seating options.,Brigtsen's Restaurant,2
Suggest a place with varied seating options.,Vessel NOLA,2
Suggest a place with varied seating options.,Cafe Envie & Espresso Bar,3
Suggest a place with varied seating options.,Bayona,2
Suggest a place with varied seating options.,Warehouse Grille,3
Suggest a place with varied seating options.,Pat O'Brien’s,3
Suggest a place with varied seating options.,Juan's Flying Burrito,2
Suggest a place with varied seating options.,Stella!,2
Suggest a place with varied seating options.,Cowbell,2
Suggest a place with varied seating options.,Orleans Grapevine Wine Bar & Bistro,2
Suggest a place with varied seating options.,Bearcat CBD,3
Suggest a place with varied seating options.,Capdeville,2
Suggest a place with varied seating options.,La Crepe Nanou,2
Suggest a place with varied seating options.,La Casita,2
Suggest a place with varied seating options.,Clancy's Restaurant,2
Suggest a place with varied seating options.,Meauxbar,2
Suggest a place with varied seating options.,Gazebo Cafe,3
Suggest a place with varied seating options.,Down The Hatch,3
Suggest a place with varied seating options.,Toast,2
Suggest a place with varied seating options.,Restaurant August,2
Suggest a place with varied seating options.,Surrey's Uptown,3
Suggest a place with varied seating options.,Beachbum Berry's Latitude 29,2
