Query,Hotel,Relevance Score
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_loews_hotel_vogue,3
What are the best hotels for an unforgettable vacation?,can_montreal_loews_hotel_vogue,3
What are the best hotels for an unforgettable vacation?,can_montreal_le_square_phillips_hotel_suites,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_le_square_phillips_hotel_suites,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hotel_nelligan,3
What are the best hotels for an unforgettable vacation?,can_montreal_hotel_nelligan,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hotel_omni_mont_royal,3
What are the best hotels for an unforgettable vacation?,can_montreal_hotel_omni_mont_royal,3
What are the best hotels for an unforgettable vacation?,can_montreal_w_montreal,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_w_montreal,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_le_place_d_armes_hotel_suites,3
What are the best hotels for an unforgettable vacation?,can_montreal_le_place_d_armes_hotel_suites,3
What are the best hotels for an unforgettable vacation?,can_montreal_sofitel_montreal,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_sofitel_montreal,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hotel_gault,3
What are the best hotels for an unforgettable vacation?,can_montreal_hotel_gault,3
What are the best hotels for an unforgettable vacation?,can_montreal_le_saint_sulpice,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_le_saint_sulpice,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_auberge_du_vieux_port,3
What are the best hotels for an unforgettable vacation?,can_montreal_auberge_du_vieux_port,3
What are the best hotels for an unforgettable vacation?,can_montreal_marriott_chateau_champlain,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_marriott_chateau_champlain,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_residence_inn_by_marriott_montreal_downtown,3
What are the best hotels for an unforgettable vacation?,can_montreal_residence_inn_by_marriott_montreal_downtown,3
What are the best hotels for an unforgettable vacation?,can_montreal_hyatt_regency_montreal,2
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hyatt_regency_montreal,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_intercontinental_montreal,3
What are the best hotels for an unforgettable vacation?,can_montreal_intercontinental_montreal,3
What are the best hotels for an unforgettable vacation?,can_montreal_embassy_suites_montreal,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_embassy_suites_montreal,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_sheraton_le_centre_montreal_hotel,2
What are the best hotels for an unforgettable vacation?,can_montreal_sheraton_le_centre_montreal_hotel,2
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hotel_st_paul,3
What are the best hotels for an unforgettable vacation?,can_montreal_hotel_st_paul,3
What are the best hotels for an unforgettable vacation?,can_montreal_hotel_xixe_siecle,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hotel_xixe_siecle,3
What are the best hotels for an unforgettable vacation?,can_montreal_hilton_montreal_bonaventure,3
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hilton_montreal_bonaventure,3
What are the best hotels for an unforgettable vacation?,can_montreal_ritz_carlton_montreal,2
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_ritz_carlton_montreal,2
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_hotel_du_fort,3
What are the best hotels for an unforgettable vacation?,can_montreal_hotel_du_fort,3
What are the best hotels for an unforgettable vacation?,can_montreal_le_cantlie_suites_hotel,2
What are the best hotels for an unforgettable vacation?,can_quebec_montreal_le_cantlie_suites_hotel,2
