Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is described as a ""hidden treasure"" and ""best-kept secret"" with a superb location near Rockefeller Center and St. Patrick's Cathedral. It offers clean, comfortable rooms at a reasonable price, but without the amenities of a typical chain hotel."
usa_new york city_414_hotel,"Hotel 414 is a small, intimate haven near Restaurant Row and Times Square, attracting many Europeans and others seeking a calm retreat; it is a tucked-away gem with a charming leafy patio and sensually pleasing bedrooms. It is located on a quiet street and hard to find."
usa_new york city_60_thompson,"60 Thompson is described as a stylish and intimate hotel with a calm and quiet feel, located on a relatively quiet street in the heart of Soho. Reviewers enjoyed its rooftop bar, chic design, and proximity to many restaurants and shops."
usa_new york city_6_columbus,"6 Columbus is a small, intimate boutique hotel with modern, sleek design and a trendy vibe. It is located in midtown Manhattan, across from the Time Warner Center, with easy access to Central Park and subway lines."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue is described as a small, cozy, and chic boutique hotel with a small lobby, located in a quiet area near Grand Central. It has well-appointed, modern rooms and is considered a hidden gem due to its location."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a funky, hipster vibe with unique, urban, and masculine decor, including reclaimed furniture and accessories. It is located in midtown Manhattan, close to Penn Station and a block from a subway stop."
usa_new york city_affinia_50,"The Affinia 50 is described as a hidden gem with a boutique-y feel, large rooms, a 2nd-floor club room, and a warm, personalized service. Reviews highlight that staff treat guests in a familiar manner and that the hotel feels more like home than a hotel."
usa_new york city_affinia_dumont,"The Affinia Dumont is located in a quiet neighborhood, Murray Hill, but is within walking distance of the Empire State Building and other attractions, with a subway stop close by. A few reviewers mention the hotel provides great value, and can be found on discount travel websites."
usa_new york city_affinia_gardens,"The Affinia Gardens, located on the Upper East Side, is described as a hidden jewel and oasis, offering spacious, apartment-like rooms with kitchens, providing a tranquil escape from the city's bustle. The hotel's location on a quiet street, combined with a friendly staff, creates a welcoming, home-like atmosphere."
usa_new york city_affinia_manhattan,"The Affinia Manhattan provides a home-like feeling with a kitchen and spacious rooms, offering a comfortable and convenient experience near Penn Station and Madison Square Garden. Reviews mention a grand lobby and generally helpful staff and also note that the old building has quirky rooms and a musty smell."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is described as a gem of a hotel that is modern, chic, classy and brilliantly located for a truely unforgettable experience, modern and spacious. Many reviewers mention it is located in Murray Hill, a residential area of Manhattan, near Grand Central station."
usa_new york city_aka_united_nations,"AKA United Nations is located on a residential side street, a short walk from Grand Central Terminus and the UN. It offers spacious, modern apartments with well-equipped kitchens, comfortable bedrooms, and access to a 24-hour gym."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a charming, historic boutique hotel in midtown Manhattan with a cozy atmosphere and old-world decor, featuring a resident cat and literary history. The hotel has small but clean and well-maintained rooms, and is conveniently located near Times Square and other attractions."
usa_new york city_americana_inn,"The Americana Inn is described by reviewers as a ""hidden gem"" and ""bargain surprise"" due to its good value and clean accommodations. It is also described as a fairly basic, no-frills hotel that is clean and well-maintained."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel is a ""little gem"" or ""find"" with European ambiance that's centrally located near Broadway and Times Square, but rooms can be small, dark, and have views of brick walls. The lobby and restaurant may appear fancy, but some rooms have dated decor."
usa_new york city_astor_on_the_park,"Astor on the Park, located on Central Park West, is a basic, clean, and European-style hotel with small rooms, modern bathrooms, and a friendly multilingual staff; it mainly serves as a base for exploring the city and is frequented by European guests. Its location on the upper west side offers a quieter, more residential feel while still being conveniently close to subway lines."
usa_new york city_bedford_hotel,"The Bedford Hotel is described as a ""little gem"" and a ""hidden gem"" due to its older, European-style charm, spacious rooms with kitchenettes, and great midtown location, making it a good value for the price. Some rooms have views of the Empire State Building and Chrysler Building, and some rooms even have balconies."
usa_new york city_beekman_tower_hotel,"The Beekman Tower, an Art Deco building with spacious suites and kitchens, is situated in a quiet, residential part of Midtown Manhattan, near the UN building, offering great views from the upper floors and a rooftop bar. Reviews mention the hotel feeling like a ""big but unfancy New York apartment"" with a ""genteel feel"" and ""old school class"" away from the tourist crowds."
usa_new york city_belleclaire_hotel,"The Hotel Belleclaire is described as a hidden gem with stylish and comfortable rooms in a residential Upper West Side location near Central Park, museums, shops, and restaurants. It has a European feel and is in a charming historic building with rooms more like urban apartments."
usa_new york city_bentley_hotel,"The Bentley is described as a little undiscovered gem with reasonable rates, a smaller hotel with a boutique-like feeling, and great bed and comfy warm welcoming back from the front desk. Some reviewers mention being upgraded to suites with great skyline views, which could contribute to the feeling of discovering a hidden treasure."
usa_new york city_best_western_bowery_hanbee_hotel,"The Best Western Bowery Hanbee is described as a ""hidden gem"" and a ""small oasis"" in the bustling Chinatown/Little Italy area, offering a surprising level of quality and style compared to typical hotels in the area. It's a new or newly renovated property, often praised for its cleanliness, modern design, and comfortable rooms, which stand in contrast to the vibrant, and sometimes chaotic, surrounding neighborhood."
usa_new york city_best_western_convention_center_hotel,"The Best Western Convention Center Hotel is described by guests as a ""hidden gem"" and a ""great find,"" tucked away in a quiet part of town with clean, modern rooms. Although the hotel is a 15-20 minute walk from Times Square, it has friendly staff, complimentary breakfast, and rooms equipped with amenities, making it a comfortable and convenient base for exploring NYC."
usa_new york city_best_western_hospitality_house,"Best Western Hospitality House is described as a ""hidden discovery"" and ""best kept secret"" with spacious apartment-style rooms, making guests feel like they have their own New York City apartment. Though the lobby is small, the hotel is centrally located and offers a unique, home-like experience."
usa_new york city_best_western_seaport_inn_downtown,"The Best Western Seaport Inn is described as a small, charming hotel in a quieter part of Manhattan, near the South Street Seaport, with cobblestone streets and a lack of city traffic. Some reviewers felt it had a ""cozy feel"" with a bit of ""old charm""."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel, a renovated tenement building in the Lower East Side, features unique, meticulously restored rooms with original artwork and artifacts, offering a glimpse into historic New York. The hotel is described as a ""hidden gem"" due to its unique, boutique style, historic charm, and cozy atmosphere, setting it apart from generic hotels."
usa_new york city_broadway_plaza_hotel,"Broadway Plaza Hotel is a slightly hidden gem with a small street entrance that opens into a stunning interior and large, comfy rooms, and is located in a slightly obscure area. Some reviewers describe it as a ""diamond in the rough"" or a ""slightly hidden gem""."
usa_new york city_buckingham_hotel,"The Buckingham is described as a well-kept secret, a hidden gem with apartment-style rooms, offering a unique and artsy experience steeped in music. It is located in an area where Carnegie Hall performers like to stay."
usa_new york city_candlewood_suites_new_york_city_times_square,"The Candlewood Suites Times Square is a new, clean hotel located a short walk from Times Square and Port Authority. It offers suite-style rooms with full kitchens and amenities like free laundry and Wi-Fi, but has a small lobby and limited services."
usa_new york city_carlton_arms,"The Carlton Arms is an artsy, budget-friendly hotel where each room is uniquely decorated by different artists, offering a museum-like experience. It is known for its colorful, unconventional atmosphere and quirky charm."
usa_new york city_carvi_hotel_new_york,"The Carvi Hotel is a small, new, and renovated boutique hotel that opened in 2009, with some reviewers describing it as a ""gem"" and ""treasure."" It is somewhat non-descript, with a small lobby."
usa_new york city_casablanca_hotel,"Casablanca Hotel is a small, quiet boutique hotel located just around the corner from Times Square that is described by many as a peaceful haven. It also has a Moroccan-themed decor, which many reviewers appreciated."
usa_new york city_chambers_hotel,"Chambers Hotel is a stylish, modern boutique hotel with a small, cosy lobby and industrial-style elevators, located just off 5th Avenue. The hotel is known for its dimly lit hallways with interesting art and unique room numbers on the floor."
usa_new york city_chelsea_lodge,"Chelsea Lodge is a charming, affordable hotel on a quiet, tree-lined street in the Chelsea neighborhood, offering a cozy and clean stay with a unique, non-chain hotel feel. The hotel is located in a converted brownstone that feels like a home, with New England-style rooms and quirky decor."
usa_new york city_chelsea_pines_inn,"Chelsea Pines Inn is a charming, movie-themed small hotel in Chelsea/Meatpacking district with uniquely decorated rooms, a garden, and a friendly cat, offering a cozy atmosphere with a personal touch. It is located close to subway lines, restaurants, and nightlife, making it a convenient and characterful alternative to large chain hotels."
usa_new york city_chelsea_savoy_hotel,"The Chelsea Savoy is described as a ""small boutique style hotel"" and ""best kept secret,"" offering a clean, simple, and affordable stay with a friendly staff. It's located in the Chelsea neighborhood, near the subway and various shops and restaurants, making it a convenient base for exploring the city."
usa_new york city_city_club_hotel,"City Club Hotel is a small boutique hotel with a discreet entrance and a cozy lobby, giving the feeling of a very private place. It is located on a privileged street near Times Square, but is not overwhelmed by pedestrian traffic."
usa_new york city_clarion_collection_the_solita_soho_hotel,"Solita Soho is a small, modern boutique hotel located at the intersection of Chinatown, Little Italy, and Soho, offering clean rooms and a convenient location for exploring downtown Manhattan. Some reviewers mention a ""gem"" or ""hidden treasure"" quality due to its location and value."
usa_new york city_club_quarters_downtown,"Club Quarters Downtown is described as tucked away on a one-way street near the NYSE, providing a peaceful stay, while also being close to subway lines. The entrance might be unprepossessing due to the small area, giving it a sense of being a hidden find."
usa_new york city_club_quarters_midtown,"Club Quarters Midtown is described as a ""little gem of a hotel"" and ""slick NYC boutique type hotel at a budget price"" with a quiet elegance and unique check-in process, and rooms on upper floors have good views. The hotel has a ""club"" feel, with access to a living room with a bar, newspapers, and free internet; the restaurant is only for hotel guests and club members, and is rarely crowded."
usa_new york city_club_quarters_rockefeller_center,"Club Quarters Rockefeller Center is described as unassuming from the street, and relatively non-descript from the outside. Some reviewers mention that it feels private and discreet, like a hidden gem."
usa_new york city_comfort_inn_chelsea,"The Comfort Inn Chelsea is described by reviewers as a basic hotel in a great location that is a good value for the price, some consider it a hidden gem. The hotel is located on a quiet street near antique stores, close to the subway, the Flatiron Building and Madison Square Park, and some rooms have views of the Empire State Building."
usa_new york city_comfort_inn_manhattan,"The Comfort Inn Manhattan is described as an older hotel with a unique character and vintage charm, featuring stained glass windows in the reception/bar area and a quaint old-fashioned spiraling staircase. Some reviewers note that it was previously a 5-star hotel called the Gregorian, with remnants of elegance still visible."
usa_new york city_comfort_inn_manhattan_bridge,"The Comfort Inn Manhattan Bridge is located in the heart of Chinatown, near the Manhattan Bridge, and offers affordable rates. Some reviewers felt the location was a ""find"" and a ""hidden treasure""."
usa_new york city_comfort_inn_midtown,"The Comfort Inn Midtown, located half a block from Times Square, is described as a ""gem of a hotel"" and a ""hidden jewel"". Despite its central location, reviewers found the hotel to be surprisingly quiet and secluded."
usa_new york city_comfort_inn_midtown_manhattan,"The Comfort Inn on 44th St. is a new hotel located 1 1/2 blocks from Times Square with only 70 rooms, 10 per floor. Some rooms are located in the basement or open directly off the lobby."
usa_new york city_comfort_inn_midtown_west_convention_center,"The Comfort Inn is located on a slightly seedy looking side street but is a 5-minute walk to major attractions and offers free coffee and tea all day. The hotel is small and quiet, with rooms that are clean and nicely decorated, although some found it to feel more like a hostel."
usa_new york city_comfort_inn_times_square,"The Comfort Inn Times Square is described as a ""little gem,"" ""hidden jewel,"" and ""Times Square's Little Secret"" due to its small size and newness, making it different from typical Midtown Manhattan hotels. Some reviewers note the hotel is narrow, tall, and has only a few rooms per floor, contributing to its unique feel."
usa_new york city_cooper_square_hotel,"The Cooper Square Hotel is a modern, design-focused boutique hotel that is described as small and mysterious with no visible signage outside. It offers a unique check-in process without a traditional front desk and is located in the Bowery/East Village area, which some cab drivers may not be familiar with."
usa_new york city_cosmopolitan_hotel_tribeca,"The Cosmopolitan Hotel is described as a clean, unpretentious, and modest hotel with great value, often referred to as a ""gem"" or ""hidden treasure"" due to its low price, location, and clean rooms. It is located in Tribeca near a subway, which gives it easy access to the rest of Manhattan."
usa_new york city_courtyard_by_marriott_new_york_manhattan_times_square_south,"The Courtyard Times Square South is a tall, narrow hotel sandwiched between office buildings, creating an oasis of calm and quiet just off of Times Square. Its location on a nondescript stretch of 40th Street, and its position between two larger buildings, make it feel tucked away."
usa_new york city_courtyard_by_marriott_new_york_manhattan_upper_east_side,"The Courtyard Upper East Side is located in a quiet, residential area of Manhattan, away from the main tourist attractions, and close to the East River and Gracie Mansion. Some reviewers mentioned that the hotel felt like a great find or hidden gem, especially given the prices in the area."
usa_new york city_courtyard_new_york_manhattan_fifth_avenue,"The Courtyard Marriott Fifth Avenue is a smaller, narrower hotel, sometimes described as ""squeezed"" between buildings, with a tiny lobby, but some reviewers felt it had a boutique hotel feel. Some rooms have no views, facing brick walls, while others, particularly those ending in ""01"", are larger end rooms but also lack views."
usa_new york city_courtyard_new_york_manhattan_midtown_east,"The Courtyard Midtown East is described as unassuming, clean, and efficient, with large rooms for NYC standards, making it a ""gem"" due to its excellent value and friendly service. It's located in a safe, convenient area near the subway, offering a quieter experience away from the hustle of Times Square."
usa_new york city_crosby_street_hotel,"The Crosby Street Hotel is located in the heart of SoHo and features individually designed rooms, warehouse-style windows, oak-tree floors, and a bar with over 400 bottles. The hotel also offers a drawing room for afternoon tea."
usa_new york city_crowne_plaza_times_square_manhattan,"The Crowne Plaza Times Square is centrally located but lacks a distinct atmosphere, being described as a ""big hotel"" without charm or personal touch. It is also undergoing renovations, which may make some areas of the hotel inaccessible."
usa_new york city_da_vinci_hotel,"The Da Vinci is a small, European-style hotel with a cozy lobby and free internet, located near Central Park and Times Square. Some rooms are small, but clean, with marble bathrooms, and the hotel has a restaurant and bar downstairs."
usa_new york city_doubletree_guest_suites_times_square,"The Doubletree Guest Suites in Times Square is located in a busy area, but the rooms are serenely calm and offer exceptional value. Some reviewers consider it to be an unexpected gem or a home away from home."
usa_new york city_doubletree_hotel_chelsea_new_york_city,"The Doubletree Chelsea is described as being carved out of the side of a building, making it tiny and a bit of a surprise, located on a boring sidestreet in an odd area that is slowly being gentrified, giving it a hidden feel. The hotel is new and modern, clean, and comfortable."
usa_new york city_doubletree_metropolitan_hotel,"The Doubletree Metropolitan has a retro, modern design with a lobby that has been redesigned and is clean and modern. Some reviewers found it to be a hidden gem, noting that it is a mix of updated and older features."
usa_new york city_dream,"The Dream Hotel features a chic lobby with a two-story fish tank and offers a modern, trendy experience with blue neon lighting. Some found it more like a hidden treasure than other hotels in the area, although the rooms can be small."
usa_new york city_duane_street_hotel,"The Duane Street Hotel is a small, upscale, and modern boutique hotel located in the Tribeca area, with a cozy vibe and uniquely designed rooms. Its smaller size allows for personal service, and it's conveniently located near multiple subway lines, providing easy access to various parts of the city."
