Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is noted for its prime location near Rockefeller Center and St. Patrick's Cathedral. It offers clean, basic accommodations without luxury amenities, and is associated with the Republican National Women's Club."
usa_new york city_414_hotel,"Hotel 414 is a small, intimate boutique hotel near Restaurant Row and Times Square, offering a quiet haven with contemporary décor and a charming leafy patio. The hotel has 22 bedrooms and is formed from two New York townhouses."
usa_new york city_60_thompson,"60 Thompson is a modern boutique hotel in the SoHo area of NYC with a rooftop bar, a Thai restaurant, and a lobby bar. Some rooms are small, and some guests have noted issues with noise and thin walls."
usa_new york city_6_columbus,"6 Columbus is a small, modern boutique hotel with a trendy design, located near Central Park and Columbus Circle. It has small but well-designed rooms, and offers amenities such as Fresh brand toiletries, heated bathroom floors, and a sushi restaurant."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue Hotel is a smaller, chic, Midtown hotel with Kimpton touches like a wine reception. It has small (but NYC typical) rooms that are well laid out and comfortable."
usa_new york city_ace_hotel_nyc,"The Ace Hotel is a boutique hotel with a ""hipster vibe,"" unique decor, and a lively lobby scene. Rooms feature modern bathrooms with old charm, comfortable beds, and amenities like free Wi-Fi."
usa_new york city_affinia_50,"Affinia 50 is described as a smaller, service-oriented hotel with a boutique-y feel, a water-wall and orchids in the lobby, and a club room on the second floor. The rooms are larger than usual with pleasant decor, and there is a pod coffee machine in the club room."
usa_new york city_affinia_dumont,"The Affinia Dumont is a tall, narrow hotel with apartment-like rooms, some offering views of the Chrysler Building and East River. Rooms have kitchenettes, and the hotel is close to the subway, the Empire State Building, and a wide array of dining options."
usa_new york city_affinia_gardens,"The Affinia Gardens (formerly Lyden Gardens) is described as a quiet, tranquil hotel with spacious, apartment-like rooms featuring full kitchens, located on the Upper East Side. The hotel emphasizes a serene atmosphere, offering amenities like a tea bar and relaxation kits."
usa_new york city_affinia_manhattan,"I am sorry, I cannot provide the requested information. The hotel in the reviews is an older property with a grand lobby and rooms that are often described as spacious, with kitchens and comfortable beds. The rooms are not renovated and many guests cite ""shabby"" decor."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is described as a small chain that operates in NYC, Chicago and DC, and is often used for business travel. The hotel is noted for its modern, stylish lobby."
usa_new york city_aka_united_nations,"AKA United Nations offers modern, well-equipped apartments with kitchens, and is located near Grand Central Terminus and the UN. Some reviews mention modern decor, while others note the property is showing wear and in need of maintenance."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic, charming boutique hotel in midtown Manhattan, close to Times Square and Broadway. Reviews note its literary history, small but clean rooms, comfortable beds, and friendly staff, with vintage decor and New Yorker cartoon wallpaper."
usa_new york city_americana_inn,"This is a budget hotel with small, basic rooms and shared bathrooms, but is clean and in a central Midtown location close to Times Square and other attractions. Reviews mention the hotel's security measures, friendly staff, and recent renovations, but also note potential issues with noise and small room sizes."
usa_new york city_amsterdam_court_hotel,"The Amsterdam Court Hotel is described as having a European ambiance and being a small but modern boutique hotel. The hotel is known for its convenient location near Times Square and Broadway theaters, with rooms that are clean but small."
usa_new york city_astor_on_the_park,"The Astor on the Park is described as a small, basic, European-style budget hotel with small but clean rooms, recently refurbished bathrooms, and friendly staff. It is located on Central Park West, near subway lines, but a bit far from midtown Manhattan's attractions."
usa_new york city_bedford_hotel,"The Bedford Hotel is described as a ""comfy-style boutique hotel"" with spacious rooms, some featuring kitchenettes, and a relaxed atmosphere. It is located in mid-town Manhattan, close to Grand Central Station."
usa_new york city_beekman_tower_hotel,"The Beekman Tower is an art deco hotel with spacious suites, many including kitchens and living areas, that some reviewers describe as feeling like a New York apartment. The hotel has a rooftop restaurant/bar and is located in a quiet, mostly residential area close to the UN."
usa_new york city_belleclaire_hotel,"The Belleclaire Hotel is a stylish but older, non-luxury hotel with small, clean, recently renovated rooms, often featuring hardwood floors, flat-screen TVs, iPod docking stations, and comfortable beds. It is located in the Upper West Side, near Central Park and multiple subway lines, and offers options for shared or private bathrooms."
usa_new york city_bentley_hotel,"The Bentley Hotel is a smaller hotel with a boutique-like feeling, modern and chic decor, and a candlelit lobby; some rooms are spacious with skyline views. It has about 190 rooms."
usa_new york city_best_western_bowery_hanbee_hotel,"The Best Western Bowery Hanbee is described as having a boutique hotel feel with modern, sleek, clean, and well-decorated rooms, laminate-wood floors, flat-panel TVs and comfortable beds. Some rooms are spacious with multiple upholstered chairs and heated bathroom floors, and the hotel has a business center with free computer use."
usa_new york city_best_western_convention_center_hotel,"The hotel has a small, boutique feeling with clean rooms and friendly staff. It is located close to the Javits Center."
usa_new york city_best_western_hospitality_house,"The Best Western Hospitality House is a small apartment-style hotel with spacious rooms, full-sized kitchens, and complimentary breakfast. It is centrally located in midtown Manhattan, near the Waldorf Astoria and other attractions."
usa_new york city_best_western_seaport_inn_downtown,"The Seaport Inn is a small, charming, and tastefully decorated hotel with a cozy feel, located in the South Street Seaport area near the Brooklyn Bridge. It has a good location for lower Manhattan attractions and is situated in a quiet area with cobblestone streets, offering free continental breakfast and internet."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel is a renovated tenement building located on the Lower East Side, with rooms named after 1930s and 1940s celebrities and decorated with period memorabilia. It features spacious rooms, meticulously renovated details, and a lobby showcasing art, decorative tiles, and cozy seating areas."
usa_new york city_broadway_plaza_hotel,"The Broadway Plaza Hotel is described as a small, clean, and renovated hotel. Some reviewers mention that it has large rooms, though the lobby and breakfast area are small."
usa_new york city_buckingham_hotel,"The Buckingham Hotel is a boutique hotel with apartment-style rooms, including kitchens and spacious living areas, near Central Park and Carnegie Hall. It is known for its musical history and offers a lounge with free Wi-Fi."
usa_new york city_candlewood_suites_new_york_city_times_square,"This hotel offers suite-style rooms with a full kitchen, a full-size refrigerator, a microwave, and a dishwasher, but the suites are small and more like a standard room. The hotel is new, clean, and located near Times Square, but the surrounding neighborhood is not considered glamorous."
usa_new york city_carlton_arms,"The Carlton Arms is an artsy, budget-friendly hotel where each room is uniquely decorated by different New York artists; rooms have shared bathrooms, and guests can select their preferred room upon arrival based on the available options. It is located in a convenient and safe area of Manhattan, close to subway stations, restaurants, and shops."
usa_new york city_carvi_hotel_new_york,"The Carvi Hotel is a small, new boutique hotel with clean rooms, marble bathrooms, and flat-screen TVs. It offers amenities like a fridge, safety deposit box, coffee maker, and free HBO, but has limited services and a small lobby."
usa_new york city_casablanca_hotel,"The Casablanca Hotel is a small, clean boutique hotel located just off Times Square with a North African-themed decor. Guests appreciate the friendly staff, Ricks Cafe with free beverages and snacks, a complimentary breakfast, and wine and cheese in the evenings."
usa_new york city_chambers_hotel,"The Chambers Hotel is a modern, stylish boutique hotel with small rooms, industrial-chic decor and art on display. It is located just off 5th Avenue, near Central Park, and offers amenities such as Bumble & Bumble bath products and a library of DVDs."
usa_new york city_chelsea_lodge,"Chelsea Lodge is a charming, small, and clean hotel located in a quiet and safe area, specifically in the Chelsea neighborhood of Manhattan. It has a country-style decor, and rooms come with a shower and sink, but shared toilets."
usa_new york city_chelsea_pines_inn,"Chelsea Pines Inn is a charming, movie-themed boutique hotel in a converted five-story walk-up with uniquely decorated rooms, offering a continental breakfast, free Wi-Fi, and a business center. The hotel is centrally located near Chelsea, the Meatpacking District, and Greenwich Village, with easy subway access."
usa_new york city_chelsea_savoy_hotel,"The Chelsea Savoy is a small, basic, and clean hotel with a convenient location near subway lines. It offers complimentary coffee and pastries in the lobby, and some rooms have mini-fridges."
usa_new york city_city_club_hotel,"City Club Hotel is a small, stylish boutique hotel with modern decor and a convenient midtown location. Some rooms are small, but well-designed, with comfortable beds and Hermes toiletries."
usa_new york city_clarion_collection_the_solita_soho_hotel,"The Solita Soho is a small, modern boutique hotel with small rooms, flat-screen TVs, and free internet access. It is located in downtown Manhattan, at the intersection of Chinatown, Little Italy and Soho."
usa_new york city_club_quarters_downtown,"This hotel is not luxurious, beautiful, or remotely interesting, but is clean, comfortable, and inexpensive, with modern, IKEA-like furnishings and decor. It is described as a business hotel that is sleek and efficient with small but well-designed rooms."
usa_new york city_club_quarters_midtown,"The Club Quarters Midtown is described as small enough to feel like a boutique hotel, with clean and comfortable rooms. It has a simple lobby and small elevators."
usa_new york city_club_quarters_rockefeller_center,"The Club Quarters Rockefeller Center is described as a modern and clean hotel with a focus on business travelers, offering compact but well-appointed rooms. Some reviews mention it has a boutique hotel feel."
usa_new york city_comfort_inn_chelsea,"I am sorry, but the provided text does not mention any boutique hotels. It primarily contains reviews for Comfort Inn Chelsea in Manhattan."
