Hotel,Summary
usa_new york city_3_west_club,The 3 West Club is located across the street from Rockefeller Center and has views of St. Patrick's Cathedral and Radio City Music Hall; it is part of the Republican National Women's Club. It offers large suites with multiple beds and is considered a great value due to its location.
usa_new york city_414_hotel,"The 414 Hotel, a small and intimate haven near Times Square and Restaurant Row, features striking photographic cityscapes, natural fiber sheets, and a charming leafy patio. Guests can enjoy breakfast together at a long attractively stained table brightened by flowers."
usa_new york city_60_thompson,"60 Thompson is a stylish boutique hotel in SoHo, known for its rooftop bar with city views, the Thom Bar, and having well-designed rooms; the design is warm minimalist chic and the hotel may have a fashion shoot. The rooms are small, but stylish, and guests may find the hotel has unique features such as fresh flowers and Fat Witch brownies."
usa_new york city_6_columbus,"6 Columbus is a modern, trendy boutique hotel with small rooms, known for its central location near Central Park and Columbus Circle, as well as its friendly staff. The hotel is located near a subway station and the Time Warner Center and offers amenities such as heated bathroom floors and Kiehl's toiletries."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue is a small boutique hotel with cozy, modern rooms and some rooms have great views, such as of the Empire State Building. The hotel has a lobby wine reception and is located near Grand Central Station."
usa_new york city_ace_hotel_nyc,"The Ace Hotel is a trendy, hipster hotel with a unique, masculine decor, including reclaimed furniture and accessories, and funky rooms, some of which have guitars and record players. It has a lively lobby scene and friendly staff, and offers free wifi and complimentary breakfast."
usa_new york city_affinia_50,"The Affinia 50 is recommended for a family vacation and stands out for its great customer service, extra large rooms for NYC standards, and excellent location near transportation. Some reviewers cite service details such as a ""pillow menu,"" kitchenettes, and the hotel remembering their name."
usa_new york city_affinia_dumont,"The Affinia Dumont is frequently praised for its spacious apartment-style rooms with kitchens, a unique offering for NYC hotels. The hotel offers a ""pillow menu"" and walking/fitness kits for a personalized experience."
usa_new york city_affinia_gardens,"Affinia Gardens, located on the Upper East Side, offers spacious, apartment-like suites with kitchens, setting it apart from typical NYC hotels, and is praised for its helpful staff and tranquil atmosphere. Some rooms have balconies and guests can choose from a pillow menu."
usa_new york city_affinia_manhattan,"The Affinia Manhattan has spacious rooms, and kitchens, and guests can select from a pillow menu. The location across from Madison Square Garden and Penn Station is ideal for transport, and it's within walking distance of many attractions."
usa_new york city_affinia_shelburne,"The Affinia Shelburne stands out due to its spacious rooms (especially the suites with kitchens), ideal midtown location near Grand Central Station, and comfortable beds, with many rooms offering views of the Empire State and Chrysler Buildings. Many reviewers note the friendly staff and clean environment, while others mention that parts of the hotel are older and may need updating."
usa_new york city_aka_united_nations,"AKA United Nations offers spacious, modern, semi-furnished apartments with full kitchens and complimentary amenities like breakfast, internet access, and gym access. The hotel is conveniently located near the UN Headquarters and Grand Central Terminal."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic, charming hotel with a literary past, known for its cozy atmosphere, small but well-maintained rooms, and a resident cat. It is centrally located near Times Square and Broadway, but some guests have noted noise issues and small bathrooms."
usa_new york city_americana_inn,"Americana Inn is a budget hotel located in midtown Manhattan, with small rooms and shared bathrooms, but is praised for its cleanliness and proximity to attractions like Times Square and the Empire State Building. Some reviews mention noise due to the central location, with others noting smoking on some floors."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel is centrally located near Times Square and Broadway, but many rooms are small, dimly lit, and some have views of brick walls; furthermore, some guests have reported issues with cleanliness, broken amenities, and rude staff. Free coffee is available."
usa_new york city_astor_on_the_park,"Astor on the Park is a budget-friendly hotel located across from Central Park, with small but clean rooms, proximity to subway lines, and a history of mixed reviews regarding noise and amenities. It is frequented by European guests and offers basic accommodations suitable for travelers who prioritize affordability and sightseeing over luxury."
usa_new york city_bedford_hotel,"The Bedford Hotel is noted for its location near Grand Central Station and spacious rooms, with some suites including kitchenettes and views of the Empire State Building. Reviews mention variable experiences, ranging from dated decor and thin walls to renovated rooms and friendly staff."
