Hotel,Summary
usa_new york city_3_west_club,"I'm sorry, but the provided hotel reviews do not contain information about fine dining options at the 3 West Club. The reviews focus on location, value, cleanliness, and basic amenities."
usa_new york city_414_hotel,"This hotel is near Restaurant Row, but has no restaurant. There are hundreds of ethnic restaurants on the doorstep."
usa_new york city_60_thompson,The hotel has a Thai restaurant called Kittichai. The breakfast options were good and there were some excellent bars on site.
usa_new york city_6_columbus,"6 Columbus has a popular Japanese/sushi restaurant, Blue Ribbon Sushi & Grill, in the lobby that is open late and also provides room service and traditional American breakfast. The bar at Blue Ribbon Sushi is highly rated with good bartenders and the food is considered good, particularly the fried chicken."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"The hotel has a bar/restaurant, Silverleaf Tavern, which offers tasty appetizers, cocktails, and wines by the glass; the Silverleaf Tavern's breakfast was considered good by some, although room service menus are thought to be priced beyond comprehension. Michael Jordan's restaurant is located in Grand Central Station nearby."
usa_new york city_ace_hotel_nyc,"The hotel has a lobby bar and access to room service from nearby restaurants, with a new restaurant called The Breslin opening soon. A complimentary breakfast of croissants and coffee is included."
usa_new york city_affinia_50,"The Affinia 50 does not have a restaurant but is near Smith & Wollensky's Steakhouse and various restaurants on 2nd Avenue, with room service from The Mint Indian restaurant. There are also options for breakfast nearby, including the NY Luncheonette and a breakfast buffet at the Kimberley Hotel."
usa_new york city_affinia_dumont,"The Barking Dog restaurant is next to the hotel. One reviewer recommended a Japenese restaurant and Artisanal, a wine/cheese bistro, a few blocks away."
usa_new york city_affinia_gardens,"The hotel does not have a bar or cafe, but it is possible to order from a number of places for room service, including Italian (Accamedia de Vino), American, and Chinese restaurants. Jojo's is down the road and Alice's Tea Cup is right next door."
usa_new york city_affinia_manhattan,"Niles restaurant is connected to the hotel, and offers quick room service and breakfast. Many reviewers found it to be modern with attentive bar staff."
usa_new york city_affinia_shelburne,"The Shelburne has an onsite bar and grill called Rare that is known for its burgers, and some reviewers found the food to be excellent with good service; Rossini's restaurant is also nearby. Breakfast at the hotel costs extra, and some reviewers found it to be pricey, though Rare offers a good menu."
usa_new york city_aka_united_nations,"I am sorry, the reviews do not contain information about fine dining at this hotel."
usa_new york city_algonquin_hotel,"The Algonquin Hotel has a restaurant, The Oak Room, which some reviewers found to be excellent, with some reporting live entertainment; others mention that the food and drinks at the hotel are expensive, and some reported issues with service. There is a bar and lounge, but no minibar in the rooms."
usa_new york city_americana_inn,"I am sorry, but there is no mention of excellent fine dining at the Americana Inn in the reviews. The reviews focus on the hotel's budget-friendly nature, location, cleanliness, and small rooms."
