Hotel,Summary
usa_new york city_3_west_club,"The hotel overlooks St. Patrick's Cathedral and Radio City Music Hall, with rooms offering views of W 51st Street. The hotel is across the street from Rockefeller Center."
usa_new york city_414_hotel,"The 414 Hotel is a brownstone-type building with a charming leafy patio and striking photographic cityscapes in the bedrooms. It is located on a quiet street, near Restaurant Row, and within walking distance of Times Square and the Theater District."
usa_new york city_60_thompson,"60 Thompson is stylish and trendy, with decor described as ""funky chic"" and ""modern minimal,"" and is known to attract celebrities and fashion shoots. The hotel has a rooftop bar with city views, Thom Bar with a ""masculine feel,"" and a Thai-inspired restaurant with a lily pond."
usa_new york city_6_columbus,The hotel features a modern 50's-60's design and trendy decor with mid-century furniture in the lobby and fur-covered walls in the elevators. The hotel cultivates a chic and high-attitude veneer with dark hallways and a hip atmosphere.
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"The 70 Park Avenue Hotel has a lobby that is small but nicely furnished & very boutique-y. Rooms are modern, well-appointed with amenities such as a large flat-screen TV, iPod docking station, and bedside treats such as L'Occitane toiletries."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a hipster vibe with a beautiful lobby and bar; some rooms include features like guitars and record players, and the hotel has a photo booth in the lobby. The hotel's design is funky with reclaimed furniture and accessories, and the corridors feel like being taken to your very own New York apartment."
usa_new york city_affinia_50,"The Affinia 50 has a small, modern lobby with a plexiglass waterfall and lemon/orange water. Some reviewers mention executive suites, spacious rooms, balconies with city views, and proximity to the Waldorf Astoria."
usa_new york city_affinia_dumont,"Located in midtown Manhattan, the Affinia Dumont offers skyline views and is within walking distance of attractions like the Empire State Building and Times Square. The hotel rooms are spacious, with a kitchen and comfortable beds."
usa_new york city_affinia_gardens,"I am sorry, but there is no information about this hotel making anyone feel like they're in a movie. However, the Affinia Gardens (formerly Lyden Gardens) is described as a residential hotel or an oasis in Manhattan, with spacious rooms/suites with kitchens, Aveda products, and tea/coffee in the lobby. The hotel is in a quiet Upper East Side neighborhood near Central Park, museums, shopping, and dining with friendly and helpful staff."
usa_new york city_affinia_manhattan,"The Affinia Manhattan has a grand lobby, chandeliers, and old elevators. The lobby and bar have an Art Deco feel, with the building's bones being old."
usa_new york city_affinia_shelburne,"The Affinia Shelburne has a rooftop bar with views of the Empire State and Chrysler Buildings, a lobby with modern, chic design, and tasteful furnishings throughout. Rooms offer views of the Empire State or Chrysler Buildings."
usa_new york city_aka_united_nations,"The AKA United Nations offers spacious, modern apartments with full kitchens, separate living areas, and balconies. Rooms feature modern décor, stereos, DVD players, and multiple TVs."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic hotel with a literary past, featuring a charming, old-world atmosphere, a cozy lobby with art deco character, and New Yorker cartoon wallpaper in the hallways. Some reviewers mention the hotel's elegance, charm, and vintage feel reminiscent of a bygone era."
usa_new york city_americana_inn,"I am sorry, but there is no information in the provided reviews that would make me feel like I’m in a movie. Many reviewers note that the hotel is centrally located near Times Square, the Empire State Building, and other attractions, and that it is a good, budget-friendly option."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel has a boutique-style lobby with a lively bar and is located across the street from the Gershwin Theatre. The hotel has a European ambiance and some reviewers note its ""retro"" or ""quaint"" feel."
usa_new york city_astor_on_the_park,"The Astor on the Park is located opposite Central Park, with some rooms offering views of the park and Manhattan skyline. Some reviewers note the hotel's proximity to locations seen in TV shows and movies."
usa_new york city_bedford_hotel,"The Bedford Hotel is described as having an older, charming, and cozy style with spacious rooms and some suites offering views of the Empire State and Chrysler Buildings. The hotel's lobby is small but nicely decorated, and the overall atmosphere is relaxed."
usa_new york city_beekman_tower_hotel,"The Beekman Tower is an Art Deco style hotel with a rooftop bar and restaurant called ""Top of the Tower"" that has great views of the city, and the building reminded some guests of a big but unfancy New York apartment. Some rooms have a terrace with great views, and the hotel was once an apartment building that has been converted into a hotel."
usa_new york city_belleclaire_hotel,"The Hotel Belleclaire is an older, charming hotel in a historic building with a stylish and classy interior, modern and sleek rooms, some of which offer views of Broadway; the hotel has been used as a filming location. Reviews mention features like a ""turret"" room, urban-apartment-style rooms, iPod docks, and proximity to Central Park and other cultural destinations."
usa_new york city_bentley_hotel,"The Bentley Hotel has a modern, boutique-like decor, and the rooftop bar offers skyline views, with the 18th floor offering views of the East River, 59th Street Bridge, and Roosevelt Island cable car. The hotel has appeared in film, although some describe the lighting and decor as dark and dated."
usa_new york city_best_western_bowery_hanbee_hotel,The hotel is near Little Italy where the San Gennaro Fest takes place and Sex in the City was filmed at O'Neals bar/restaurant nearby. The hotel is located in a vibrant part of lower Manhattan near Chinatown and the Bowery.
usa_new york city_best_western_convention_center_hotel,"I am sorry, but the hotel's reviews do not mention anything that would evoke the feeling of being in a movie."
usa_new york city_best_western_hospitality_house,"The hotel is near the Waldorf Astoria and other prestigious hotels, making it feel like a movie set. The building is a converted apartment, and the suites are spacious with kitchens, separate bedrooms, living rooms and dining areas."
usa_new york city_best_western_seaport_inn_downtown,"The Best Western Seaport Inn is located in the South Street Seaport area with cobblestone streets and historic charm, near the Brooklyn Bridge and Financial District. Some rooms offer views of the Brooklyn Bridge and the Seaport area, and movie filming has occurred on the street in front of the hotel."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel is a renovated historic tenement building with rooms named after 1930s and 1940s celebrities and decorated with memorabilia. The hotel has a vintage Americana flavor throughout, with original woodworking, artwork, and artifacts from the building's history."
usa_new york city_broadway_plaza_hotel,The Broadway Plaza Hotel has views of the Empire State Building and is located near Times Square. The hotel has been described as old-fashioned and having decor from a Hotel 6.
usa_new york city_buckingham_hotel,"The Buckingham has a musical theme to its decor, harking back to when performers from Carnegie Hall stayed there. The hotel has an art deco lobby with jazz music in the elevators that may make you feel like you are in a movie."
usa_new york city_candlewood_suites_new_york_city_times_square,"The hotel offers rooms with a great view of the Empire State Building and the Hudson River from the 31st floor, and rooms have a 42"" flat screen TV and DVD player. Its location is close to Times Square and the Port Authority Bus Terminal."
usa_new york city_carlton_arms,"The Carlton Arms is an artsy, unique hotel where each room is decorated by a different artist, offering a colorful and experimental atmosphere. Guests can choose their room based on the artwork, with options ranging from French garden designs to purple and gold themes."
usa_new york city_carvi_hotel_new_york,"The hotel is a renovated former school that was at one time owned by Madonna. It is a new boutique hotel that opened recently, with fresh, clean rooms."
usa_new york city_casablanca_hotel,"The Casablanca Hotel has a Moroccan theme and is named after the famous movie, offering guests the chance to borrow New York or Broadway-themed DVDs to watch in their rooms. Rick's Cafe is a distinguishing feature, reminiscent of a B&B and decorated in a North African motif, creating a living room ambiance for guests."
usa_new york city_chambers_hotel,"The Chambers Hotel is a stylish, modern, and chic boutique hotel with a unique design. The public areas look like a set design from ""Sex in the City,"" and each floor is supposed to have been done by a different artist."
usa_new york city_chelsea_lodge,"Chelsea Lodge is a charming, brownstone hotel with a rustic country decor and is decorated in an eclectic, old Americana style with touches like flying ducks on the walls. The hotel is nestled in a landmark Chelsea block and feels like a home away from home."
