Hotel,Summary
usa_new york city_3_west_club,The 3 West Club is located in a building that is part of the Republican National Women's Club. It is not a typical chain hotel.
usa_new york city_414_hotel,"The 414 Hotel is a converted townhouse with about 22 rooms, and is comprised of two buildings separated by a courtyard. It is a brownstone type of facade with appealing with a simple, attractive and welcoming lobby."
usa_new york city_60_thompson,"60 Thompson is a boutique hotel with a modern, minimalist design, dark wood accents, and a Thai-inspired aesthetic. The hotel features a stylish lobby with funky furniture, and rooms include details like leather wall tiles and marble bathrooms."
usa_new york city_6_columbus,"6 Columbus is a modern, boutique hotel with a retro 50's-60's design, contemporary minimalist-style rooms with artwork, and sleek decor featuring teak walls and faux fur-covered elevator walls. The hotel's design includes features like heated bathroom floors, Kiehl's or Fresh bath products, iPod docking stations, and platform beds with under-bed storage."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue Hotel is located in an older building with art deco design, some rooms featuring views of the Empire State Building. Some reviewers noted the hotel has a funky vibe and unique architecture, but some hallways are narrow."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a funky, garage-chic style with masculine decor, reclaimed furniture, industrial fin de siecle design, and prewar architectural elements. Rooms feature details such as guitars, record players, SMEG fridges, and unique art."
usa_new york city_affinia_50,"The Affinia 50 has a modern, boutique-y feel with a brushed aluminum, marble, and plexiglass waterfall in the lobby, and some reviewers noted it used to be an apartment building. The hotel has a water-wall and orchids in the lobby, and a club room on the second floor described as modern and bright."
usa_new york city_affinia_dumont,"The hotel is a tall, narrow building converted from apartments, with most rooms being suites that include a kitchenette. Some reviewers mention having great views of the Chrysler Building and East River from their rooms on higher floors."
usa_new york city_affinia_gardens,"The Affinia Gardens, formerly an apartment building, offers spacious suite-style rooms with full kitchens, with some rooms featuring balconies or patios. The hotel is described as having a modern, Zen-like decor."
usa_new york city_affinia_manhattan,"The Affinia Manhattan has an older architectural style and a grand lobby, and some reviewers mention the beautiful, old elevators as well as its old fashioned-looking exterior. The hotel's architecture is also described as Art Deco, and as an apartment conversion."
usa_new york city_affinia_shelburne,"The Affinia Shelburne, formerly the Shelburne Murray Hill, is a remodeled hotel with modern, chic interiors. Some reviewers mention Empire State Building views and rooftop bars with skyline views."
usa_new york city_aka_united_nations,AKA United Nations offers modern apartments with full kitchens and up-to-date furnishings. The complex is new and modern throughout.
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic landmark known for its unique, old-world, European, and art deco architectural design, featuring cartoon wallpaper, dark wood paneling, and a lobby reminiscent of a private members club. Rooms feature bay windows, spotlessly clean decor, antique furniture, and marble steps, and the property includes features like the famous Round Table."
usa_new york city_americana_inn,"The Americana Inn is a low-rise building with a sparse lobby on the second floor. It has an institutional feel reminiscent of a college dorm, with a basic interior."
usa_new york city_amsterdam_court_hotel,"The Amsterdam Court Hotel has a European ambiance, a snappy little lobby, and an Art Deco style. It is located in an older building, and the rooms are modernly designed."
