Query,Hotel,Relevance Score
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hotel_monaco_chicago_a_kimpton_hotel,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_sofitel_chicago_water_tower,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_amalfi_hotel_chicago,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_affinia_chicago,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_james_chicago,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hotel_burnham_a_kimpton_hotel,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_ambassador_east_hotel,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_renaissance_chicago_hotel,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hotel_allegro_chicago_a_kimpton_hotel,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_w_chicago_lakeshore,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_millennium_knickerbocker_hotel_chicago,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_intercontinental_chicago,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_the_peninsula_chicago,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_park_hyatt_chicago,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_fairmont_chicago_millennium_park,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_swissotel_chicago,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hilton_garden_inn_chicago_downtown_magnificent_mile,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_omni_chicago_hotel,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_the_drake,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_the_palmer_house_hilton,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hilton_chicago,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_homewood_suites_by_hilton_chicago_downtown,1
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hotel_indigo_chicago_downtown_gold_coast,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_marriott_chicago_downtown_magnificent_mile,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_dana_hotel_spa,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_the_raffaello_hotel,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_conrad_chicago,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_the_westin_chicago_river_north,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_sheraton_chicago_hotel_and_towers,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_renaissance_chicago_o_hare_suites_hotel,1
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hyatt_regency_chicago,1
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_the_talbott_hotel,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_four_points_by_sheraton_chicago_downtown_magnificent_mile,2
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_trump_international_hotel_tower_chicago,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_courtyard_by_marriott_chicago_downtown_magnificent_mile,1
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_w_chicago_city_center,3
Recommend a hotel for a romantic getaway.,usa_illinois_chicago_hard_rock_hotel_chicago,1
