Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern, clean, and stylish hotel with a gym, pool, and communal computers; it is located next to a Sheraton and near a large shopping mall with many dining options. The hotel is not downtown and can be difficult to reach by taxi, but it offers good value, especially for those needing to be in the Haidian district."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, making it suitable for families and groups. It features a pool, gym, on-site dining options, and is located near the CBD and subway, though taxi drivers may have difficulty finding it."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style hotel located in a hutong, a 5-10 minute walk from Tiananmen Square and close to subway stations. The hotel offers a trishaw service to the main road, free internet, and both English and Chinese breakfasts."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is a traditional Chinese-style hotel located in the Hutongs area of Beijing, offering peaceful gardens, unique decor, and a quiet atmosphere away from the city's bustle. Rooms feature free internet access, and the hotel is conveniently located near the subway, local restaurants, and attractions like Houhai Lake and the Drum Tower."
china_beijing_beijing_century_towers,"Century Towers Beijing offers apartment-style rooms, including a 3-bedroom option with a full kitchen, dining room, washer/dryer, and multiple bathrooms, suitable for large groups. The hotel features a workout room and is located across the street from a large supermarket."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel in Beijing is a large hotel that caters to large groups, with clean rooms and a continental breakfast with Western and Asian options; it is located about a 30-minute walk from Tiananmen Square, though some found it difficult to reach via public transportation. Some reviewers noted the staff were helpful, and the hotel offered amenities such as a coffee shop, massage establishment, and money exchange."
china_beijing_beijing_far_east_international_youth_hostel,"Far East Hotel is located in a traditional hutong neighborhood, within walking distance of Tiananmen Square and other attractions, with a restaurant, bar, and travel agency on-site. Some rooms are basic but clean, and the hotel offers tours and internet access."
china_beijing_beijing_friendship_hotel_grand_building,"The Beijing Friendship Hotel is a large complex with multiple buildings set in a garden-like environment, featuring amenities like a supermarket, several restaurants including a TGI Friday's, and a sports center with a pool. It is located a distance from the city center but near universities, and offers a mix of Western and Chinese culture."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel is near the US and Japanese embassies, with moderate traffic and a food street nearby. It offers modern, clean rooms with international TV channels and is considered a great value compared to higher-priced hotels."
china_beijing_beijing_hotel,"The Beijing Hotel enjoys a central location near Tiananmen Square and the Forbidden City, with some rooms offering views of these landmarks, and is connected to the Raffles Hotel. The hotel consists of multiple buildings, including a historic building, and offers amenities such as a gym, pool, and a variety of restaurants, though some reviewers have noted that the facilities and service quality vary."
china_beijing_beijing_international_hotel,"The Beijing International Hotel is centrally located, within walking distance of shopping areas and historic sites, and offers a breakfast buffet with both Western and Chinese options. Some rooms offer views of the city, and there is a revolving restaurant on the 28th floor."
china_beijing_beijing_jade_international_youth_hostel,"Jade Youth Hostel is a budget-friendly option with private ensuite rooms and dorms, located within walking distance of the Forbidden City and Tiananmen Square. It offers amenities like free WiFi in the lobby, tour booking services, and a breakfast buffet."
china_beijing_beijing_sihe_courtyard_hotel,"Sihe Hotel is a small, traditional Chinese courtyard hotel located in a hutong, offering a unique cultural experience with clean and comfortable rooms, helpful staff, and a peaceful atmosphere. It is conveniently located near the metro, Forbidden City, and Wangfujing Street, although some taxi drivers may find it difficult to locate."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms featuring amenities like flat-screen TVs, soaking tubs with TVs, and separate showers and bathtubs; it also offers multiple restaurants, a spa with a swimming pool, and a gym. While some found the location initially unremarkable, it is within walking distance of conveniences like a Walmart, restaurants, and high-end shopping malls, with a subway station a 15-20 minute walk away."
china_beijing_capital_hotel_beijing,"Capital Hotel Beijing is centrally located near Tiananmen Square and the Forbidden City, with amenities such as a pool, bowling alley, and multiple restaurants. Some rooms have been renovated, while others are more dated, and beds are typically firm."
china_beijing_china_world_hotel,"The China World Hotel is a luxurious hotel connected to a high-end shopping mall, with a grand lobby featuring live music and spacious, well-equipped rooms, with a good location near a subway stop for accessing tourist sites. Some reviewers highlight the extensive breakfast buffet, gym, and pool."
china_beijing_city_hotel_beijing,"The City Hotel in Beijing offers apartments, some with multiple single beds, and is located near bars, restaurants, and the subway. Some rooms may be in need of maintenance."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is a unique hotel comprised of architecturally distinct villas offering private access to an unrestored section of the Great Wall. It features restaurants, a spa, and a kids club, but is located a 1.5-hour drive from Beijing."
