Hotel,Summary
china_beijing_aloft_beijing_haidian,"There is no mention of waterfront views at this hotel. The hotel is located in Haidian, next to the Four Points Hotel, and is not downtown."
china_beijing_ascott_beijing,There is no mention of waterfront views in the hotel reviews. The hotel is centrally located in the CBD.
china_beijing_autumn_garden_courtyard_hotel,"This hotel is located in a hutong (maze of alleyways) near Tiananmen Square, not directly accessible by car but reachable via a tricycle service. It offers a traditional Beijing experience, free internet, and a choice of English or Chinese breakfasts."
china_beijing_bamboo_garden_hotel,"The hotel is within reasonable walking distance, through the hutongs, to the lakes Houhai & Quanhai. There is a terrific park with lakeside eating choices a little way to the south."
china_beijing_beijing_century_towers,"I'm sorry, but the reviews provided do not mention waterfront views. However, the Century Towers Beijing hotel offers apartment-style rooms with multiple bedrooms, full kitchens, dining rooms, washer/dryers, and access to a workout room."
china_beijing_beijing_dong_fang_hotel,The hotel is located a 30-minute walk from Tiananmen Square. Rooms on the 12th floor offer views over the city.
china_beijing_beijing_far_east_international_youth_hostel,"There is no mention of waterfront views in the hotel reviews. The hotel is located in the hutongs, about 20 minutes walk from Tiananmen Square."
china_beijing_beijing_friendship_hotel_grand_building,"I am sorry, but the provided reviews do not mention waterfront views. The hotel is located on the third ring road of Beijing, and is described as having nice gardens on the property."
china_beijing_beijing_guangming_hotel,"Neither review mentions waterfront views. The hotel is near the US and Japanese embassies, off the 3rd Ring road (San Huan), and adjacent to a food street."
china_beijing_beijing_hotel,"I am sorry, but there is no information about waterfront views in these reviews. However, the hotel is located near Tiananmen Square and the Forbidden City, and some rooms have balconies overlooking Chang An Avenue."
china_beijing_beijing_international_hotel,The hotel has a rotating restaurant on the 28th floor with city views. Rooms on upper floors may overlook Beijing Railway Station.
china_beijing_beijing_jade_international_youth_hostel,"I am sorry, but none of the reviews mention any waterfront views. The hotel is located in a quiet alley near the Forbidden City and Tiananmen Square."
china_beijing_beijing_sihe_courtyard_hotel,"I'm sorry, but the hotel reviews provided do not mention any waterfront views. The hotel is located in a traditional Hutong neighborhood."
china_beijing_bohao_radegast_hotel_beijing,"I am sorry, the reviews do not contain information about waterfront views. However, the Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms, multiple restaurants, a spa, and a pool. It is located in Beijing's central business district, within walking distance of shopping centers."
china_beijing_capital_hotel_beijing,"There are no waterfront views at this hotel. Some rooms on upper floors offer nice views of the city, Forbidden City rooftops, and mountains, but these views are often obscured by smog."
china_beijing_china_world_hotel,"I am sorry, but there is no mention of waterfront views in the hotel reviews."
china_beijing_city_hotel_beijing,"There is no mention of waterfront views in the hotel reviews. The hotel is centrally located in Beijing, close to bars, restaurants, and the subway."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall offers stays in architect-designed villas spread across a valley, with some rooms providing views of the Great Wall. It features private access to an unrestored section of the Great Wall."
china_beijing_courtyard_7,"This hotel is within walking distance of Hohai Lake, Beihai Park and the Forbidden City and a lovely stroll through the lakes and parks to Tiananmen Square. The hotel is located in a hutong area which is full of interesting shops, bars and restaurants."
china_beijing_courtyard_by_marriott,"I'm sorry, there is no mention of waterfront views in the hotel reviews. The Courtyard by Marriott in Beijing is centrally located near a subway station, shopping malls, and restaurants."
china_beijing_courtyard_by_marriott_beijing_northeast,"I am sorry, but none of the reviews mention waterfront views."
china_beijing_crowne_plaza_hotel_beijing,"There is no mention of waterfront views in the hotel reviews. The hotel is centrally located on Wangfujing Street, a main shopping street in Beijing, and is within walking distance of the Forbidden City and Tiananmen Square."
china_beijing_crowne_plaza_hotel_zhongguancun,"I am sorry, I cannot answer the query because there is no mention of waterfront views in the hotel reviews."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"I am sorry, but none of the reviews mention waterfront views. The hotel is located close to the airport and exhibition center, but is in an industrial area, away from the city center."
china_beijing_crowne_plaza_park_view_wuzhou,"I am sorry, but none of the reviews mention waterfront views. Most reviews focus on proximity to the Olympic park, cleanliness, and service."
china_beijing_crowne_plaza_sun_palace_beijing,"I'm sorry, but none of the reviews mention any waterfront views from this hotel. The hotel is located near construction sites and the third ring road."
china_beijing_days_inn_forbidden_city_beijing,The reviews do not mention any waterfront views for this hotel. The hotel is located near the Forbidden City and Tiananmen Square.
china_beijing_days_inn_joiest_beijing,"I am sorry, but none of the reviews mention waterfront views. The hotel is located in a newly built commercial area and is not near many restaurants or main sites."
china_beijing_double_happiness_courtyard_hotel,"I am sorry, but there is no mention of waterfront views in the hotel reviews."
