Query,Hotel,Relevance Score
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hotel_giraffe,2
Where can I find a hotel with authentic local culture experiences?,queries_new,3
Where can I find a hotel with authentic local culture experiences?,usa_new york city_library_hotel,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hotel_gansevoort,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_tribeca_grand_hotel,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_iroquois,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_room_mate_grace,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hotel_elysee,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hotel_mela,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_bryant_park,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_night_hotel,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_w_new_york_times_square,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_casablanca_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_warwick_new_york_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_embassy_suites_hotel_new_york_city,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_san_carlos_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_new_york_palace_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_mandarin_oriental_new_york,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_residence_inn_by_marriott_times_square_new_york,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hotel_on_rivington,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_belvedere,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_on_the_ave_hotel,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_soho_grand_hotel,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_blue_moon_hotel,3
Where can I find a hotel with authentic local culture experiences?,usa_new york city_affinia_shelburne,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_benjamin,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_michelangelo_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_sofitel_new_york,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_affinia_dumont,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_affinia_50,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_cosmopolitan_hotel_tribeca,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_algonquin_hotel,3
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_bowery_hotel,3
Where can I find a hotel with authentic local culture experiences?,usa_new york city_belleclaire_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_excelsior_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_roger_williams_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hudson_hotel,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_ritz_carlton_battery_park,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_muse_hotel_new_york_a_kimpton_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_comfort_inn_midtown,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hotel_beacon,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,1
Where can I find a hotel with authentic local culture experiences?,usa_new york city_gramercy_park_hotel,2
Where can I find a hotel with authentic local culture experiences?,usa_new york city_hotel_41_at_times_square,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_the_hampton_inn_times_square_north,0
Where can I find a hotel with authentic local culture experiences?,usa_new york city_dream,1
