,eqr,q2e,q2d
Suggest a restaurant with exceptional chef's tasting menus.,0.7083333333333334,0.6527777777777777,0.5625
What are some of the best restaurants for wine enthusiasts?,0.48958333333333337,0.4756944444444445,0.46875
Where can I find restaurants with unique food and wine pairings?,0.46341463414634143,0.47560975609756095,0.4573170731707317
Where can I find restaurants for a sports event?,0.41377314814814814,0.4560185185185185,0.42708333333333337
What are the top farm-to-table restaurants?,0.575,0.4,0.225
Suggest a restaurant with amazing skyline views.,0.36764705882352944,0.4490196078431372,0.3362745098039216
Which restaurants offer great seasonal dining experiences?,0.46330645161290324,0.43911290322580643,0.22983870967741934
Recommend a restaurant with innovative vegetarian options.,0.34728070175438597,0.3669298245614035,0.32403508771929823
Where can I dine with beautiful waterfront views?,0.3589743589743589,0.47756410256410253,0.19711538461538464
Recommend a restaurant that's perfect for business meetings.,0.32857142857142857,0.30952380952380953,0.3654761904761905
Where can I find restaurants with great views of the city?,0.31985294117647056,0.3426470588235294,0.34044117647058825
Where can I find restaurants that cater to dietary restrictions?,0.26329838866239563,0.3050863909920404,0.28538147932440305
Where can I find the best aesthetic brunch spots in town?,0.28460038986354774,0.27972709551656916,0.27923976608187134
Where can I find restaurants that source local ingredients?,0.2630952380952381,0.30654761904761907,0.20297619047619048
What are the best restaurants for a romantic dinner?,0.26001479458290655,0.2575395470581541,0.22703994537384775
What are the best restaurants for celebrating anniversaries?,0.2911976235146967,0.27853345841150723,0.14462163852407756
Where can I find restaurants with both local and international cuisine?,0.18524332810047095,0.26713762428048143,0.21526687598116168
What are the best restaurants for a relaxing long dinner?,0.2761080752884032,0.28589860352155433,0.10048573163327261
I want a fine dining experience.,0.301460564751704,0.2745374878286271,0.08617332035053554
Which restaurants blend modern cuisine with traditional recipes?,0.25674019607843135,0.2630718954248366,0.13112745098039216
What are the top restaurants for a scenic dining atmosphere?,0.20271298174442193,0.27028397565922924,0.16696247464503045
What are the best restaurants for food photography?,0.21651785714285715,0.24776785714285715,0.17336309523809523
Looking for a restaurant that feels exclusive but not pretentious.,0.21281296023564064,0.2427589592538046,0.18127147766323023
Suggest a restaurant with a magical dining ambiance.,0.22102540597171294,0.23549633315872184,0.16130827658459926
What are the best restaurants for special occasions?,0.24056603773584906,0.22179060303366627,0.08393451720310766
Where can I find the most authentic ethnic cuisine?,0.17439903846153848,0.17512019230769232,0.18389423076923078
Suggest a restaurant with the best cocktail program.,0.16583864516935384,0.17577490313710786,0.1738063992001
What are the best restaurants for group celebrations?,0.16255656108597286,0.18320135746606336,0.12754524886877827
Where can I find restaurants that combine innovative and comfort food?,0.16203782951044163,0.15613231769941802,0.15014121876069841
Which restaurants are good for meeting people?,0.1503075760846104,0.16889704295273042,0.14785236347938702
Suggest a restaurant with unique cultural fusion dishes.,0.15611060089215428,0.1742652847021779,0.13246195224350565
I want a restaurant with a theatrical dining experience.,0.15772332506203474,0.22518610421836227,0.07149503722084367
Where can I find restaurants with great outdoor seating?,0.16365915352996974,0.15688377975518317,0.13083246759112876
What are the best restaurants for a business lunch?,0.25213675213675213,0.16025641025641024,0.038461538461538464
What restaurants have the most Instagram-worthy presentations?,0.165779355220349,0.16644483880508726,0.11623779946761312
Recommend a restaurant with great private dining options.,0.10858585858585859,0.17003367003367004,0.13973063973063973
Recommend a restaurant that feels like eating at a family home.,0.12042151162790699,0.13895348837209304,0.1385174418604651
Where can I eat near the best cultural sites?,0.13145161290322582,0.17258064516129032,0.08225806451612902
Recommend a family-friendly restaurant.,0.14871794871794872,0.13333333333333333,0.09636752136752137
Where can I dine to experience the city's culinary nightlife?,0.11933326526444762,0.15346130283847254,0.09824892791505002
What are the best restaurants for a family reunion dinner?,0.09405405405405406,0.12081081081081081,0.14756756756756756
Recommend restaurants with a strong cultural or historical significance.,0.11699507389162561,0.11600985221674878,0.10123152709359606
What are the best restaurants for late-night dining?,0.13716517857142857,0.11897321428571428,0.06796875
Where can I find a trendy restaurant?,0.12983770287141072,0.08950864990190832,0.08819332976636347
Where's a good place to dine alone?,0.08676075268817204,0.13951612903225807,0.07600806451612904
What are the best restaurants for a quick but quality lunch?,0.0982219827586207,0.11584051724137931,0.08432112068965517
What are the best hidden gem restaurants in the city?,0.0688151890482399,0.0905720338983051,0.07064863102998696
Where can I find a restaurant that balances gourmet cuisine and affordability?,0.07121169326366332,0.04459115944075695,0.09945629148425364
I need a place that takes last-minute reservations.,0.07514619883040935,0.07953216374269007,0.030994152046783626
What restaurants offer the best value for money?,0.04160340115396295,0.04386197995748557,0.08267537200121469
AVERAGE,0.2238738854980456,0.23262551790708771,0.17750904619695304
