Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is located across the street from Rockefeller Center, near St. Patrick's Cathedral and Radio City Music Hall. It offers clean, basic rooms and a complimentary breakfast, but lacks the amenities of a typical chain hotel."
usa_new york city_414_hotel,"414 Hotel is a small, intimate haven near Restaurant Row with a charming leafy patio, mosaic tables, and bedrooms featuring photographic cityscapes, white down comforters, and natural fiber sheets. The hotel has a European vibe, and guests can have breakfast together at a long, attractively stained table brightened by flowers."
usa_new york city_60_thompson,"60 Thompson is a modern, stylish boutique hotel located in SoHo with a cool lobby bar and rooftop bar. The hotel is known for its friendly staff and convenient location near shops and restaurants."
usa_new york city_6_columbus,"6 Columbus is a modern, chic boutique hotel with a trendy atmosphere and a Japanese-inspired restaurant, located near Central Park and the Columbus Circle subway stop. The hotel features stylish rooms with contemporary minimalist design, flat-screen TVs, iPod docks, and Kiehl's or Fresh bath products."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"This boutique hotel has a modern and stylish decor, a small lobby, and offers a wine reception in the evenings. The rooms are cozy with warm lighting and comfortable beds."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a hipster vibe with a lively lobby scene, library table, and bar; some rooms include features like guitars and record players. The hotel has funky decor with reclaimed furniture and accessories, and a masculine style with dark lighting."
usa_new york city_affinia_50,"The Affinia 50 is a smaller, modern hotel with a lounge area on the second floor, pod coffee machines, and orchids in the lobby; it offers free wine and cheese on some evenings. The rooms are executive suites, with options for a lounge, bedroom, kitchen, and bathroom."
usa_new york city_affinia_dumont,"The Affinia Dumont is a stylish hotel with modern decor, large rooms, and a good location in the Murray Hill neighborhood. Although a smaller hotel, the staff was very friendly and helpful."
usa_new york city_affinia_gardens,"Affinia Gardens, located on the Upper East Side, offers spacious rooms with kitchens and a ""tranquility"" theme, including a tea bar. The hotel is described as having a zen-like philosophy and spa-esque atmosphere, appealing to those seeking a relaxing environment."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is located across from Penn Station and Madison Square Garden with a grand lobby and bar. The rooms feature kitchens and are clean, with pillow menus and updated bedding."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is a recently renovated hotel with modern decor, a chic lobby, and a groovy bar/restaurant with a popular local following. It also features a rooftop bar with great city views."
usa_new york city_aka_united_nations,"AKA United Nations offers modern, well-equipped apartments with kitchens and comfortable living spaces, featuring modern decor and a generally quiet atmosphere, with complimentary breakfast on weekdays."
usa_new york city_algonquin_hotel,"The Algonquin Hotel has an old New York feel with a classic boutique style, art deco character, and a lively lobby, but doesn't have a hip scene. The hotel is historic and elegant, with art deco character, New Yorker cartoon wallpaper, and a resident cat."
usa_new york city_americana_inn,"The Americana Inn is a basic, clean budget hotel in midtown Manhattan, offering small rooms with shared bathrooms, TV, and a sink. Some rooms have been recently painted and include LCD TVs, and the hotel is secured with a buzzer entry system."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel is a small, modern, and clean hotel with a snappy little lobby and a trendy cocktail bar. Rooms feature a contemporary brown and beige color scheme and modern design."
usa_new york city_astor_on_the_park,"The Astor on the Park is a basic, clean, and European-style hotel with small rooms, friendly multilingual staff, and is located across from Central Park and near the subway. It is a great base for exploring the city and is frequented mainly by European guests."
