Query,Hotel,Relevance Score
Recommend a hotel for a romantic getaway.,uk_england_london_hotel_41,3
Recommend a hotel for a romantic getaway.,uk_england_london_renaissance_chancery_court_london,2
Recommend a hotel for a romantic getaway.,uk_england_london_melia_white_house,2
Recommend a hotel for a romantic getaway.,uk_england_london_luna_simone_hotel,2
Recommend a hotel for a romantic getaway.,uk_england_london_sofitel_st_james_london,3
Recommend a hotel for a romantic getaway.,uk_england_london_mandeville_hotel,2
Recommend a hotel for a romantic getaway.,uk_england_london_st_martins_lane_hotel,3
Recommend a hotel for a romantic getaway.,uk_england_london_k_west_hotel_spa,2
Recommend a hotel for a romantic getaway.,uk_england_london_the_landmark_london,3
Recommend a hotel for a romantic getaway.,uk_england_london_jolly_st_ermin_s_hotel,2
Recommend a hotel for a romantic getaway.,uk_england_london_the_soho_hotel,3
Recommend a hotel for a romantic getaway.,uk_england_london_covent_garden_hotel,3
Recommend a hotel for a romantic getaway.,uk_england_london_crowne_plaza_london_st_james,3
Recommend a hotel for a romantic getaway.,uk_england_london_the_montague_on_the_gardens,3
Recommend a hotel for a romantic getaway.,uk_england_london_hoxton_hotel,2
Recommend a hotel for a romantic getaway.,uk_england_london_sanderson_hotel_london,2
Recommend a hotel for a romantic getaway.,uk_england_london_the_milestone_hotel,3
Recommend a hotel for a romantic getaway.,uk_england_london_radisson_edwardian_new_providence_wharf,2
Recommend a hotel for a romantic getaway.,uk_england_london_rubens_at_the_palace,3
Recommend a hotel for a romantic getaway.,uk_england_london_hilton_london_tower_bridge,3
Recommend a hotel for a romantic getaway.,uk_england_london_k_k_hotel_george,2
Recommend a hotel for a romantic getaway.,uk_england_london_park_plaza_riverbank_london,3
Recommend a hotel for a romantic getaway.,uk_england_london_kensington_close_hotel,2
Recommend a hotel for a romantic getaway.,uk_england_london_the_waldorf_hilton,3
Recommend a hotel for a romantic getaway.,uk_england_london_draycott_hotel,3
Recommend a hotel for a romantic getaway.,uk_england_london_apex_city_of_london,3
Recommend a hotel for a romantic getaway.,uk_england_london_the_may_fair,2
Recommend a hotel for a romantic getaway.,uk_england_london_city_inn_westminster,2
Recommend a hotel for a romantic getaway.,uk_england_london_holiday_inn_london_kensington_forum,1
Recommend a hotel for a romantic getaway.,uk_england_london_athenaeum_hotel_apartments,3
Recommend a hotel for a romantic getaway.,uk_england_london_the_cavendish_london,3
Recommend a hotel for a romantic getaway.,uk_england_london_park_plaza_sherlock_holmes_london,3
Recommend a hotel for a romantic getaway.,uk_england_london_ashburn_hotel,3
Recommend a hotel for a romantic getaway.,uk_england_london_park_plaza_victoria_london,2
