,eqr,q2e,q2d
What are the best restaurants for a romantic dinner?,0.9609657117298525,0.9488883865671218,0.8389777094447886
Where can I find restaurants that cater to dietary restrictions?,0.8604257369437548,0.9279212462198074,0.9355538734878198
Where can I find restaurants with great outdoor seating?,0.9557479922196366,0.9108848107403452,0.8559060290315659
Recommend a restaurant with innovative vegetarian options.,0.9138574448681471,0.9189606210034756,0.8838103014479615
Where can I find restaurants with unique food and wine pairings?,0.9424372519890696,0.9243592159297598,0.8156440135611419
Where can I find the most authentic ethnic cuisine?,0.8577428675498415,0.883967884983959,0.9258653704722203
Where can I find restaurants for a sports event?,0.8692649377739379,0.9094733300041374,0.867016627616976
What are some of the best restaurants for wine enthusiasts?,0.8647944779818041,0.8548109673491917,0.889736173768239
Suggest a restaurant with the best cocktail program.,0.787039402522365,0.8965376590755164,0.8882202502418305
Suggest a restaurant with exceptional chef's tasting menus.,0.8876101457385143,0.8624175281128229,0.7373657931818877
Looking for a restaurant that feels exclusive but not pretentious.,0.8104021078509264,0.9035612916406907,0.5893863517578808
What are the best restaurants for celebrating anniversaries?,0.9482812470869103,0.9096136566238722,0.42182127281207976
Suggest a restaurant with unique cultural fusion dishes.,0.8367697044374389,0.9069154432504543,0.48795784049681995
What are the best restaurants for special occasions?,0.9532720567002697,0.8302760431103042,0.4040050657354387
Where can I find restaurants that combine innovative and comfort food?,0.7544225157568221,0.7143608751139131,0.6765757176504468
Suggest a restaurant with a magical dining ambiance.,0.7668435574518868,0.8294037101675864,0.5259251763076622
I want a fine dining experience.,0.9006576230774714,0.7886036123671281,0.3892292664025109
Where can I find the best aesthetic brunch spots in town?,0.7202079234525695,0.6920335702148632,0.6266644522606364
Where can I find restaurants with great views of the city?,0.8115545694415663,0.7753849721706865,0.4257297078520403
What are the top restaurants for a scenic dining atmosphere?,0.5508216257503417,0.8449533122934718,0.5448534750180618
What are the best restaurants for group celebrations?,0.7755609523754735,0.7555210953372289,0.3949052995958659
Which restaurants blend modern cuisine with traditional recipes?,0.7809007044053468,0.8337101512434145,0.29993176154654055
What are the best restaurants for a quick but quality lunch?,0.6609150589220751,0.6902517838957871,0.5619832377085194
What are the best restaurants for a relaxing long dinner?,0.8202695464783872,0.7728857715785116,0.27062332242156806
Where can I find restaurants with both local and international cuisine?,0.5668376349856283,0.6400048155525442,0.6492745620385693
Which restaurants are good for meeting people?,0.6138198010759156,0.6798928474385162,0.5580942288853017
Suggest a restaurant with amazing skyline views.,0.7392174192909486,0.7370554641614424,0.2911091002057389
Where can I find a trendy restaurant?,0.6584393000726737,0.6785075859122373,0.39919848551160764
Where can I dine to experience the city's culinary nightlife?,0.6165878010670736,0.6906107872228335,0.4138329951864572
Recommend a restaurant that feels like eating at a family home.,0.4885585503469638,0.49906691666806047,0.7127022836520589
Where can I find restaurants that source local ingredients?,0.584474040965914,0.6336846983825467,0.4030225759749432
Recommend restaurants with a strong cultural or historical significance.,0.4749016465924248,0.6966913336401794,0.44798701317272954
Recommend a family-friendly restaurant.,0.641024308671293,0.6166162698892952,0.33308724504985343
Which restaurants offer great seasonal dining experiences?,0.7476870513670196,0.5969738720505432,0.2350118245401361
Where's a good place to dine alone?,0.45300217230601625,0.6738783020094918,0.3786361948284035
I want a restaurant with a theatrical dining experience.,0.6612896208957568,0.6854813764034754,0.14776296771271483
Where can I dine with beautiful waterfront views?,0.6142161503441992,0.5515040228436631,0.3143647567428055
What are the best restaurants for late-night dining?,0.6240472969443028,0.4954216220441825,0.2715312454559926
What restaurants have the most Instagram-worthy presentations?,0.5429155977793174,0.49458028331793985,0.2825147983909103
What are the best hidden gem restaurants in the city?,0.39726894865966167,0.378049826414474,0.383427289178126
Where can I eat near the best cultural sites?,0.3998792959822372,0.528118107925652,0.18256811092031971
What restaurants offer the best value for money?,0.1685785678403292,0.3029090668956722,0.6262950510398511
Recommend a restaurant with great private dining options.,0.13101563884458622,0.5931993129222455,0.3206007841771362
What are the best restaurants near major tourist attractions?,0.36284591712808373,0.4331252654337211,0.24676214008083538
Recommend a restaurant that's perfect for business meetings.,0.24204741740747177,0.2697687848163445,0.4899567228837415
What are the top farm-to-table restaurants?,0.4165609129830794,0.2560151432231552,0.3010069444444445
What are the best restaurants for a family reunion dinner?,0.2737360005270131,0.21185223335297027,0.4642798653731316
Where can I find a restaurant that balances gourmet cuisine and affordability?,0.3190281966927008,0.20759666413344177,0.35492496109646143
Recommend a restaurant with a straightforward menu.,0.09648775331811046,0.024188311688311686,0.561499298952832
I need a place that takes last-minute reservations.,0.35500980665369636,0.15479575544610646,0.03686561420400093
AVERAGE,0.6279268535118103,0.6391958327369872,0.48539138984398866
