Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is associated with the Republican National Women's Club and has hosted young debutantes. The hotel's location is near Rockefeller Center, St. Patrick's Cathedral, and Radio City Music Hall."
usa_new york city_414_hotel,"The hotel is located near Restaurant Row and Times Square, with many restaurants and bars in the area, and offers a small continental breakfast. Guests have noted that the lobby doubles as a breakfast room, which encourages conviviality, and that the hotel attracts many European guests."
usa_new york city_60_thompson,"60 Thompson has a lively atmosphere with a hip lobby bar that is popular with local trendsetters and celebrities. The hotel has a rooftop bar open late into the night with city views, but it can be closed for private events."
usa_new york city_6_columbus,"6 Columbus has a lively atmosphere with a popular sushi restaurant and bar that is vibrant at night, as well as hip and trendy decor with music playing in the lobby. The hotel is a popular spot to start and end a night out in NYC, and many reviewers enjoy its central location near restaurants and bars."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"The hotel has a bar/restaurant, a wine reception in the lobby every evening, and happy hour from 5-7 pm. Some guests mentioned live music in the lounge but didn't hear it as it didn't start at the time it was advertised to."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a friendly hipster vibe with a beautiful lobby and bar that becomes a lively scene at night, especially on weekends. The hotel lobby is a fun place to hang out and have a drink, with DJs during CMJ music confab, and the rooms are sound-proofed against the lobby noise."
usa_new york city_affinia_50,This hotel has a lounge that offers complimentary wine and cheese on weekday nights and is frequented by tourists. There is also a nightclub right next to the hotel.
usa_new york city_affinia_dumont,"This hotel is located in the Murray Hill area, away from the bustle of Times Square, but near subway lines. There is a bar and restaurant downstairs called the Barking Dog which has a few regular locals/characters from New York."
usa_new york city_affinia_gardens,There is no mention of a lively atmosphere; the hotel emphasizes tranquility and serenity. The hotel is located on the Upper East Side and offers spacious rooms with kitchens.
usa_new york city_affinia_manhattan,"The Affinia Manhattan has a bar that is a hub of activity in the evenings and is located near Times Square. The hotel is in a lively central location near a fire station, so expect to hear noise from the streets."
usa_new york city_affinia_shelburne,"The Affinia Shelburne has a lively bar scene at RARE, its on-site restaurant and bar, and a rooftop bar that gets busy from 7 pm with a groovy atmosphere. The restaurant is popular with locals and offers a popular bar for locals too."
usa_new york city_aka_united_nations,There is a corner store and a beer and wine store a few minutes walk from the hotel. The hotel is located near the UN headquarters.
usa_new york city_algonquin_hotel,"The Algonquin Hotel has a lively lobby, bar, and lounge scene with live entertainment and bartenders. It is frequented by older clients and locals, with the lobby invariably lively."
usa_new york city_americana_inn,"This hotel is located near Times Square and a major intersection, so guests should expect lots of noise. Some reviewers found the area lively, and the central location allows you to walk to many attractions."
usa_new york city_amsterdam_court_hotel,Amsterdam Court Hotel is centrally located near Times Square and Broadway theaters and has a lively bar; some reviews mention noise from the street and surrounding area. A Japanese restaurant with a live music is located in the lobby.
usa_new york city_astor_on_the_park,"The Astor on the Park is a budget-friendly hotel located opposite Central Park, near subway stations for easy access to midtown and downtown Manhattan; rooms are small, but clean. There are few on-site amenities, though coffee and internet access are available in the basement."
usa_new york city_bedford_hotel,"The hotel is next to Domenico's restaurant, which has a nice bar where Laura remembers guests' drinks each day. Dillon’s Bar is across the road, offering a friendly atmosphere and happy hour five days a week."
usa_new york city_beekman_tower_hotel,"The Beekman Tower has a restaurant on the 26th floor with terraces, and a top floor bar. The Top of the Tower bar has great views and mixed reviews on atmosphere."
usa_new york city_belleclaire_hotel,"The Hotel Belleclaire is in the upper west side and close to many restaurants, shops, and bars; Manhattan Diner is across the street, offering 24-hour service. Some found the street noise to be disruptive, however."
usa_new york city_bentley_hotel,"Some guests note the rooftop bar has great city views and a bohemian atmosphere, but can be dreary with the worst cocktails. The hotel is located in a residential district, which is generally quiet, but some guests mention noise from the 59th street bridge."
