Query,Restaurant,Relevance Score
Where can I experience a chef's personal culinary philosophy?,Louisiana Bistro,3
Where can I experience a chef's personal culinary philosophy?,New Orleans School of Cooking,3
Where can I experience a chef's personal culinary philosophy?,Stella!,3
Where can I experience a chef's personal culinary philosophy?,Gris-Gris,3
Where can I experience a chef's personal culinary philosophy?,Coquette,3
Where can I experience a chef's personal culinary philosophy?,Brigtsen's Restaurant,3
Where can I experience a chef's personal culinary philosophy?,Root,3
Where can I experience a chef's personal culinary philosophy?,Restaurant August,3
Where can I experience a chef's personal culinary philosophy?,Compère Lapin,3
Where can I experience a chef's personal culinary philosophy?,Bayona,3
Where can I experience a chef's personal culinary philosophy?,Green Goddess,3
Where can I experience a chef's personal culinary philosophy?,Cowbell,2
Where can I experience a chef's personal culinary philosophy?,Restaurant R'evolution,3
Where can I experience a chef's personal culinary philosophy?,Booty's Street Food,2
Where can I experience a chef's personal culinary philosophy?,Upperline,3
Where can I experience a chef's personal culinary philosophy?,Toups Meatery,3
Where can I experience a chef's personal culinary philosophy?,K-Paul's Louisiana Kitchen,3
Where can I experience a chef's personal culinary philosophy?,Chophouse New Orleans,1
Where can I experience a chef's personal culinary philosophy?,Emeril's Delmonico,3
Where can I experience a chef's personal culinary philosophy?,Paladar 511,3
Where can I experience a chef's personal culinary philosophy?,Patois Restaurant,2
Where can I experience a chef's personal culinary philosophy?,Juan's Flying Burrito,1
Where can I experience a chef's personal culinary philosophy?,Kin,3
Where can I experience a chef's personal culinary philosophy?,La Boca,2
Where can I experience a chef's personal culinary philosophy?,The Grill,2
Where can I experience a chef's personal culinary philosophy?,The Gallery Venue at Tomas Bistro,2
Where can I experience a chef's personal culinary philosophy?,Dick & Jenny's,2
Where can I experience a chef's personal culinary philosophy?,Gyu-Kaku Japanese BBQ,0
Where can I experience a chef's personal culinary philosophy?,Sneaky Pickle,3
Where can I experience a chef's personal culinary philosophy?,El Gato Negro,1
Where can I experience a chef's personal culinary philosophy?,Herbsaint,3
Where can I experience a chef's personal culinary philosophy?,The Camellia Grill,2
Where can I experience a chef's personal culinary philosophy?,Dante's Kitchen,2
Where can I experience a chef's personal culinary philosophy?,Saffron nola,3
Where can I experience a chef's personal culinary philosophy?,Lilette,2
Where can I experience a chef's personal culinary philosophy?,La Petite Grocery,3
Where can I experience a chef's personal culinary philosophy?,Trinity Restaurant New Orleans,3
Where can I experience a chef's personal culinary philosophy?,Restaurant Rebirth,3
Where can I experience a chef's personal culinary philosophy?,Josephine Estelle,2
Where can I experience a chef's personal culinary philosophy?,Jack Rose,2
Where can I experience a chef's personal culinary philosophy?,The Tasting Room,3
Where can I experience a chef's personal culinary philosophy?,Meauxbar,3
Where can I experience a chef's personal culinary philosophy?,Boucherie,3
Where can I experience a chef's personal culinary philosophy?,Shaya,3
Where can I experience a chef's personal culinary philosophy?,Vincent's Italian Cuisine,2
Where can I experience a chef's personal culinary philosophy?,Mizado Latin Kitchen,2
Where can I experience a chef's personal culinary philosophy?,Boswell's Jamaican Grill,1
