Query,Restaurant,Relevance Score
What are the best restaurants for an unforgettable dining experience?,Bistrot La Minette,3
What are the best restaurants for an unforgettable dining experience?,Bibou,3
What are the best restaurants for an unforgettable dining experience?,Ela,3
What are the best restaurants for an unforgettable dining experience?,Caribou Cafe,2
What are the best restaurants for an unforgettable dining experience?,Serpico,3
What are the best restaurants for an unforgettable dining experience?,Sbraga,3
What are the best restaurants for an unforgettable dining experience?,Butcher and Singer,3
What are the best restaurants for an unforgettable dining experience?,El Rey,2
What are the best restaurants for an unforgettable dining experience?,La Peg,2
What are the best restaurants for an unforgettable dining experience?,Lolita,3
What are the best restaurants for an unforgettable dining experience?,Paris Bistro and Jazz Cafe,3
What are the best restaurants for an unforgettable dining experience?,Parc,3
What are the best restaurants for an unforgettable dining experience?,The Continental Mid-town,3
What are the best restaurants for an unforgettable dining experience?,Del Frisco's Double Eagle Steakhouse,3
What are the best restaurants for an unforgettable dining experience?,La Fourno Ristorante Trattoria,3
What are the best restaurants for an unforgettable dining experience?,Zavino,3
What are the best restaurants for an unforgettable dining experience?,La Locanda Del Ghiottone,3
What are the best restaurants for an unforgettable dining experience?,The Continental Restaurant and Martini Bar,3
What are the best restaurants for an unforgettable dining experience?,Lacroix Restaurant at The Rittenhouse,3
What are the best restaurants for an unforgettable dining experience?,Laurel,3
What are the best restaurants for an unforgettable dining experience?,a.kitchen,3
What are the best restaurants for an unforgettable dining experience?,Vernick Food & Drink,3
What are the best restaurants for an unforgettable dining experience?,Cafe Ynez,2
What are the best restaurants for an unforgettable dining experience?,Fond,3
What are the best restaurants for an unforgettable dining experience?,Matyson,3
What are the best restaurants for an unforgettable dining experience?,La Viola,3
What are the best restaurants for an unforgettable dining experience?,Abe Fisher,3
What are the best restaurants for an unforgettable dining experience?,Cafe La Maude,3
What are the best restaurants for an unforgettable dining experience?,Café y Chocolate,3
What are the best restaurants for an unforgettable dining experience?,Vetri Cucina,3
What are the best restaurants for an unforgettable dining experience?,El Vez,3
What are the best restaurants for an unforgettable dining experience?,The Good King Tavern,3
What are the best restaurants for an unforgettable dining experience?,The Victor Cafe,3
What are the best restaurants for an unforgettable dining experience?,Louie Louie,2
What are the best restaurants for an unforgettable dining experience?,Barclay Prime,3
What are the best restaurants for an unforgettable dining experience?,J'aime French Bakery,3
What are the best restaurants for an unforgettable dining experience?,Osteria,3
What are the best restaurants for an unforgettable dining experience?,Kanella,3
What are the best restaurants for an unforgettable dining experience?,Audrey Claire,3
What are the best restaurants for an unforgettable dining experience?,Fork,3
What are the best restaurants for an unforgettable dining experience?,Sabrina's Café,3
