Hotel,Summary
usa_new york city_3_west_club,"I am sorry, but the reviews do not contain information about a stylish atmosphere. The hotel is described as a ""great little hotel"" and a ""little gem."""
usa_new york city_414_hotel,"414 Hotel is a stylish small hotel with rooms decorated with striking photographic cityscapes, natural fiber sheets, and white down comforters. The lobby has a long attractively stained table brightened by flowers and a motif of historic photos of NYC."
usa_new york city_60_thompson,"60 Thompson is a modern, stylish boutique hotel with a hip atmosphere, a rooftop bar with city views, a chic lobby bar, and a restaurant; rooms feature amenities like flat-screen TVs and Fresh brand toiletries. The hotel's design includes dark wood, and marble bathrooms, but some find the rooms small and that it's located in a quiet area."
usa_new york city_6_columbus,"6 Columbus is a modern, trendy boutique hotel with a sleek and attractive design, though some find the interior to be dark. The hotel features a Japanese-inspired restaurant and bar with a hip atmosphere, as well as amenities like iPod docking stations and heated bathroom floors in some rooms."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue is a stylish boutique hotel with modern, well-appointed rooms and a trendy bar. The hotel also has a small and quaint lobby."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a funky, hipster vibe with a beautiful lobby and bar. The hotel rooms have a masculine decor with reclaimed furniture and accessories."
usa_new york city_affinia_50,"The Affinia 50 is a modern, classy, and swanky hotel with a stylish lobby, comfortable club room, a water-wall, and orchids. Decor is modern, with spacious suites and a boutique-y feel."
usa_new york city_affinia_dumont,"The Affinia Dumont features a chic, modern design and a tranquil, flower-scented lobby. Rooms include marble flooring, updated furniture, and views of the Chrysler and other notable buildings."
usa_new york city_affinia_gardens,"The Affinia Gardens (formerly Lyden Gardens) is a stylish hotel with modern furnishings, a zen-like atmosphere, a tea bar in the lobby, and spacious rooms. It promotes a zen-like philosophy and offers herbal teas in the lobby."
usa_new york city_affinia_manhattan,"The hotel has a grand lobby with marble and chandeliers and a modern bar, though some guests found the unrenovated rooms to be outdated. Some reviewers describe it as having an Art Deco theme."
usa_new york city_affinia_shelburne,"The Affinia Shelburne features modern and chic decor after recent renovations, with groovy atmospheres in the Rare bar/restaurant and luxury touches such as Aveda bath amenities. Some rooms have Empire State Building views, and a rooftop bar is available."
usa_new york city_aka_united_nations,"AKA United Nations offers modern and luxurious apartments with semi-furnished kitchens, separate lounge areas, and modern décor. The hotel provides complimentary breakfast on weekdays, access to a 24-hour gym, and is located near a corner store and the UN Headquarters."
usa_new york city_algonquin_hotel,"The Algonquin Hotel has an old New York feel with a classic boutique style, art deco character, a lively lobby, and New Yorker cartoon wallpaper. Some found the public areas elegant with a feeling of a private members club, others found the antique furniture and style of the Lobby dark and old."
usa_new york city_americana_inn,"I am sorry, but this hotel has very few reviews that mention anything about style. The vast majority of reviews focus on its budget price, cleanliness and convenient location."
usa_new york city_amsterdam_court_hotel,"The Amsterdam Court Hotel features modern rooms with a snappy lobby, and a trendy bar. It is a boutique hotel with European ambiance, and Art Deco style, but some find it dimly lit."
usa_new york city_astor_on_the_park,"Astor on the Park is a basic, older building with small rooms and minimalist accommodations, similar to European hotels. It is clean with refurbished bathrooms and air conditioning, but offers no amenities other than a reception area, drinks machine, and internet station."
usa_new york city_bedford_hotel,"The hotel is described as 'boutique' in style, cozy and charming, with a nicely decorated lobby. Some reviewers note that the rooms are a bit old and worn."
