Query,City,Relevance Score
Budget friendly cities for travelers,Bangkok,3
Budget friendly cities for travelers,Budapest,3
Budget friendly cities for travelers,Istanbul,3
Budget friendly cities for travelers,Buenos Aires,3
Budget friendly cities for travelers,Prague,3
Budget friendly cities for travelers,Sa虄o Paulo,2
Budget friendly cities for travelers,Bucharest,3
Budget friendly cities for travelers,Belgrade,3
Budget friendly cities for travelers,Vienna,2
Budget friendly cities for travelers,Paris,2
Budget friendly cities for travelers,Athens,3
Budget friendly cities for travelers,London,2
Budget friendly cities for travelers,Tokyo,2
Budget friendly cities for travelers,Shanghai,1
Budget friendly cities for travelers,Beijing,2
Budget friendly cities for travelers,Barcelona,2
Budget friendly cities for travelers,Berlin,3
Budget friendly cities for travelers,Amsterdam,2
Budget friendly cities for travelers,Warsaw,3
Budget friendly cities for travelers,Aarhus,3
Budget friendly cities for travelers,Kyoto,2
Budget friendly cities for travelers,Stockholm,2
Budget friendly cities for travelers,Rome,2
Budget friendly cities for travelers,Oslo,1
Budget friendly cities for travelers,Jakarta,3
Budget friendly cities for travelers,Mexico City,3
Budget friendly cities for travelers,Kuala Lumpur,3
Budget friendly cities for travelers,New York City,1
Budget friendly cities for travelers,Chiang Mai,3
Budget friendly cities for travelers,Lisbon,3
Budget friendly cities for travelers,Cape Town,2
Budget friendly cities for travelers,Cairo,3
Budget friendly cities for travelers,Reykjavi虂k,1
Budget friendly cities for travelers,Karachi,2
Budget friendly cities for travelers,Rio de Janeiro,2
Budget friendly cities for travelers,Milan,1
Budget friendly cities for travelers,Singapore,2
Budget friendly cities for travelers,Helsinki,2
Budget friendly cities for travelers,Ho Chi Minh City,3
Budget friendly cities for travelers,Tehran,3
Budget friendly cities for travelers,Bangalore,2
Budget friendly cities for travelers,Melbourne,2
Budget friendly cities for travelers,Tallinn,2
Budget friendly cities for travelers,Madrid,3
Budget friendly cities for travelers,Sydney,2
Budget friendly cities for travelers,Copenhagen,2
Budget friendly cities for travelers,Adelaide,2
Budget friendly cities for travelers,Brussels,2
Budget friendly cities for travelers,Mumbai,2
Budget friendly cities for travelers,Montevideo,2
Budget friendly cities for travelers,Sofia,3
Budget friendly cities for travelers,Manchester,3
Budget friendly cities for travelers,Hong Kong,2
