Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club is in an excellent location near Rockefeller Center and St. Patrick's Cathedral, within walking distance of many tourist attractions and theaters. It offers clean, comfortable rooms and a nice breakfast at a reasonable price, but without the amenities of a typical chain hotel."
usa_new york city_414_hotel,"The 414 Hotel is located in the Theater District and close to Times Square, with guests noting the location is central, convenient, and within walking distance of many attractions, while also being quiet. Some reviewers enjoyed the complimentary breakfast and courtyard."
usa_new york city_60_thompson,"60 Thompson is a stylish hotel located in the heart of Soho, near restaurants and shops. The hotel has a rooftop bar with city views, and offers amenities like a DVD player and curated mini-bar."
usa_new york city_6_columbus,"6 Columbus is a modern, trendy boutique hotel located near Central Park and Columbus Circle, with access to subway lines and shopping at Time Warner Center. Rooms range from small ""pod"" rooms to larger suites, with heated bathroom floors, and iPod docks."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue Hotel is a small boutique hotel in Midtown Manhattan, near Grand Central Station, with comfortable beds and a bar, and known for its friendly staff. Some reviewers mention celebrating anniversaries or birthdays at the hotel, and the hotel has offered champagne or cake from management for special occasions."
usa_new york city_ace_hotel_nyc,"Ace Hotel in New York is a trendy hotel with a hipster vibe, offering clean and modern rooms with unique decor and free Wi-Fi. It is located in midtown Manhattan, near Penn Station and a subway stop, making it convenient for accessing various parts of the city."
usa_new york city_affinia_50,"The Affinia 50 is a centrally located hotel that's close to several subway lines and within walking distance of tourist attractions like Times Square and Central Park. Many rooms are suites with kitchens, and the hotel has a club room with complimentary tea, coffee and wine, creating a community feel among guests."
usa_new york city_affinia_dumont,"The Affinia Dumont is a family-friendly hotel in a central location, with many rooms offering kitchens, comfortable beds, and impressive views. The hotel is within walking distance of many attractions and offers convenient access to subway and bus lines."
usa_new york city_affinia_gardens,"The Affinia Gardens is known for providing a great holiday experience with its spacious rooms, full kitchens, and a convenient location on the Upper East Side near Central Park and various amenities. The hotel is family-friendly, has a helpful staff, and offers unique touches such as a tea bar, pillow menu, and tranquility kits."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is centrally located near Penn Station and Madison Square Garden, with spacious rooms, kitchenettes, and comfortable beds. Some rooms offer views and balconies, but street noise can be an issue, with varied experiences reported."
