Hotel,Summary
usa_new york city_3_west_club,"The 3 West Club offers a central location near Rockefeller Center and St. Patrick's Cathedral, with rooms that include amenities like flat-panel TVs and digital cable. Some rooms have multiple beds and pull-out couches, accommodating groups or families."
usa_new york city_414_hotel,"Hotel 414 is a small hotel in a central location near the theater district and Restaurant Row, with free Wi-Fi, a computer in the lobby, and a continental breakfast. It offers a mix of basic amenities, clean rooms, and a helpful staff, although some rooms may be small and lack storage space."
usa_new york city_60_thompson,"60 Thompson is located in SoHo, near shopping, dining, and subway stations, with rooms that have a loft feel and come equipped with DVD players, CD stereos, and laptop connections. Select rooms were found to be a good size for NYC and the hotel provides free wireless internet."
usa_new york city_6_columbus,"6 Columbus is in a great location across from the Time Warner Center and close to Central Park and the subway. Some rooms have desks but they are small, and there is no business center."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue Hotel is well-located near Grand Central Station and major attractions, with amenities such as free WiFi, newspapers, and evening wine receptions. The hotel offers cozy and modern rooms with comfortable beds, suitable for both work and relaxation."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has free internet, breakfast, and a location convenient to subway and Penn Station; rooms feature work desks, comfortable beds, and unique decor, though some rooms can be small and noisy. It's located near Midtown attractions, but also has a lively lobby scene and bar."
usa_new york city_affinia_50,"The Affinia 50 is described as suitable for families, couples and business travelers, offering larger-than-usual rooms, suites with kitchens, and comfortable beds. It provides amenities such as a fitness center, a business center, and a club room with coffee and tea, all in a central Midtown location close to subway lines."
usa_new york city_affinia_dumont,"The Affinia Dumont is a tall hotel with spacious rooms, full-size kitchens, a large desk, and a gym, all of which cater to both business and leisure travelers. It is located near restaurants and a subway, providing convenient access to various destinations in New York."
usa_new york city_affinia_gardens,"Affinia Gardens offers spacious rooms with full kitchens, making it suitable for extended stays, families, and both business and leisure travelers. The hotel is located on the Upper East Side, near Central Park, museums, and transportation, providing a quiet yet convenient location for exploring the city."
usa_new york city_affinia_manhattan,"The Affinia Manhattan has a business center, a restaurant, and helpful concierge services and is conveniently located across from Penn Station. Select rooms include a kitchenette, and it is also located near major attractions, including Times Square, Macy's, and the Empire State Building."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is centrally located near Grand Central Station and Midtown corporations, with spacious rooms, a rooftop bar, and a restaurant, making it suitable for both business and leisure. Some rooms include kitchenettes, and suites are available with separate living rooms."
usa_new york city_aka_united_nations,"AKA United Nations offers spacious, modern apartments with full kitchens, separate lounge areas, and complimentary broadband internet, and is conveniently located near the UN Headquarters and Grand Central Terminal. The hotel provides services like daily housekeeping, breakfast on weekdays, and access to a 24-hour gym."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a centrally located boutique hotel with small but well-appointed rooms, suitable for business travel that is not a Westin or Hilton in character. It is close to Times Square and caters to older people, with meeting spaces in the lobby and a lively bar."
usa_new york city_americana_inn,"Americana Inn is a budget-friendly hotel in midtown Manhattan, near Times Square, with small but clean rooms and shared bathrooms. Some rooms include a TV, air conditioning, and a sink."
usa_new york city_amsterdam_court_hotel,"Amsterdam Court Hotel is centrally located near Times Square and subway lines, making it convenient for accessing attractions, though rooms are small with limited amenities. Some rooms lack natural light, and the hotel has limited business-related facilities."
usa_new york city_astor_on_the_park,"The Astor on the Park is a basic, clean hotel near Central Park and subway lines, making it convenient for accessing Manhattan. The hotel is often described as small, and having thin walls, and the heating system can be noisy."
usa_new york city_bedford_hotel,"The Hotel Bedford is in an excellent midtown Manhattan location, near Grand Central Station, making it convenient to the subway and many attractions. The hotel offers spacious rooms, some with kitchenettes, and is close to restaurants and delis."
usa_new york city_beekman_tower_hotel,"The Beekman Tower Hotel offers spacious suites with kitchens and is located near the UN, making it suitable for both business and leisure travelers. Some reviewers note the hotel's proximity to public transportation and various attractions."
usa_new york city_belleclaire_hotel,"The Belleclaire Hotel is located on the Upper West Side, close to Central Park and subway lines, and offers a small business center and internet stations. Some reviewers found the hotel suitable for private trips, while others noted it was convenient for seeing colleagues."
usa_new york city_bentley_hotel,"The Bentley Hotel offers spacious, clean rooms with modern decor, comfortable beds, and views of the East River and Queensboro Bridge, making it suitable for both business and leisure travelers; it includes amenities such as a flat-screen TV, in-room safe, and access to a rooftop bar. The hotel is situated in the Upper East Side, a quieter residential area that is within walking distance to shopping, restaurants, and some attractions, with convenient bus and taxi services available."
usa_new york city_best_western_bowery_hanbee_hotel,"The Best Western Bowery Hanbee is praised for its convenient location near Chinatown and Little Italy, with easy access to subway lines for reaching various parts of Manhattan. It offers amenities such as free internet, a business center, and a complimentary breakfast, making it suitable for both business and leisure travelers."
usa_new york city_best_western_convention_center_hotel,"The Best Western Convention Center Hotel is conveniently located near the Javits Convention Center, making it ideal for business travelers. It is also within walking distance of Times Square and other attractions, making it suitable for leisure travelers who don't mind walking."
usa_new york city_best_western_hospitality_house,"Best Western Hospitality House is an apartment-style hotel with spacious rooms including full kitchens, living rooms, and separate bedrooms, suitable for families and groups. The hotel's central Midtown East location provides convenient access to major attractions, subway lines, restaurants, and businesses."
usa_new york city_best_western_seaport_inn_downtown,"The Best Western Seaport Inn is located in downtown Manhattan, near the Financial District and South Street Seaport, with subway and ferry access for sightseeing. It offers free wireless internet, a continental breakfast, and proximity to businesses, restaurants, and tourist attractions."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel is a small, quiet, and clean boutique hotel with large rooms, wireless internet, and flat-screen TVs. It is located in the Lower East Side, near subways and walkable to different areas, with a mix of historic charm and modern amenities."
usa_new york city_broadway_plaza_hotel,"Broadway Plaza Hotel is a basic, clean, and affordable option in Manhattan with large rooms, complimentary breakfast, and helpful staff. It's centrally located near subway lines and within walking distance of major attractions, though the immediate neighborhood is described as a garment district and can be quiet or ""dodgy"" at night."
usa_new york city_buckingham_hotel,"The Buckingham Hotel offers apartment-style rooms with kitchens, making it suitable for longer stays. It features a business center, a second-floor lounge with free Wi-Fi, and is conveniently located near Carnegie Hall and Central Park."
usa_new york city_candlewood_suites_new_york_city_times_square,"Candlewood Suites Times Square is a new hotel with suites that include a full-size refrigerator, microwave, coffee machine, and free wireless internet, and it is located within walking distance of Times Square and Penn Station. The hotel also offers DIY laundry facilities and a gym."
usa_new york city_carlton_arms,"The Carlton Arms is an old, budget-friendly hotel known for its unique, artist-decorated rooms. It is located near subway stops and various restaurants, but lacks amenities like TVs and may have issues with noise and cleanliness."
usa_new york city_carvi_hotel_new_york,"The Carvi Hotel has clean rooms, comfortable beds, individual temperature controls, marble bathrooms, and flat-screen TVs, but limited amenities. The hotel is near subway lines, though a bit of a walk from Broadway theaters, and the lobby bar was under construction at the time of one review."
usa_new york city_casablanca_hotel,"The Casablanca Hotel is near Times Square with free WiFi, a lounge for snacks, and computer/printer access. It is recommended for business or pleasure with clean, functional rooms and a decent cable TV package."
usa_new york city_chambers_hotel,"The Chambers Hotel is a modern, stylish boutique hotel in a central location near Fifth Avenue and Central Park. It offers amenities such as a desk area, DVD player, and high-speed internet, with some rooms featuring a separate tub and living area."
usa_new york city_chelsea_lodge,"Chelsea Lodge is a budget-friendly guesthouse in the Chelsea area of Manhattan, near subway stations and local restaurants, offering clean, small rooms with showers and shared toilets. Some rooms have a desk, and wireless internet is available."
usa_new york city_chelsea_pines_inn,"Chelsea Pines Inn is a moderately priced inn on West 14th Street that includes WiFi and breakfast, and offers a business center with computers and printers. It is near the L train, making transfers uptown at Union Square easy and convenient for business travelers."
usa_new york city_chelsea_savoy_hotel,"The Chelsea Savoy is a no-frills but nice hotel with a friendly staff and small rooms that are well air-conditioned, making it a convenient place to sleep for business trips. It is located a block away from the metro with good restaurants and a movie theatre nearby."
usa_new york city_city_club_hotel,"City Club Hotel is centrally located near Times Square and Grand Central, with amenities like free internet, comfortable beds, and room service from DB Bistro Moderne, but rooms can be small and dark. Some reviewers mention the hotel being suitable for business trips due to its location and amenities, while others appreciate its style and proximity to attractions for leisure."
usa_new york city_clarion_collection_the_solita_soho_hotel,"The Solita Soho is a small, modern hotel with small rooms, flat-screen TVs, and free internet access, located in close proximity to Chinatown, Little Italy, and Soho. It is near subway access and offers a location downtown for business and leisure travelers."
usa_new york city_club_quarters_downtown,"Club Quarters Downtown is situated in the Financial District, near Wall Street and subway lines, and features small but clean rooms with amenities like free Wi-Fi and bottled water. Some reviewers suggest it's better suited for business travelers due to its location and limited weekend activity, while others found it convenient for exploring the city."
usa_new york city_club_quarters_midtown,"Club Quarters Midtown is in an excellent location, near Times Square, Grand Central, and 5th Avenue, with free WIFI and computer/printer access. Rooms are small, but clean and modern, and the hotel caters to business travelers with desks and workspaces in the rooms."
usa_new york city_club_quarters_rockefeller_center,"Club Quarters Rockefeller Center is conveniently located near attractions like Rockefeller Center and Fifth Avenue, with rooms featuring workspaces and internet access. The hotel offers a terrace dining room, fitness room, and efficient service, but rooms can be small and lack certain amenities."
usa_new york city_comfort_inn_chelsea,"The hotel has free wifi, a business center, and is centrally located near public transportation. Some rooms include a desk and there is a minimum charge to use the computer and printer."
usa_new york city_comfort_inn_manhattan,"The Comfort Inn Manhattan is centrally located near the Empire State Building and Macy's, with subway access and a business center, and offers free breakfast. Rooms are generally clean but can be small, with some noise from street traffic."
usa_new york city_comfort_inn_manhattan_bridge,"Comfort Inn Manhattan Bridge is a new and clean hotel in Chinatown that offers free WiFi and computers for guest use. The hotel is close to subway stops and within walking distance of Little Italy, South Street Seaport, and the Financial District."
usa_new york city_comfort_inn_midtown,"The Comfort Inn Midtown is conveniently located near Times Square and offers free wireless internet, a business center, and a fitness center. Rooms include a desk, iron, ironing board, and coffee maker, catering to business travelers while its proximity to attractions suits leisure travelers."
usa_new york city_comfort_inn_midtown_manhattan,"The hotel offers free high-speed Wi-Fi throughout, a computer with internet and printer in the lobby, and is located in the heart of the theater district, right off Times Square. It is close to restaurants, theaters, subways, and transportation hubs like the Port Authority Bus Terminal and Penn Station."
usa_new york city_comfort_inn_midtown_west_convention_center,"The hotel offers free high-speed internet, a continental breakfast, and is located within walking distance of Times Square and Penn Station. Some rooms have a view of the city and the Empire State Building."
usa_new york city_comfort_inn_times_square,"The Comfort Inn Times Square is a budget-friendly hotel close to Times Square, subways, and the Port Authority bus station, with amenities such as free Wi-Fi, a continental breakfast, and a business-friendly environment. Rooms are small but clean, modern, and equipped with flat-screen TVs and comfortable beds."
usa_new york city_cooper_square_hotel,"The Cooper Square Hotel is conveniently located near the subway, Greenwich Village, and SoHo, making it suitable for both business and leisure travelers, with rooms offering city views, free Wi-Fi, and iPod docking stations. Some rooms have desks suitable for business travelers, while access to a fitness center and proximity to restaurants and bars appeal to leisure travelers."
usa_new york city_cosmopolitan_hotel_tribeca,"The Cosmopolitan Hotel is located in Tribeca, a short walk from Wall Street, and offers clean and comfortable rooms at reasonable prices; it is conveniently located near subway lines for easy access to the rest of Manhattan. The hotel is also suitable for low-key leisure travel, with dining options steps away."
usa_new york city_courtyard_by_marriott_new_york_manhattan_times_square_south,"The Courtyard Times Square South is a centrally located hotel with free and reliable internet, a fitness room, a business center, and meeting rooms. It is within walking distance of major Midtown attractions and various subway lines, making it suitable for business and leisure travelers."
usa_new york city_courtyard_by_marriott_new_york_manhattan_upper_east_side,"The Courtyard Upper East Side is a clean, modern hotel with amenities like wired internet, a gym, and a pool; it is located in a quiet, residential area that is a bit of a distance from the subway, but near bus lines. It is convenient to museums and has a mix of business and family clientele."
usa_new york city_courtyard_new_york_manhattan_fifth_avenue,"The Courtyard Marriott on Fifth Avenue is centrally located near major attractions and transportation hubs, making it convenient for both sightseeing and business travel. The hotel offers free internet access, a business center, and a restaurant, while also being within walking distance to dining and shopping options."
usa_new york city_courtyard_new_york_manhattan_midtown_east,"The Courtyard Midtown East is conveniently located near a subway station, making it easily accessible for both business and leisure travelers. It offers spacious and clean rooms, free internet access, and a business center."
usa_new york city_crosby_street_hotel,"The Crosby Street Hotel is located in SoHo, close to subway, bus lines and Broadway. It offers spacious rooms, a restaurant, a bar, a gym, concierge services, and amenities such as in-room breakfast, and well-stocked mini-bar."
usa_new york city_crowne_plaza_times_square_manhattan,"Crowne Plaza Times Square is a large, modern hotel with clean rooms and a buzzy bar, perfect for a location near the center of things; with options for Concierge level rooms including comp breakfast, wireless internet, and an executive lounge on the 46th floor. The hotel also has business amenities such as in-room wireless internet, a business center, and desks."
usa_new york city_da_vinci_hotel,"The Da Vinci Hotel is in an excellent midtown location near Columbus Circle and Central Park, with subway access and walking distance to many attractions. It offers clean, basic rooms with free internet access and a light continental breakfast, catering to budget travelers."
usa_new york city_doubletree_guest_suites_times_square,"The Doubletree Guest Suites Times Square is noted for its spacious suites with separate living areas, kitchenettes, and multiple TVs, catering to both business and leisure travelers. Its location in Times Square provides convenient access to theaters and other attractions."
usa_new york city_doubletree_hotel_chelsea_new_york_city,"The Doubletree Hotel Chelsea is a newer, modern, and clean hotel that is conveniently located near Penn Station, Times Square, and other attractions, with a business center and gym available. Rooms are small, and there may be waits for elevators, but the staff is friendly and helpful."
usa_new york city_doubletree_metropolitan_hotel,"The Doubletree Metropolitan is conveniently located in midtown Manhattan, close to major bank headquarters and the 51st St. subway station, making it suitable for business travel. With comfortable rooms and walking distance to attractions like Central Park and Times Square, it also appeals to leisure travelers."
usa_new york city_dream,"The Dream Hotel is in a perfect location for seeing tourist attractions, but rooms are small. Some reviewers recommend this hotel for business trips because of its close proximity to many locations."
usa_new york city_duane_street_hotel,"The Duane Street Hotel is located in Tribeca, close to subway lines, SoHo, and the Financial District, with rooms featuring modern design, comfortable beds, and amenities like free WiFi and flat-screen TVs. Some reviewers noted the hotel's suitability for business travel and its proximity to various attractions for leisure."
usa_new york city_dylan_hotel,"The Dylan Hotel is conveniently located near Grand Central Station, making it accessible for business meetings and transportation. The rooms are of decent size for New York standards, clean, and some offer amenities like iPod docking stations and comfortable beds."
usa_new york city_eastgate_tower,"Eastgate Tower is a conveniently located hotel near the UN Headquarters and Grand Central Terminal, offering oversized suites with kitchens and helpful staff, suitable for both business and leisure travelers. The hotel provides rudimentary but adequate services, with nearby restaurants and grocery stores, though lacking an on-site restaurant."
usa_new york city_econo_lodge_times_square,"The Econo Lodge Times Square is centrally located near Times Square, Broadway theaters, and subway stations, with free amenities like breakfast and internet access. The rooms are very small, but clean, and the staff is friendly and helpful."
usa_new york city_embassy_suites_hotel_new_york_city,"Embassy Suites offers spacious suites, free breakfast, and a manager's reception, suiting both families and business travelers seeking a comfortable stay. The hotel provides a business center with free internet and is near the World Financial Center, catering to business needs while also being close to attractions like Battery Park."
usa_new york city_empire_hotel,"The Empire Hotel is conveniently located near Lincoln Center and Columbus Circle, with access to subways, and offers free wireless internet, a desk, and a comfortable bed, but some rooms are small. Some business travelers found the rooms lacked functionality and had issues with noise and climate control."
