Hotel,Summary
usa_new york city_3_west_club,"I am sorry, but none of the reviews mention whether this hotel is pet-friendly. The reviews focus on location, value, cleanliness, and basic amenities."
usa_new york city_414_hotel,"I am sorry, but none of the hotel reviews mention whether the hotel is pet-friendly."
usa_new york city_60_thompson,There is no mention of the hotel being pet-friendly in the provided reviews.
usa_new york city_6_columbus,"I am sorry, but none of the reviews mention whether the hotel is pet-friendly."
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,70 Park Avenue is a pet-friendly hotel. Staying at Kimptons is purposesly done because they are pet friendly.
usa_new york city_ace_hotel_nyc,The Ace Hotel staff were very friendly to dogs who were traveling with their owners.
usa_new york city_affinia_50,"I am sorry, but none of the hotel reviews mention if the hotel is pet-friendly."
usa_new york city_affinia_dumont,The Affinia Dumont is a pet-friendly hotel. One reviewer mentioned that they stayed at the hotel with two teenagers and two dogs and that the hotel was welcoming to pets.
usa_new york city_affinia_gardens,"The Affinia Gardens is a pet-friendly hotel that provides a gift bag, bowls, and a door sign for guests traveling with dogs. The hotel is located in the Upper East Side near Central Park."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is pet-friendly and allows Golden Retrievers, with rooms that include comfortable king-sized beds and plenty of space for dogs to walk around. The hotel is also located a 5-minute walk to a dog park."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is a pet-friendly hotel. One review mentions that they stayed with their dog and found the hotel welcoming, with no extra charge or cleaning fee."
usa_new york city_aka_united_nations,"I am sorry, but none of the provided hotel reviews mention whether the hotel is pet-friendly. Therefore, I cannot provide a summary that includes this information."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is pet-friendly and known for its House Cat, Matilda. One reviewer mentioned their cat received more attention than them, and the guest room was prepped with a disposable litter box, food & water bowl, spoon, plastic bags, strainer, and a place mat."
usa_new york city_americana_inn,There is no information about this hotel being pet-friendly in the reviews. The hotel is a budget option with small but clean rooms and shared bathrooms in a central location.
usa_new york city_amsterdam_court_hotel,"I am sorry, but none of the hotel reviews mention if the hotel is pet-friendly."
usa_new york city_astor_on_the_park,"I am sorry, but none of the hotel reviews mention whether the hotel is pet-friendly."
usa_new york city_bedford_hotel,There is no mention of the hotel being pet-friendly in the reviews.
usa_new york city_beekman_tower_hotel,"The Beekman Tower is a pet-friendly hotel, according to one review. The hotel is noted to have spacious suites, some with kitchens."
usa_new york city_belleclaire_hotel,"I'm sorry, but none of the provided hotel reviews mention if the hotel is pet-friendly."
usa_new york city_bentley_hotel,"This hotel is conveniently located near the Animal Medical Center, and parking is available under the hotel with a discount for guests."
usa_new york city_best_western_bowery_hanbee_hotel,There is no mention of pets in the reviews.
usa_new york city_best_western_convention_center_hotel,There is no mention of the hotel being pet-friendly in the reviews.
usa_new york city_best_western_hospitality_house,"One review mentions that the hotel does allow pets, as the guest across from them had dogs and cats in her room. However, it is important to note that no other information regarding pet fees or policies are mentioned."
usa_new york city_best_western_seaport_inn_downtown,"I am sorry, but none of the hotel reviews mention whether the hotel is pet-friendly."
usa_new york city_blue_moon_hotel,"I am sorry, but none of the hotel reviews mention whether the hotel is pet-friendly."
usa_new york city_broadway_plaza_hotel,There is no mention of pets in the reviews.
usa_new york city_buckingham_hotel,The reviews do not mention whether the hotel is pet-friendly.
