Query,City,Relevance Score
Budget friendly cities for travelers,Barcelona,2
Budget friendly cities for travelers,Prague,3
Budget friendly cities for travelers,Milan,1
Budget friendly cities for travelers,Budapest,3
Budget friendly cities for travelers,Athens,3
Budget friendly cities for travelers,Rome,2
Budget friendly cities for travelers,Paris,2
Budget friendly cities for travelers,Bangkok,3
Budget friendly cities for travelers,Lisbon,3
Budget friendly cities for travelers,London,2
Budget friendly cities for travelers,Madrid,2
Budget friendly cities for travelers,Vienna,2
Budget friendly cities for travelers,Mexico City,3
Budget friendly cities for travelers,Amsterdam,2
Budget friendly cities for travelers,Venice,1
Budget friendly cities for travelers,Kos虒ice,3
Budget friendly cities for travelers,Aarhus,3
Budget friendly cities for travelers,Berlin,3
Budget friendly cities for travelers,Nice,2
Budget friendly cities for travelers,Kuala Lumpur,3
Budget friendly cities for travelers,Buenos Aires,2
Budget friendly cities for travelers,Cairo,3
Budget friendly cities for travelers,Ho Chi Minh City,3
Budget friendly cities for travelers,Bucharest,2
Budget friendly cities for travelers,Krako虂w,3
Budget friendly cities for travelers,Lyon,2
Budget friendly cities for travelers,Porto,3
Budget friendly cities for travelers,Guadalajara,2
Budget friendly cities for travelers,Hamburg,2
Budget friendly cities for travelers,Helsinki,2
Budget friendly cities for travelers,Cancu虂n,2
Budget friendly cities for travelers,Monterrey,2
Budget friendly cities for travelers,"Washington, D.C.",2
Budget friendly cities for travelers,Sa虄o Paulo,2
Budget friendly cities for travelers,Santo Domingo,2
Budget friendly cities for travelers,Seville,3
Budget friendly cities for travelers,Shanghai,2
Budget friendly cities for travelers,Dresden,2
Budget friendly cities for travelers,Zurich,1
Budget friendly cities for travelers,Singapore,2
Budget friendly cities for travelers,Oslo,2
Budget friendly cities for travelers,Chiang Mai,3
Budget friendly cities for travelers,Frankfurt,1
Budget friendly cities for travelers,San Francisco,1
Budget friendly cities for travelers,Las Vegas,2
Budget friendly cities for travelers,Munich,1
Budget friendly cities for travelers,Marrakech,3
Budget friendly cities for travelers,Thessaloniki,2
Budget friendly cities for travelers,Sofia,3
Budget friendly cities for travelers,Valencia,3
Budget friendly cities for travelers,Cartagena (Colombia),3
Budget friendly cities for travelers,New York City,1
Budget friendly cities for travelers,Florence,1
Budget friendly cities for travelers,Istanbul,3
Budget friendly cities for travelers,Fortaleza,2
Budget friendly cities for travelers,Karachi,3
Budget friendly cities for travelers,San Juan,2
Budget friendly cities for travelers,Jakarta,2
Budget friendly cities for travelers,Beirut,2
Budget friendly cities for travelers,Chicago,3
Budget friendly cities for travelers,Belgrade,3
Budget friendly cities for travelers,Reykjavi虂k,1
Budget friendly cities for travelers,Bogota虂,3
Budget friendly cities for travelers,Hanoi,3
Budget friendly cities for travelers,Oaxaca (city),3
Budget friendly cities for travelers,Tallinn,2
Budget friendly cities for travelers,Warsaw,3
Budget friendly cities for travelers,Asuncio虂n,2
Budget friendly cities for travelers,Baltimore,2
Budget friendly cities for travelers,Yangon,3
Budget friendly cities for travelers,Bologna,2
Budget friendly cities for travelers,Abu Dhabi,1
Budget friendly cities for travelers,San Salvador,2
Budget friendly cities for travelers,Medelli虂n,3
Budget friendly cities for travelers,Copenhagen,3
Budget friendly cities for travelers,Pisa,2
Budget friendly cities for travelers,Hong Kong,2
Budget friendly cities for travelers,Vientiane,2
Budget friendly cities for travelers,Stockholm,2
Budget friendly cities for travelers,Malta,2
Budget friendly cities for travelers,Tangier,3
Budget friendly cities for travelers,Luxembourg (city),2
Budget friendly cities for travelers,Caracas,1
Budget friendly cities for travelers,Puerto Vallarta,3
Budget friendly cities for travelers,Cuzco,3
Budget friendly cities for travelers,Hurghada,3
Budget friendly cities for travelers,Tokyo,2
Budget friendly cities for travelers,Stuttgart,2
Budget friendly cities for travelers,"Co虂rdoba (city, Argentina)",2
Budget friendly cities for travelers,Me虂rida (Mexico),3
Budget friendly cities for travelers,Lahore,3
Budget friendly cities for travelers,Turku,2
Budget friendly cities for travelers,Quito,3
Budget friendly cities for travelers,Albuquerque,2
Budget friendly cities for travelers,Bangalore,2
Budget friendly cities for travelers,Ljubljana,2
Budget friendly cities for travelers,Graz,2
Budget friendly cities for travelers,Gaspe虂,2
Budget friendly cities for travelers,Dubrovnik,1
Budget friendly cities for travelers,Ias苔i,2
Budget friendly cities for travelers,Zagreb,2
Budget friendly cities for travelers,Rochester (New York),2
Budget friendly cities for travelers,George Town (Malaysia),3
Budget friendly cities for travelers,Salvador,2
Budget friendly cities for travelers,Phnom Penh,3
Budget friendly cities for travelers,Santiago,2
Budget friendly cities for travelers,Naples,3
Budget friendly cities for travelers,Havana,2
Budget friendly cities for travelers,Sydney,2
Budget friendly cities for travelers,Rio de Janeiro,2
Budget friendly cities for travelers,Yerevan,2
Budget friendly cities for travelers,Los Angeles,2
Budget friendly cities for travelers,Salzburg,2
Budget friendly cities for travelers,Siem Reap,3
Budget friendly cities for travelers,Tashkent,2
Budget friendly cities for travelers,Troms酶,1
Budget friendly cities for travelers,Tunis,2
Budget friendly cities for travelers,Tehran,2
Budget friendly cities for travelers,Poznan虂,2
Budget friendly cities for travelers,Yaounde虂,2
Budget friendly cities for travelers,Seattle,2
Budget friendly cities for travelers,Puebla,2
Budget friendly cities for travelers,Da Nang,3
Budget friendly cities for travelers,Marseille,2
Budget friendly cities for travelers,Montevideo,2
Budget friendly cities for travelers,Tirana,3
Budget friendly cities for travelers,Alexandria,2
Budget friendly cities for travelers,Genoa,2
Budget friendly cities for travelers,Dhaka,2
Budget friendly cities for travelers,Dublin,2
Budget friendly cities for travelers,Kolkata,3
