Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern and stylish hotel with a lobby featuring contemporary decor. The rooms are clean and tidy, with stylish designs."
china_beijing_ascott_beijing,"The Ascott Beijing offers spacious, well-furnished apartments with amenities like fully equipped kitchens and laundry facilities. The hotel also has a gym, pool, and on-site restaurants such as Italian, Starbucks and Subway."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style hotel with pretty and comfortable rooms and modern western-style bathrooms. The hotel is located in a hutong, with a courtyard."
china_beijing_bamboo_garden_hotel,The Bamboo Garden Hotel is a small hotel in a historic building with classical Chinese carved wood furniture and decor. It is set around a tranquil courtyard with red-lanterned walkways and mini ponds.
china_beijing_beijing_century_towers,"The Century Towers Beijing hotel offers apartment-style rooms with kitchens, dining areas, and washer/dryers. The rooms are described as spartan and lacking color."
china_beijing_beijing_dong_fang_hotel,"The hotel has a coffee shop with lots of character in an older part of the building, and a lobby with a nice bar. Rooms were recently refurbished and are modern."
china_beijing_beijing_far_east_international_youth_hostel,"The hostel has a traditional courtyard, communist decor, and a basement bar with a big screen TV. The hotel part of the property was described as a ""non-event""."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex comprised of multiple buildings set in a garden-like area, with some buildings more recently renovated and luxurious than others, featuring amenities like marble walls and floors. It has restaurants, shops, and a sports center, with a mix of traditional Beijing-style buildings and modern interiors."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel features modern, hi-tech decor and was recently remodeled. The lobby has a 5-star feel."
china_beijing_beijing_hotel,"The Beijing Hotel consists of three distinct buildings with Building A being the newest, Building B being the oldest (built more than 100 years ago), and Building C being from pre-Mao times with tacky decor of old communist China where the state tried to show opulence in red drapings, golden stairways and red carpets. The rooms in the older building have all been updated, and with 10-foot ceilings and marble bathrooms."
china_beijing_beijing_international_hotel,The hotel has a spacious foyer and rooms are tastefully furnished with marble bathrooms. There is a bar on the second floor and a revolving restaurant on the 28th floor.
china_beijing_beijing_jade_international_youth_hostel,"The hotel is decorated in a traditional style, and the reading room and breakfast area are nicely decorated. It features emperor/empress suits in the information room for photo opportunities."
china_beijing_beijing_sihe_courtyard_hotel,"The Sihe Hotel is a small, well-run hotel with a lot of atmosphere, located in a traditional courtyard home (Sihe) situated in a hutong (lane). The hotel features traditional Chinese furniture and a courtyard garden."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Hotel CBD Beijing is a modern, luxurious hotel with a stylish atmosphere, marble columns, glass adornments in the lobby, and a modern color scheme in the rooms. Rooms feature flat screen TVs, soft sheets, and impressive bathrooms, some with a TV."
china_beijing_capital_hotel_beijing,"The Capital Hotel has a large, elegant lobby with statuettes and a live fish tank, and some reviewers describe it as luxurious and modern with spacious rooms, while others describe the decor as outdated. There is a basement-level indoor pool, bowling alley, and several restaurants, including an Italian restaurant on the 20th floor."
china_beijing_china_world_hotel,The China World Hotel has a grand and spacious lobby with live music and opulent public areas. The rooms are well-decorated with wood trim and artwork.
china_beijing_city_hotel_beijing,"The City Hotel is located near bars and restaurants, about 0.5km from the subway, and offers clean rooms. Some rooms are apartments with multiple single beds, but some guests have reported issues with hard beds, lack of utensils, and the condition of the rooms."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is an architecturally interesting hotel with villas designed by leading Asian architects, offering a unique experience near a private section of the Great Wall. The hotel features modern design, a central clubhouse, and various facilities spread across a valley, accessible via shuttle service."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel with traditionally-designed furnishings, boldly-colored fabrics, and a romantic atmosphere created by lanterns. It is located in a hutong area with trendy bars and shops."
china_beijing_courtyard_by_marriott,"This hotel is connected to the New World Shopping Center, which includes a variety of shops and services. Some reviewers note that the lobby/reception area could use a revamp."
china_beijing_courtyard_by_marriott_beijing_northeast,"The hotel is elegant, modern, and eloquently designed with immaculate, spacious rooms. Rooms are finished in ultra-modern style, with large flat-screen TVs."
china_beijing_crowne_plaza_hotel_beijing,"The hotel has a luxurious ambiance, a nice lobby and a stunning atrium with friendly drink service and a pianist in the evening. Rooms are well-decorated with a modern design and color match from ceiling to carpet."
china_beijing_crowne_plaza_hotel_zhongguancun,"The hotel has a stylish atmosphere with quality materials and abundant breakfast buffet. The hotel also has a pool, spa, and variety of restaurants."
china_beijing_crowne_plaza_international_airport_hotel_beijing,"The hotel has a very smart entrance and an open lobby with a glass ceiling. Rooms are modern, spacious, and well-equipped."
china_beijing_crowne_plaza_park_view_wuzhou,"The hotel is described as clean and nicely done, with spacious and nicely decorated rooms. The lobby and lobby bar are superb."
china_beijing_crowne_plaza_sun_palace_beijing,"The hotel is described as new, fresh, and luxurious with a trendy design. Rooms are spacious with bathrooms featuring natural stone, glass, and a cool window above the tub."
china_beijing_days_inn_forbidden_city_beijing,"The Days Inn Forbidden City is described as modern, stylish, and boutique-like, with contemporary rooms that feature flat-screen TVs. Some rooms offer nice views of the hutongs."
china_beijing_days_inn_joiest_beijing,"The hotel is modern with clean rooms, flat-screen TVs, and massage showers, but some found the lobby to resemble a hospital. The hotel was new around 2006-2008."
china_beijing_double_happiness_courtyard_hotel,"The Double Happiness Courtyard Hotel is a charming, traditional Chinese courtyard hotel with carved wooden furniture and silk bedspreads. The rooms are decorated with traditional Chinese furniture and are arranged around inner courtyards."
china_beijing_doubletree_by_hilton_beijing,"The Doubletree Hilton Beijing is a new, modern hotel with stylish and comfortable rooms. It features a cozy bar, a 3rd-floor outdoor roof garden, a swimming pool, and a health spa."
china_beijing_empark_grand_hotel,"The Empark Grand Hotel is described as elegant, impressive, and well-decorated. It has a Vegas-like mall in the basement with restaurants, boutiques, and spas."
china_beijing_fujian_hotel,"The Fujian Hotel has an attractive lobby and has been described as a new hotel with a mix of Chinese and Western guests, with ongoing sprucing up in April. Rooms are a good size, similar to what you'd find in the US."
china_beijing_gloria_plaza_hotel_beijing,"The hotel has a grand and spacious entrance with a nice lounge area and a lobby that looks nice. Rooms were recently refurbished, with deep pile carpets and new furniture."
china_beijing_grand_hotel_beijing,"The Grand Hotel Beijing is described as having a traditional style with luxurious touches, featuring spacious rooms furnished with Chinese porcelain and rosewood furniture. It has a three-story atrium with exotic wildlife and live music, with carved art in the lobby and chairs resembling Ming Dynasty stools."
china_beijing_grand_hyatt_beijing,"The Grand Hyatt Beijing is a stylish hotel with a luxurious lobby, modern rooms, and an impressive indoor pool decorated with a tropical theme. The hotel has multiple restaurants including the Red Moon bar with live music and is connected to the Oriental Plaza mall with upscale shopping."
china_beijing_grand_mercure_hotel_xidan,"Grand Mercure Hotel Xidan Beijing has an elegant lobby with fine pottery and glasswork, as well as a big aquarium and a big lounge with bar. The hotel's decoration is extravagant and comfortable."
china_beijing_grand_millennium_beijing,"The Grand Millennium Hotel features a modern and classy lobby, spacious and well-decorated rooms, and a bar with a jazz band. Its design is modern and new, with flat-screen TVs and large bathrooms."
china_beijing_grand_view_garden_hotel,"The hotel has a Chinese architectural style, a lobby with a marble staircase and piano, and a garden at the rear. The hotel also has a bar, bowling alley, disco, and snooker table."
