Hotel,Summary
china_beijing_aloft_beijing_haidian,"Aloft Beijing Haidian is a modern and stylish Starwood property with a unique, trendy decor, including a lobby with modern design. It offers amenities like tea/coffee facilities, Bliss toiletries, a small pool, a gym, and communal computers with a pool table."
china_beijing_ascott_beijing,"Ascott Beijing offers spacious apartments with fully equipped kitchens and laundry facilities, suitable for families or larger groups, and is located in the CBD near the Guo Mao subway station. It features amenities like a pool, gym, and on-site restaurants, including Italian cuisine, with services such as in-room massages available."
china_beijing_autumn_garden_courtyard_hotel,"The Autumn Garden Hotel is a traditional-style hotel located in a hutong near Tiananmen Square, offering a unique experience of ""real"" Beijing, with trishaw service to the main road. Guests are provided with a mobile phone for use during their stay."
china_beijing_bamboo_garden_hotel,"The Bamboo Garden Hotel is a small, quiet hotel with a traditional Chinese design, located in the hutongs, featuring gardens, courtyards, and amenities like in-room computers with internet. It is situated near the Drum Tower, Houhai Lake, and a subway stop, though some taxi drivers may have difficulty locating it."
china_beijing_beijing_century_towers,"The Century Towers Beijing offers apartment-style rooms, including a three-bedroom option with a full kitchen, dining room, washer/dryer, and multiple bathrooms. The hotel also features a workout room and is located across the street from a large supermarket."
china_beijing_beijing_dong_fang_hotel,"The Dong Fang Hotel has a coffee shop in an older part of the building with lots of character, and one reviewer mentioned the daytime assistant manager looking like Jet Li. One reviewer also noted the existence of a brothel across the street."
china_beijing_beijing_far_east_international_youth_hostel,"Far East International Youth Hostel is located in a hutong, offering a glimpse into traditional Beijing life with affordable prices. It features a communal courtyard, a cafe, and is within walking distance of Tiananmen Square and the Forbidden City."
china_beijing_beijing_friendship_hotel_grand_building,"The Friendship Hotel is a large complex with multiple buildings in a garden setting, featuring amenities like a TGI Friday's, a supermarket, and underground walkways connecting the buildings. It's located near universities and has a history dating back to the 1950s."
china_beijing_beijing_guangming_hotel,"The Guangming Hotel is a recently remodeled hotel near the US and Japanese embassies, offering modern, hi-tech rooms with international TV channels. It provides good value, comparable to more expensive hotels like the Intercontinental, but with a less impressive breakfast."
china_beijing_beijing_hotel,"The Beijing Hotel is a historic hotel in central Beijing, with some rooms offering views of the Forbidden City. Buildings vary in age and style, with some reviewers noting outdated decor and maintenance issues in certain areas."
china_beijing_beijing_international_hotel,"Beijing International Hotel is a large hotel centrally located near the train station and within walking distance of shopping areas and some historic sites; the hotel has a revolving restaurant on the 28th floor and provides a currency exchange service. Some rooms have views of the city and amenities include a gym and spa, but some reviewers have noted cleanliness issues and that the facilities are old."
china_beijing_beijing_jade_international_youth_hostel,"Jade Youth Hostel is praised for its excellent location near the Forbidden City and other major sights, with clean rooms, friendly staff, and amenities comparable to a 3-star hotel at a budget price. The hostel offers both dorm rooms and private ensuite rooms, along with free Wi-Fi in the lobby, a tourist office, and services like tour bookings and airport taxis."
china_beijing_beijing_sihe_courtyard_hotel,"The Sihe Hotel is a small, clean, courtyard-style hotel located in a traditional Beijing hutong, furnished with Chinese-style furniture, and offers a quiet environment with friendly staff. It is within walking distance to the subway and some tourist attractions, though taxis may have difficulty finding it."
china_beijing_bohao_radegast_hotel_beijing,"The Radegast Beijing is a modern, luxurious hotel with spacious, well-appointed rooms featuring amenities like flat-screen TVs built into the wall and bathrooms with TVs. The hotel also has a spa with a swimming pool, multiple restaurants, and is located in Beijing's Central Business District near the new CCTV building."
china_beijing_capital_hotel_beijing,"The Capital Hotel is noted for its location near Tiananmen Square and the Forbidden City, and contains amenities such as a bowling alley and pool. Some guests mention the beds are very firm, and some rooms may have dated decor."
china_beijing_china_world_hotel,"China World Hotel is known for its grand lobby, extensive breakfast buffet, and a shopping mall with designer stores. It also features a gym, pool, and is connected to the subway."
china_beijing_city_hotel_beijing,"City Hotel is located close to bars and the subway, and offers clean rooms; however, some reviewers mention issues such as hard beds, lack of utensils, shabby conditions, non-functional locks, cigarette smoke, and unwelcome interactions with strangers."
china_beijing_commune_by_the_great_wall_kempinski,"The Commune by the Great Wall is a collection of architect-designed villas with private access to an unrestored section of the Great Wall. The hotel is located in a secluded valley and offers a unique experience with multiple restaurants, a spa, and a kids club."
china_beijing_courtyard_7,"Courtyard 7 is a renovated courtyard hotel in the old part of Beijing, located in the hutongs near the Bell and Drum Towers and off Nanluoguxiang street. It features traditionally designed rooms, some with private courtyards, and is within walking distance of several attractions."
china_beijing_courtyard_by_marriott,"The Courtyard by Marriott Beijing is connected to the New World Shopping Center, offering access to a supermarket, food court, and various shops, and is conveniently located near the subway, making it easy to reach major tourist sites. While some rooms have been renovated, others are described as older, and the hotel has received mixed reviews regarding service and maintenance."
