,eqr,q2e,q2d
Which hotels offer the best opportunities for socializing?,0.6976190476190477,0.7416666666666667,0.6059523809523809
Recommend a hotel with the best poolside service.,0.6833333333333332,0.5083333333333333,0.5916666666666667
Suggest a hotel with the best spa services.,0.47291666666666665,0.4979166666666667,0.4666666666666667
Where can I stay that fits well with a photography-heavy trip?,0.35,0.55,0.5
Where can I stay with beautiful waterfront views?,0.3102061337355455,0.5602061337355455,0.5217445952740071
What are the best hotels for wellness and relaxation?,0.564484126984127,0.425595238095238,0.3630952380952381
Where can I find hotels that combine adventure and relaxation?,0.41666666666666663,0.5,0.41666666666666663
Looking for a hotel with creative spaces and an artsy vibe.,0.47271825396825395,0.5491071428571428,0.2867063492063492
Suggest a hotel that complements a journaling or reflection-focused trip.,0.5589285714285714,0.39464285714285713,0.3357142857142857
Recommend a hotel with a lively atmosphere.,0.42337662337662335,0.5233766233766233,0.3386363636363636
What are the best hotels for exploring hidden gems in a city?,0.5214285714285715,0.5214285714285715,0.19017857142857142
Where can I stay for the best sunrise or sunset views?,0.3472222222222222,0.41666666666666663,0.41666666666666663
Where can I stay that feels youthful and energetic?,0.41238738738738734,0.37905405405405407,0.3806306306306307
Where should I stay during a creative block?,0.37916666666666665,0.3625,0.425
What are the top hotels for a scenic retreat?,0.3305555555555556,0.3958333333333333,0.4083333333333333
Where can I find hotels with great rooftop bars?,0.36296583850931674,0.3738354037267081,0.3330745341614907
Recommend a hotel that keeps surprising me every day.,0.47596153846153844,0.3737980769230769,0.2139423076923077
What are some hotels that are great for slow mornings?,0.4375,0.5,0.125
Suggest a hotel that's perfect for art lovers.,0.26964285714285713,0.39464285714285713,0.3232142857142857
Recommend a pet-friendly hotel.,0.2594244835624146,0.4428703480427618,0.24077646491439597
Recommend a place where I won't feel like a tourist.,0.1353864734299517,0.38007246376811593,0.40772946859903386
Where can I stay that works well with young kids and no fuss?,0.27465312465312464,0.3599400599400599,0.2628538128538129
What are the top boutique hotels?,0.31625908204855574,0.29011164274322165,0.2899432925748715
I want a hotel that makes me feel like I’m in a movie.,0.24354967948717948,0.39034455128205126,0.23778044871794873
Suggest a hotel that works well for working remotely.,0.21825396825396826,0.251984126984127,0.39880952380952384
Where can I stay that fits a minimalist travel style?,0.3095238095238095,0.23809523809523808,0.27976190476190477
Recommend a hotel that works well for group celebrations.,0.2,0.37619047619047613,0.2357142857142857
Suggest a hotel where I can just go with the flow.,0.21985479797979798,0.30839646464646464,0.27809343434343436
Where can I stay that works for multiple generations?,0.2194218158532532,0.3485660903468456,0.23794875535993643
Where should I stay for easy airport access?,0.33458333333333334,0.27083333333333337,0.18125
Where can I stay if I'm traveling with elderly parents?,0.2583333333333333,0.2375,0.2833333333333333
Where can I stay to fully experience the nightlife of a city?,0.2451587301587302,0.2684920634920635,0.2596230158730159
"Recommend a hotel with a nostalgic, vintage vibe.",0.2663690476190476,0.271577380952381,0.21428571428571427
Recommend a hotel with great family-friendly amenities.,0.28800858639568316,0.2841945987107277,0.17745710084419763
Suggest a hotel with a magical ambiance.,0.21875,0.34375,0.18229166666666666
Suggest a hotel with excellent fine dining.,0.22853535353535354,0.22853535353535354,0.2380050505050505
Where can I stay near the best art museums?,0.21782302664655606,0.2815485168426345,0.1932503770739065
Where can I find hotels with a unique architectural design?,0.20340909090909093,0.33011363636363633,0.14943181818181817
Where should I stay that matches a high-energy trip?,0.15728715728715728,0.2186147186147186,0.292929292929293
Recommend a hotel that works well for traveling with teenagers.,0.23936559364548496,0.1824484392419175,0.24434747770345597
Where can I stay to get the best of both city and nature?,0.36684782608695654,0.25271739130434784,0.043478260869565216
Recommend a place for a solo birthday trip.,0.23464646464646463,0.18919191919191916,0.22212121212121214
Recommend a hotel that matches a slower travel rhythm.,0.2232142857142857,0.24107142857142858,0.16369047619047616
Where can I stay to avoid the tourist rush without going remote?,0.0837991718426501,0.3790372670807453,0.1455486542443064
Recommend a hotel that feels intimate and private.,0.2220294904812402,0.22263040953390897,0.13021764379134473
Recommend a hotel for travellers who just want to people-watch.,0.1515625,0.1734375,0.209375
Where can I find a hotel that balances luxury and affordability?,0.1827236177565125,0.16463151249335461,0.1827236177565125
What hotels are affordable but don't feel basic?,0.1763144528513381,0.18436580496006724,0.12964130587081407
What are some of the best hotels for gourmet lovers?,0.10416666666666666,0.10416666666666666,0.10416666666666666
Suggest a hotel that doesn't feel too polished.,0.2515224358974359,0.025240384615384616,0.025240384615384616
AVERAGE,0.31075714921504644,0.344185468253866,0.27769418007355584
