Hotel,Summary
usa_new york city_3_west_club,The 3 West Club is located across the street from Rockefeller Center and offers views of St. Patrick's Cathedral and Radio City Music Hall. It is the Republican National Women's Club.
usa_new york city_414_hotel,"The 414 Hotel is a small, intimate haven near Restaurant Row and Times Square, housed in two New York townhouses with a charming leafy patio and mosaic tables, with breakfast served at a long communal table. It aims to provide a ""home away from home"" experience with a friendly vibe and European hotel feel, offering a quieter stay compared to larger hotels in the area."
usa_new york city_60_thompson,"60 Thompson is located in the heart of Soho near shops, restaurants, and subway stations, making it easy to explore downtown Manhattan. The hotel features a rooftop bar with city views, a lobby bar, and a restaurant."
usa_new york city_6_columbus,The hotel's location is near Central Park and within walking distance of many attractions. There is a subway stop across the street.
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,"70 Park Avenue is a small boutique hotel with a good location near Grand Central Terminal and subway stations, making it easy to get around the city and experience local sights, shops, and restaurants. The hotel offers friendly staff, a nightly wine reception, and comfortable rooms that are relatively quiet, offering a peaceful retreat from the bustling city."
usa_new york city_ace_hotel_nyc,"The Ace Hotel has a unique, urban, and hip decor with reclaimed furniture and accessories, aiming for a ""New York frame of mind"" through its industrial aesthetic, lobby library, and incorporation of vintage items. The hotel is located in midtown Manhattan, near Penn Station, with subway access to various city attractions and neighborhoods."
usa_new york city_affinia_50,"The Affinia 50 is a centrally-located hotel with spacious rooms, some including kitchens and balconies, allowing guests to feel more at home. It is within walking distance of many attractions, and is located near subway stations."
usa_new york city_affinia_dumont,"The Affinia Dumont in Murray Hill offers spacious rooms with kitchenettes and is within walking distance to major attractions and a subway stop, making it easy to explore Manhattan. The hotel is located in a safe neighborhood with local bars, restaurants and markets nearby, providing an authentic experience."
usa_new york city_affinia_gardens,"The Affinia Gardens, located on the Upper East Side, offers spacious rooms with fully-equipped kitchens, providing a residential feel and a tranquil escape from the city's hustle. Its location allows for easy access to Central Park, museums, and a variety of neighborhood restaurants and shops."
usa_new york city_affinia_manhattan,"The Affinia Manhattan is in an ideal central location, near Penn Station, with rooms that offer unique views of the Empire State Building and Madison Square Garden. Some rooms include kitchenettes that can be helpful for a more immersive stay, and the hotel is near plenty of subway stations for ease of destination travel."
usa_new york city_affinia_shelburne,"The Affinia Shelburne is centrally located in midtown, with easy walking distance to Grand Central Station, Times Square, and the Empire State Building, making it easy to travel throughout the city via walking, subway, bus, and ferries; the neighborhood is quiet, safe, and has a residential feel with nearby restaurants, delis, and markets. Rooms include kitchenettes, and upgraded rooms with queen beds, a balcony, and views of the Empire State Building or Chrysler Building are available."
usa_new york city_aka_united_nations,"AKA United Nations offers spacious, modern apartments with full kitchens, separate lounge areas, and balconies, conveniently located near the UN Headquarters and within walking distance of Grand Central Terminus. The hotel provides complimentary breakfast on weekdays and is close to local shops, restaurants, and pubs."
usa_new york city_algonquin_hotel,"The Algonquin Hotel is a historic and charming hotel with a literary past, offering a unique New York experience in a central location, close to Times Square and Broadway. Reviews highlight its unique atmosphere, vintage decor, and connection to famous writers, but also mention small rooms."
usa_new york city_americana_inn,"The Americana Inn is centrally located in Midtown Manhattan, within walking distance to many attractions and subway lines. It is a budget-friendly option with small, clean rooms and shared bathrooms."
usa_new york city_amsterdam_court_hotel,"The Amsterdam Court Hotel is centrally located near Times Square and Broadway, providing easy access to tourist attractions and subway lines. The rooms are small, and some have views of brick walls, but the hotel offers free coffee and is near many restaurants and bars."
usa_new york city_astor_on_the_park,"Astor on the Park is located on Central Park West, near the north end of Central Park, with subway access a few blocks away. Some rooms have views of Central Park and the Manhattan skyline, while others face interior courtyards or brick walls."
usa_new york city_bedford_hotel,"The Bedford Hotel is in midtown Manhattan, near Grand Central Station, the Chrysler Building, and other attractions, making it easy to get around the city. Some rooms have views of the Empire State Building, kitchenettes, and amenities like coffee makers."
usa_new york city_beekman_tower_hotel,"The Beekman Tower is an apartment-style hotel with spacious suites, some with kitchens and great views, located in a quiet, residential part of Midtown Manhattan, near the UN. It's a bit of a walk to the subway, but close to bus lines and offers a respite from the hustle and bustle of the city."
usa_new york city_belleclaire_hotel,"The Belleclaire Hotel, located on the Upper West Side near Central Park and the subway, allows guests to experience New York City like a local with its residential neighborhood and proximity to residential amenities. The hotel provides easy access to cultural institutions, diverse dining options, and a mix of residential and tourist activities, but some rooms have views of brick walls or scaffolding."
usa_new york city_bentley_hotel,"The Bentley Hotel is located on the Upper East Side in a residential neighborhood and near the East River, offering views of the skyline and Queensboro Bridge from rooms and the rooftop bar; it is a 10-15 minute walk to the subway but close to a bus stop. Some reviewers found it a good location for walking and experiencing the city while others found it too far from tourist sites."
usa_new york city_best_western_bowery_hanbee_hotel,"The hotel is located in the heart of Chinatown and a short walk from Little Italy, with subway stations nearby providing convenient access to other parts of Manhattan. The area around the hotel is described as vibrant, interesting, and safe, though some reviewers note it can be noisy."
usa_new york city_best_western_convention_center_hotel,"Located in an industrial area near taxi repair shops and horse stables, this hotel is a 10-15 minute walk to Times Square and offers basic, clean rooms. Some reviewers noted noise from trains, construction, and the auto shop across the street."
usa_new york city_best_western_hospitality_house,"The Best Western Hospitality House offers spacious apartment-style rooms with full kitchens, allowing guests to feel like residents of New York City. Its central Midtown East location provides easy access to attractions like Times Square, Central Park, and various shops and restaurants."
usa_new york city_best_western_seaport_inn_downtown,"The Best Western Seaport Inn is located in the South Street Seaport area of Lower Manhattan, near the Brooklyn Bridge, Financial District, and various restaurants and shops. The hotel's location provides access to the waterfront, cobblestone streets, and a less bustling feel compared to midtown, with some rooms offering views of the Brooklyn Bridge and the harbor."
usa_new york city_blue_moon_hotel,"The Blue Moon Hotel is a renovated tenement building in the Lower East Side with turn-of-the-century decor and historical artifacts, offering a unique New York experience. Its location provides an authentic neighborhood feel, with easy access to Little Italy, Chinatown, and other downtown areas."
usa_new york city_broadway_plaza_hotel,"The Broadway Plaza Hotel is centrally located with easy access to the subway, allowing for convenient exploration of New York City. Rooms offer views of the Empire State Building, with proximity to Times Square, Macy's, and Madison Square Garden."
usa_new york city_buckingham_hotel,"The Buckingham Hotel offers apartment-style rooms with kitchens, providing a home-like experience with spacious accommodations. Its location near Central Park, Carnegie Hall, and various transportation options allows for easy exploration of New York City."
usa_new york city_candlewood_suites_new_york_city_times_square,"The hotel is located a 5-10 minute walk from Times Square, near the Port Authority Bus Terminal and Penn Station. It is surrounded by restaurants and is close to Hell's Kitchen and Restaurant Row."
usa_new york city_carlton_arms,"The Carlton Arms is an artsy, budget-friendly hotel where each room is uniquely designed and painted by different New York artists, offering a one-of-a-kind, immersive experience. Its location provides easy access to various ethnic restaurants, bars, and cultural attractions, allowing guests to experience the city's vibrant neighborhood feel."
usa_new york city_carvi_hotel_new_york,"The Carvi Hotel is a small, recently renovated boutique hotel with clean rooms, marble bathrooms, and flat-screen TVs, located on E 55th street near subway lines. Some rooms at the back of the hotel face another building and may experience noise from building air conditioning."
usa_new york city_casablanca_hotel,"The Casablanca Hotel is located just steps from Times Square and is central to many attractions, which are within walking distance. It has a Moroccan theme, with Rick's Cafe offering a relaxing atmosphere, free drinks, and a happy hour with cheese and wine."
usa_new york city_chambers_hotel,"The Chambers Hotel is a stylish, modern boutique hotel located just off Fifth Avenue, near Central Park, shopping, dining, and entertainment. The hotel features unique, art-filled rooms, some with city views, and offers amenities like drawing paper and pencils, and fresh air via opening French windows."
usa_new york city_chelsea_lodge,"Chelsea Lodge is a charming, clean guesthouse in the Chelsea neighborhood, allowing you to feel like a local with its brownstone building and proximity to local shops and restaurants. The hotel's location provides a safe and convenient base to explore New York City."
usa_new york city_chelsea_pines_inn,"Chelsea Pines Inn is a movie-themed small hotel located in the Chelsea/Meatpacking district, near subway lines, restaurants, shops, and tourist destinations. The rooms are decorated with movie posters and photos of silver screen movie stars, offering a unique and immersive experience."
usa_new york city_chelsea_savoy_hotel,"The Chelsea Savoy is in a great location near subway lines and within walking distance of many attractions, restaurants, and shops in Chelsea. The hotel offers a clean and basic experience, providing a convenient base for exploring New York City."
usa_new york city_city_club_hotel,"The City Club Hotel is centrally located near Times Square, shopping, and theaters. Some rooms have a balcony with a view of the city and a TV hidden behind a mirror."
usa_new york city_clarion_collection_the_solita_soho_hotel,"The Solita Soho Hotel is located at the intersection of Chinatown, Little Italy, and Soho, making it convenient for exploring those neighborhoods. It's also within walking distance of the East Village, Greenwich Village, and the Lower East Side."
usa_new york city_club_quarters_downtown,"Club Quarters Downtown is located in the Financial District, close to Wall Street and several subway lines, making it easy to get around Manhattan. It is also within walking distance of South Street Seaport, the Brooklyn Bridge, and the WTC site."
usa_new york city_club_quarters_midtown,"Club Quarters Midtown is centrally located near Times Square, Broadway theaters, and 5th Avenue shopping, making it easy to explore midtown Manhattan. The hotel is also close to subway stations, providing access to other parts of the city."
usa_new york city_club_quarters_rockefeller_center,"Club Quarters Rockefeller Center is in a fantastic location, within walking distance of many NYC attractions, including Rockefeller Center, Radio City Music Hall, 5th Avenue, and Central Park. Some rooms offer views of the Rockefeller Skating Rink, St. Patrick's Cathedral, or Radio City Music Hall."
usa_new york city_comfort_inn_chelsea,"The Comfort Inn Chelsea is centrally located near the Flatiron Building, Madison Square Park, and multiple subway lines, making it easy to explore various parts of Manhattan. The hotel is within walking distance of many attractions, shops, and restaurants, and some rooms offer views of the Empire State Building."
usa_new york city_comfort_inn_manhattan,"The Comfort Inn Manhattan is in an excellent location close to the Empire State Building, Macy's, and Times Square, allowing easy exploration of the city. It is a base for sightseeing, with easy access to transportation and nearby attractions."
usa_new york city_comfort_inn_manhattan_bridge,"The hotel is located on the edge of Chinatown, near Little Italy, and is within walking distance of several subway stops. The area is described as busy, hectic, sometimes smelly, and packed with cheap restaurants, but also safe and an excellent starting point to explore Manhattan."
usa_new york city_comfort_inn_midtown,"The Comfort Inn Midtown is steps from Times Square with easy access to subway lines and Broadway shows. Some rooms have iPod docking stations, large TVs, and views of the church next door."
usa_new york city_comfort_inn_midtown_manhattan,"The Comfort Inn is in the heart of the Theater District near Times Square and Restaurant Row, with subway and bus stops within a block. The hotel is new and has a free continental breakfast, free Wi-Fi, and a computer with internet and printer."
usa_new york city_comfort_inn_midtown_west_convention_center,"The hotel is located within walking distance of many attractions like Times Square and the Empire State Building. The hotel is near public transportation and offers free breakfast, coffee, and internet."
usa_new york city_comfort_inn_times_square,"The hotel is located near Times Square, Broadway, and the subway, making it convenient for exploring New York City. Some rooms have views of the New York Times building and the hotel is close to the Port Authority Bus Terminal."
usa_new york city_cooper_square_hotel,"The Cooper Square Hotel is located downtown, close to the East Village, Greenwich Village, and Soho, with subway access and within walking distance to shops and restaurants. The hotel offers rooms with floor-to-ceiling windows offering city views."
usa_new york city_cosmopolitan_hotel_tribeca,"The Cosmopolitan Hotel is located in the heart of Tribeca, near many subway lines, Wall Street, SoHo, Chinatown, the Brooklyn Bridge, and some attractions within walking distance. The hotel provides a neighborhood feel, and several cafes and restaurants are nearby, including a riverfront park."
usa_new york city_courtyard_by_marriott_new_york_manhattan_times_square_south,"The Courtyard Times Square South is centrally located near Times Square, Bryant Park, and subway stations, making it easy to explore Manhattan. Some rooms offer views of the Empire State Building."
usa_new york city_courtyard_by_marriott_new_york_manhattan_upper_east_side,"The Courtyard Upper East Side is located in a quiet, residential neighborhood with good access to bus service and is about a 15-minute walk to the subway. It's near museums on the Upper East Side and some rooms have views of the East River."
usa_new york city_courtyard_new_york_manhattan_fifth_avenue,"The Courtyard Marriott on Fifth Avenue is centrally located near major attractions like Times Square, the Empire State Building, and Grand Central Station, with many landmarks within walking distance. It is also close to subway stations, providing easy access to other parts of Manhattan."
usa_new york city_courtyard_new_york_manhattan_midtown_east,"The Courtyard Midtown East is located in a convenient Midtown location, steps from the subway, with many attractions within walking distance. The rooms are spacious and well-equipped, with comfortable beds and quiet, clean environments, some offering great city views."
usa_new york city_crosby_street_hotel,"The Crosby Street Hotel is located in the heart of SoHo, steps from the subway, buses, and Broadway. The hotel's decor resembles a museum, and it features individually designed rooms with tall warehouse-style windows and oak-tree floors."
usa_new york city_crowne_plaza_times_square_manhattan,"The Crowne Plaza Times Square is located in the heart of Times Square, close to Broadway theaters and subway stations. Some rooms offer views of Times Square and the Hudson River."
usa_new york city_da_vinci_hotel,"The Da Vinci Hotel is located in midtown Manhattan, close to Times Square, Central Park, and subway lines. It has a European-style lobby, a restaurant, and offers free internet access."
usa_new york city_doubletree_guest_suites_times_square,"Located in the heart of Times Square, this hotel is right in the middle of the action. The Broadway discount center is right across the street and many attractions are within walking distance."
usa_new york city_doubletree_hotel_chelsea_new_york_city,"The Doubletree Hotel Chelsea is centrally located near several subway lines and within walking distance of Chelsea, the Fashion District, and the Broadway theater district; some rooms have views of the Empire State Building. The hotel is also close to Penn Station, Macy's, Times Square, and Madison Square Garden."
usa_new york city_doubletree_metropolitan_hotel,"The Doubletree Metropolitan is in a great midtown location, within walking distance to many attractions, close to subway stops, and near a police substation. It is often recommended as a clean, respectable place to stay but has had some reports of staff issues and construction."
usa_new york city_dream,"The Dream Hotel is located in the heart of Manhattan, close to Times Square and Central Park, and has a rooftop bar with great views of Broadway. The hotel has a trendy, modern, and stylish design, some reviewers note a Buddhist motif."
usa_new york city_duane_street_hotel,"The Duane Street Hotel is located in the Tribeca area of Lower Manhattan, within walking distance of SoHo, Chinatown, Little Italy, and the Financial District. It's close to several subway lines, providing convenient access to other parts of the city."
usa_new york city_dylan_hotel,"The Dylan Hotel is centrally located near Grand Central Terminal, Times Square, and the theater district, making it easy to explore NYC by foot. Some rooms offer views of office buildings, and the hotel has a ""chemistry"" theme with beakers used as drinking glasses."
usa_new york city_eastgate_tower,"Eastgate Tower is located in Midtown Manhattan, close to Grand Central Terminal and within walking distance of various attractions, with spacious apartment-style suites including full kitchens. The hotel allows guests to feel like they are living in Manhattan, offering a safe and quiet neighborhood setting."
usa_new york city_econo_lodge_times_square,"The Econo Lodge Times Square is in the heart of the Theater District and near Times Square and Restaurant Row, offering a central location for exploring the city. However, some guests have mentioned noise due to the location, and rooms are notably small."
usa_new york city_embassy_suites_hotel_new_york_city,"Embassy Suites is located near the Hudson River in Battery Park City, lower Manhattan, allowing for peaceful walks along the esplanade with views of the Statue of Liberty and access to the WTC site; some rooms have views of the Hudson River and New Jersey. It is a 5-10 minute walk to the subway, providing access to the rest of Manhattan."
usa_new york city_empire_hotel,"The Empire Hotel is located near Lincoln Center, Central Park, and Columbus Circle, allowing for exploration of the Upper West Side and access to cultural attractions, and features a rooftop bar with city views. The hotel's location also provides easy access to various restaurants, shops, and subway lines for exploring other parts of Manhattan."
usa_new york city_envoy_club,"The Envoy Club offers apartment-style accommodations with fully equipped kitchens, providing a ""home away from home"" experience, and is located within walking distance of attractions like the Empire State Building. Some reviewers mention a rooftop deck with skyline views, enhancing the New York experience."
usa_new york city_eurostars_wall_street,"Located in the Financial District, near Wall Street and the South Street Seaport, this hotel provides good connections to the subway and is within walking distance of attractions like Battery Park and Ground Zero. The hotel's location allows guests to experience a European and classy atmosphere, contrasting with the brashness of Times Square."
usa_new york city_excelsior_hotel,"The Excelsior Hotel is located in the Upper West Side, a residential neighborhood near Central Park and the Museum of Natural History, offering a quieter experience away from the touristy midtown area. The hotel's location provides easy access to local restaurants, shops, and subway lines, allowing guests to experience New York like a local."
usa_new york city_fairfield_inn_new_york_manhattan_times_square_south,"The hotel is centrally located, a few blocks from Times Square, and near the subway and Port Authority Bus Terminal. Some reviewers note the immediate surrounding area can feel ""gritty"" or ""desolate"" due to adult stores and the parole office."
usa_new york city_fitzpatrick_grand_central_hotel,"The Fitzpatrick Grand Central is an Irish-themed hotel with friendly staff and a cozy atmosphere, located near Grand Central Station, allowing easy access to major subway lines and NYC attractions. It offers a quiet respite from the city with comfortable rooms and an Irish pub with a courtyard."
usa_new york city_fitzpatrick_manhattan,"The Fitzpatrick Manhattan is known for its friendly, helpful staff, with many reviewers noting the Irish hospitality and personalized service; the hotel's bar and restaurant offer a warm, community atmosphere. Its location at 57th and Lexington provides easy access to shopping, Central Park, and various attractions, making it a convenient base for exploring the city."
usa_new york city_flatotel,"The Flatotel is in Midtown Manhattan, close to Times Square, Central Park, and subway stations, offering a central location to explore New York City. Some suites include kitchenettes, microwaves, and refrigerators."
usa_new york city_four_points_by_sheraton_manhattan_chelsea,"The Sheraton Chelsea is located in the Chelsea neighborhood, within walking distance of the subway, Whole Foods, and various shops and restaurants. Some reviewers note that the area is quiet, while others mention that it can be noisy due to street traffic or a bar in the hotel."
usa_new york city_four_points_by_sheraton_manhattan_soho_village,"The Four Points Soho is located on the edge of Soho, within walking distance of Greenwich Village, the Meatpacking District, and multiple subway lines, making it easy to explore different neighborhoods. It is also close to shops, restaurants, and attractions like the Jacques Torres chocolate store."
usa_new york city_four_points_by_sheraton_midtown_times_square,"The Four Points Times Square is centrally located near Times Square, Hells Kitchen, and the Port Authority Bus Terminal. However, the hotel is situated in a somewhat gritty area with adult shops and heavy traffic."
usa_new york city_four_seasons_hotel_new_york,"The Four Seasons New York is located close to Central Park, shopping on 5th Avenue, and many restaurants. Some rooms have views of Central Park and the city, and some suites have balconies."
usa_new york city_gild_hall,"Gild Hall is located in the Financial District, close to subway lines, South Street Seaport, the WTC site, and the Brooklyn Bridge, offering a quieter, neighborhood-like environment away from the midtown crowds. The hotel's decor blends a modern, rustic, and English equestrian feel, with rich colors, wood paneling, and antler chandeliers."
