Query,Hotel,Relevance Score
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_james_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_hotel_monaco_chicago_a_kimpton_hotel,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_sofitel_chicago_water_tower,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_amalfi_hotel_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_park_hyatt_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_intercontinental_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_hotel_burnham_a_kimpton_hotel,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_swissotel_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_w_chicago_lakeshore,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_affinia_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_the_peninsula_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_homewood_suites_by_hilton_chicago_downtown,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_ambassador_east_hotel,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_renaissance_chicago_hotel,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_hilton_garden_inn_chicago_downtown_magnificent_mile,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_the_westin_chicago_river_north,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_the_ritz_carlton_chicago_a_four_seasons_hotel,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_conrad_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_marriott_chicago_downtown_magnificent_mile,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_the_westin_michigan_avenue_chicago,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_embassy_suites_hotel_chicago_downtown_lakefront,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_hyatt_regency_chicago,2
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_the_talbott_hotel,3
What are the best hotels for an unforgettable vacation?,usa_illinois_chicago_hotel_allegro_chicago_a_kimpton_hotel,3
