Query,Hotel,Relevance Score
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_giraffe,3
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_mela,3
Recommend a hotel for a romantic getaway.,queries_new,2
Recommend a hotel for a romantic getaway.,usa_new york city_casablanca_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_le_parker_meridien,2
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_gansevoort,3
Recommend a hotel for a romantic getaway.,usa_new york city_library_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_elysee,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_michelangelo_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_excelsior_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_the_iroquois,3
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_beacon,1
Recommend a hotel for a romantic getaway.,usa_new york city_renaissance_new_york_hotel_times_square,2
Recommend a hotel for a romantic getaway.,usa_new york city_affinia_gardens,2
Recommend a hotel for a romantic getaway.,usa_new york city_beekman_tower_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_room_mate_grace,3
Recommend a hotel for a romantic getaway.,usa_new york city_dream,3
Recommend a hotel for a romantic getaway.,usa_new york city_mandarin_oriental_new_york,3
Recommend a hotel for a romantic getaway.,usa_new york city_sofitel_new_york,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_muse_hotel_new_york_a_kimpton_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_belleclaire_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_blue_moon_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_new_york_palace_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_soho_grand_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_san_carlos_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_affinia_shelburne,2
Recommend a hotel for a romantic getaway.,usa_new york city_cosmopolitan_hotel_tribeca,1
Recommend a hotel for a romantic getaway.,usa_new york city_the_marcel_at_gramercy,2
Recommend a hotel for a romantic getaway.,usa_new york city_on_the_ave_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_affinia_50,2
Recommend a hotel for a romantic getaway.,usa_new york city_omni_berkshire_place,2
Recommend a hotel for a romantic getaway.,usa_new york city_embassy_suites_hotel_new_york_city,2
Recommend a hotel for a romantic getaway.,usa_new york city_the_waldorf_astoria,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_benjamin,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_lucerne_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_tribeca_grand_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_41_at_times_square,2
Recommend a hotel for a romantic getaway.,usa_new york city_courtyard_new_york_manhattan_midtown_east,1
Recommend a hotel for a romantic getaway.,usa_new york city_the_pod_hotel,1
Recommend a hotel for a romantic getaway.,usa_new york city_jumeirah_essex_house,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_bryant_park,3
Recommend a hotel for a romantic getaway.,usa_new york city_affinia_dumont,2
Recommend a hotel for a romantic getaway.,usa_new york city_the_blakely_new_york,2
Recommend a hotel for a romantic getaway.,usa_new york city_radisson_martinique_on_broadway,1
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_on_rivington,3
Recommend a hotel for a romantic getaway.,usa_new york city_novotel_new_york_times_square,2
Recommend a hotel for a romantic getaway.,usa_new york city_the_bowery_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_kitano_new_york,3
Recommend a hotel for a romantic getaway.,usa_new york city_roger_williams_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_st_james,1
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_chandler,2
Recommend a hotel for a romantic getaway.,usa_new york city_hilton_garden_inn_times_square,1
Recommend a hotel for a romantic getaway.,usa_new york city_night_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_westin_new_york_at_times_square,3
Recommend a hotel for a romantic getaway.,usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_belvedere,1
Recommend a hotel for a romantic getaway.,usa_new york city_algonquin_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_w_new_york_the_tuscany,2
Recommend a hotel for a romantic getaway.,usa_new york city_w_new_york_times_square,2
Recommend a hotel for a romantic getaway.,usa_new york city_holiday_inn_midtown_57th_st,1
Recommend a hotel for a romantic getaway.,usa_new york city_washington_jefferson_hotel,1
Recommend a hotel for a romantic getaway.,usa_new york city_the_kimberly_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_gramercy_park_hotel,3
Recommend a hotel for a romantic getaway.,usa_new york city_trump_international_hotel_and_tower,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_helmsley_park_lane,3
Recommend a hotel for a romantic getaway.,usa_new york city_intercontinental_the_barclay_new_york,2
Recommend a hotel for a romantic getaway.,usa_new york city_loews_regency_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_the_herald_square_hotel,1
Recommend a hotel for a romantic getaway.,usa_new york city_the_roosevelt_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_414_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_comfort_inn_midtown,1
Recommend a hotel for a romantic getaway.,usa_new york city_the_alex_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_hilton_times_square,2
Recommend a hotel for a romantic getaway.,usa_new york city_ritz_carlton_battery_park,3
Recommend a hotel for a romantic getaway.,usa_new york city_millennium_un_plaza_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_park_south_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_6_columbus,2
Recommend a hotel for a romantic getaway.,usa_new york city_wellington_hotel,1
Recommend a hotel for a romantic getaway.,usa_new york city_affinia_manhattan,1
Recommend a hotel for a romantic getaway.,usa_new york city_royalton_hotel_new_york_city,3
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_31,1
Recommend a hotel for a romantic getaway.,usa_new york city_peninsula_new_york,3
Recommend a hotel for a romantic getaway.,usa_new york city_new_york_marriott_marquis,3
Recommend a hotel for a romantic getaway.,usa_new york city_wyndham_garden_hotel_times_square_south,2
Recommend a hotel for a romantic getaway.,usa_new york city_doubletree_guest_suites_times_square,2
Recommend a hotel for a romantic getaway.,usa_new york city_hotel_17,1
Recommend a hotel for a romantic getaway.,usa_new york city_warwick_new_york_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_crosby_street_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_new_york_marriott_downtown,2
Recommend a hotel for a romantic getaway.,usa_new york city_vincci_avalon,2
Recommend a hotel for a romantic getaway.,usa_new york city_residence_inn_by_marriott_times_square_new_york,1
Recommend a hotel for a romantic getaway.,usa_new york city_inn_new_york_city,3
Recommend a hotel for a romantic getaway.,usa_new york city_fitzpatrick_grand_central_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_60_thompson,3
Recommend a hotel for a romantic getaway.,usa_new york city_hudson_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_the_london_nyc,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_shoreham,2
Recommend a hotel for a romantic getaway.,usa_new york city_the_ritz_carlton_new_york_central_park,3
Recommend a hotel for a romantic getaway.,usa_new york city_the_hampton_inn_times_square_north,2
Recommend a hotel for a romantic getaway.,usa_new york city_bentley_hotel,1
Recommend a hotel for a romantic getaway.,usa_new york city_salisbury_hotel,2
Recommend a hotel for a romantic getaway.,usa_new york city_hilton_new_york,1
Recommend a hotel for a romantic getaway.,usa_new york city_park_central,2
Recommend a hotel for a romantic getaway.,usa_new york city_new_york_marriott_east_side,2
Recommend a hotel for a romantic getaway.,usa_new york city_millenium_hilton,2
Recommend a hotel for a romantic getaway.,usa_new york city_da_vinci_hotel,2
