,eqr,q2e,q2d
Which hotels offer the best opportunities for socializing?,0.6186855158730158,0.7208740787981859,0.5787996031746032
Suggest a hotel with the best spa services.,0.636046626984127,0.6848710317460318,0.5868055555555556
Where can I stay that feels youthful and energetic?,0.5995882042757043,0.6158787135349635,0.6153259445670161
Recommend a hotel with a lively atmosphere.,0.6318229488765204,0.7443287752811563,0.4457467532467533
Recommend a hotel with the best poolside service.,0.6254960317460316,0.544345238095238,0.6291666666666667
Where can I stay that works well with young kids and no fuss?,0.6028567651484318,0.6169023491940158,0.562280081030081
Where can I stay for the best sunrise or sunset views?,0.634548611111111,0.6842013888888888,0.4418816137566137
What are the top boutique hotels?,0.5072614854687223,0.5537735793081188,0.5569111304144199
Where can I stay that works for multiple generations?,0.483577121078554,0.6345579884840804,0.4991529491085397
Where can I stay to fully experience the nightlife of a city?,0.5409635416666666,0.49237475198412695,0.5462345679012346
Recommend a hotel with great family-friendly amenities.,0.4898872297057781,0.5989549382442527,0.4717394631205115
Where can I stay with beautiful waterfront views?,0.4450233474800177,0.5817681391466842,0.5303610306302007
Looking for a hotel with creative spaces and an artsy vibe.,0.529250992063492,0.6468986205593348,0.33640873015873013
Recommend a pet-friendly hotel.,0.4578372417812073,0.6079158287832856,0.424149806531272
What are the best hotels for exploring hidden gems in a city?,0.5086061507936508,0.649454365079365,0.3134052579365079
Recommend a hotel that keeps surprising me every day.,0.6042307692307691,0.5026232448107448,0.3428838522588522
What are the best hotels for wellness and relaxation?,0.5169973544973545,0.4806547619047619,0.4249503968253968
Where can I find hotels with great rooftop bars?,0.446413474810214,0.45425401138716354,0.5134122670807453
Suggest a hotel with excellent fine dining.,0.4540976087404659,0.44216166769738197,0.471998556998557
Suggest a hotel where I can just go with the flow.,0.36409406565656566,0.5141850048100047,0.47389294733044734
Recommend a hotel that works well for traveling with teenagers.,0.37764292531858523,0.448879642901382,0.4890884213914105
"Recommend a hotel with a nostalgic, vintage vibe.",0.5099206349206349,0.47170847505668934,0.3314484126984127
Suggest a hotel that complements a journaling or reflection-focused trip.,0.5040178571428572,0.395734126984127,0.39285714285714285
What are the top hotels for a scenic retreat?,0.3188988095238095,0.4560019841269841,0.47534722222222214
Where should I stay during a creative block?,0.4306878306878307,0.3588293650793651,0.4473710317460317
Where can I find hotels with a unique architectural design?,0.3640185335497835,0.4774948142135642,0.3710700757575758
Where can I stay near the best art museums?,0.45953155300581777,0.4321985781492084,0.3106546197538844
Where can I find a hotel that balances luxury and affordability?,0.3493479199893673,0.41946853402445505,0.41969514221158954
Suggest a hotel that works well for working remotely.,0.20749007936507935,0.4541170634920635,0.5066964285714286
Where can I find hotels that combine adventure and relaxation?,0.3666666666666667,0.4236111111111111,0.3666666666666667
Where should I stay that matches a high-energy trip?,0.38003246753246755,0.28591450216450215,0.47255697923108636
Where should I stay for easy airport access?,0.44169642857142855,0.40815972222222224,0.28506944444444443
Recommend a hotel that feels intimate and private.,0.37336593571681054,0.4439044904812402,0.3116117980861486
I want a hotel that makes me feel like I’m in a movie.,0.38106055402930394,0.4377388856183499,0.3090638354700854
Where can I stay that fits a minimalist travel style?,0.4151785714285714,0.2533234126984127,0.4180059523809524
Where can I stay if I'm traveling with elderly parents?,0.33125000000000004,0.33551587301587305,0.41944444444444445
Where can I stay that fits well with a photography-heavy trip?,0.27098214285714284,0.478125,0.30729166666666663
What hotels are affordable but don't feel basic?,0.4041480498383674,0.40029302152765267,0.24589704182429592
Suggest a hotel that's perfect for art lovers.,0.2837797619047619,0.43273809523809526,0.32946428571428565
Recommend a place where I won't feel like a tourist.,0.2375179721647113,0.379817977915804,0.4211299459397285
Where can I stay to avoid the tourist rush without going remote?,0.18356625258799172,0.49261387163561077,0.3440706234184495
Recommend a place for a solo birthday trip.,0.3338410894660895,0.32698683261183265,0.30793560606060605
Where can I stay to get the best of both city and nature?,0.43342391304347827,0.4113785369220152,0.10923913043478262
Recommend a hotel that matches a slower travel rhythm.,0.3338293650793651,0.32167658730158727,0.22470238095238096
Recommend a hotel that works well for group celebrations.,0.26666666666666666,0.3520709325396826,0.25376984126984126
Suggest a hotel with a magical ambiance.,0.24365079365079367,0.40181878306878305,0.2265625
Recommend a hotel for travellers who just want to people-watch.,0.26060267857142855,0.25078124999999996,0.3349537037037037
What are some hotels that are great for slow mornings?,0.38958333333333334,0.33531746031746035,0.09375
Suggest a hotel that doesn't feel too polished.,0.24466002747252746,0.0577590811965812,0.1376201923076923
What are some of the best hotels for gourmet lovers?,0.09895833333333333,0.20833333333333331,0.09583333333333333
AVERAGE,0.4178660446881479,0.4624657964537156,0.39048750087703993
